timestamp,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz,controller3_tx,controller3_ty,controller3_tz,controller3_rx,controller3_ry,controller3_rz,Controller3_button0,Controller3_button1,Controller3_button2,Controller3_button3,Controller3_button4,Controller3_button5,Controller3_button6,Controller3_button7,Controller3_button8,Controller3_button9,Controller3_button10,Controller3_button11,Controller3_button12,Controller3_button13,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,controller6_tx,controller6_ty,controller6_tz,controller6_rx,controller6_ry,controller6_rz,Controller6_button0,Controller6_button1,Controller6_button2,Controller6_button3,Controller6_button4,Controller6_button5,Controller6_button6,Controller6_button7,Controller6_button8,Controller6_button9,Controller6_button10,Controller6_button11,Controller6_button12,Controller6_button13,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,generic7_tx,generic7_ty,generic7_tz,generic7_rx,generic7_ry,generic7_rz,generic8_tx,generic8_ty,generic8_tz,generic8_rx,generic8_ry,generic8_rz,generic9_tx,generic9_ty,generic9_tz,generic9_rx,generic9_ry,generic9_rz
0.0000000000,-1.512766,157.191620,-9.888399,-30.801626,2.192789,-2.946463,21.191143,79.166565,-11.377203,-11.205086,24.202736,18.688944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.088011,76.942291,-10.149074,-28.057781,-18.415361,-16.201942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.448992,9.543789,1.496696,51.916969,32.962296,-36.233532,-20.655287,9.259642,0.614011,-58.106312,-14.753016,-177.962311,-0.445890,96.929459,-8.480424,-1.072714,-25.754038,-77.523567
0.0166666667,-1.512766,157.191620,-9.888399,-30.801626,2.198512,-2.946463,21.149824,79.149239,-11.353464,-11.203685,24.308575,18.695311,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.017019,76.955322,-10.172288,-28.001593,-18.448397,-16.127628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.455013,9.543789,1.496696,51.916969,32.979881,-36.219799,-20.653749,9.257123,0.614011,-58.106312,-14.752519,-177.962311,-0.440914,96.923447,-8.475275,-1.072970,-25.754038,-77.523567
0.0333333333,-1.513591,157.191620,-9.887324,-30.801626,2.201505,-2.946463,21.090712,79.145103,-11.338286,-11.189892,24.413357,18.701685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.940933,76.964912,-10.187013,-27.988058,-18.478176,-16.015917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.455399,9.545863,1.496696,51.916969,32.970013,-36.232449,-20.651741,9.255754,0.614011,-58.106312,-14.750980,-177.962311,-0.486888,96.952217,-8.502438,-1.082569,-25.754038,-77.523567
0.0500000000,-1.516653,157.191620,-9.885753,-30.801626,2.202710,-2.946463,21.030048,79.139610,-11.326243,-11.185378,24.474567,18.700323,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.873682,76.988953,-10.210484,-27.972862,-18.531021,-15.877998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.447699,9.557478,1.496696,51.916969,32.981392,-36.217117,-20.649475,9.262537,0.614011,-58.106312,-14.749351,-177.960770,-0.463874,96.927620,-8.485781,-1.081997,-25.743866,-77.514359
0.0666666667,-1.519660,157.191620,-9.884203,-30.789240,2.203608,-2.946463,20.970465,79.133156,-11.313913,-11.187648,24.509546,18.663799,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.790752,76.984436,-10.212699,-27.930468,-18.616951,-15.784341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.447878,9.561661,1.496696,51.930405,32.976246,-36.211430,-20.643440,9.268540,0.613830,-58.106312,-14.747713,-177.958588,-0.518387,96.974091,-8.520906,-1.094521,-25.756506,-77.506180
0.0833333333,-1.524586,157.191620,-9.883522,-30.777739,2.204310,-2.946463,20.910240,79.125420,-11.311476,-11.208648,24.522123,18.599388,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.724344,76.992241,-10.229967,-27.896667,-18.681063,-15.727499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.449482,9.566439,1.497126,51.931721,32.979221,-36.208275,-20.651232,9.255152,0.612774,-58.101936,-14.746150,-177.951065,-0.521203,96.974037,-8.524439,-1.096694,-25.756895,-77.497253
0.1000000000,-1.539846,157.191620,-9.885158,-30.767237,2.204925,-2.940646,20.831707,79.109398,-11.309332,-11.225736,24.552986,18.534452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.670036,76.971336,-10.236921,-27.864889,-18.750679,-15.725250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.436598,9.544129,1.484320,51.933128,32.960297,-36.202141,-20.658686,9.247086,0.611842,-58.100502,-14.744745,-177.943802,-0.584473,96.997086,-8.569165,-1.111681,-25.756899,-77.486702
0.1166666667,-1.548654,157.197922,-9.886806,-30.760069,2.205561,-2.933027,20.764137,79.107025,-11.296593,-11.216157,24.589441,18.472527,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.634125,76.982727,-10.258948,-27.791231,-18.789421,-15.743871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.436363,9.545149,1.487009,51.934551,32.979202,-36.195175,-20.661144,9.257442,0.610881,-58.100334,-14.743581,-177.935730,-0.576881,96.980896,-8.554654,-1.112013,-25.755327,-77.485306
0.1333333333,-1.553115,157.202103,-9.888463,-30.753099,2.206328,-2.924423,20.683199,79.114342,-11.283668,-11.178744,24.664669,18.459625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.571514,76.981369,-10.246622,-27.733902,-18.825136,-15.741789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.436123,9.563382,1.494528,51.935925,32.972881,-36.199314,-20.661436,9.269744,0.609739,-58.100494,-14.742743,-177.934479,-0.611926,97.019173,-8.577558,-1.115928,-25.755806,-77.485550
0.1500000000,-1.567028,157.204361,-9.890127,-30.750225,2.207334,-2.913344,20.598192,79.118057,-11.274981,-11.137731,24.736750,18.433649,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.526566,76.981796,-10.244945,-27.749184,-18.852163,-15.640941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.435883,9.565700,1.494877,51.937187,32.979092,-36.192810,-20.662642,9.276654,0.608265,-58.100674,-14.742347,-177.933640,-0.583946,96.988731,-8.552049,-1.098075,-25.764843,-77.493538
