head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-21.027983,166.169449,39.748581,3.193367,81.516411,28.60062,-37.986862,75.451294,32.098801,-16.399443,96.707558,35.20583,3.022325,11.67078,45.817524,-44.026436,10.978484,46.071976
-20.718557,166.131882,39.83437,3.551336,81.590355,28.325211,-37.201824,75.257126,32.422417,-15.909151,96.631561,35.191952,3.022325,11.651044,45.817524,-44.026436,10.978484,46.069664
-20.41778,166.095673,39.916992,3.905688,81.635651,28.092459,-36.456913,75.111115,32.700321,-15.438695,96.559959,35.174767,3.022325,11.646652,45.817524,-44.025703,10.977674,46.061638
-20.122898,166.057907,39.988873,4.281569,81.657692,27.887732,-35.738224,74.974892,32.967876,-14.986871,96.486946,35.170914,3.005758,11.644069,45.820679,-44.024475,10.97658,46.055126
-19.825882,166.007263,40.048939,4.689685,81.632355,27.726124,-35.067554,74.864815,33.203861,-14.545163,96.406319,35.168659,3.006744,11.641321,45.823086,-44.023232,10.993057,46.037384
-19.513002,165.945038,40.112732,5.126026,81.555,27.624714,-34.449497,74.769127,33.426167,-14.10971,96.314583,35.173302,3.007855,11.627306,45.831318,-44.021935,10.996531,46.029739
-19.207939,165.887985,40.178623,5.56409,81.452866,27.576647,-33.900505,74.703804,33.62278,-13.696708,96.226692,35.192822,3.008754,11.62984,45.852383,-44.000805,11.014247,46.026913
-18.919733,165.830826,40.239506,5.996603,81.327057,27.56962,-33.401245,74.619545,33.820202,-13.311936,96.135101,35.211807,2.979059,11.646686,45.854271,-43.999557,11.012053,46.025146
-18.641787,165.758621,40.284286,6.448178,81.148438,27.582914,-33.001278,74.572777,33.958244,-12.947256,96.022003,35.248592,2.96131,11.635324,45.853111,-43.998417,10.996346,46.022564
-18.352438,165.687851,40.333649,6.922318,80.943001,27.663902,-32.631939,74.492188,34.126797,-12.577094,95.912514,35.30357,2.97133,11.617188,45.860783,-43.997154,10.998117,46.018044
