head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-5.786967,156.524689,16.910606,-2.842391,129.490128,10.912836,-18.829287,128.530701,-0.433093,-5.094612,98.280647,21.783484,16.835176,8.863199,41.526501,-25.570917,7.844102,17.946131
-5.817795,156.524689,16.860312,-2.896518,129.485657,10.87844,-18.863892,128.519577,-0.420545,-5.163902,98.280647,21.792431,16.838196,8.863199,41.526501,-25.56624,7.882431,17.923504
-5.875475,156.524689,16.781553,-3.002981,129.475327,10.815352,-18.903606,128.499023,-0.47256,-5.255626,98.280647,21.768456,16.818872,8.887055,41.510391,-25.535137,7.849443,17.949696
-5.92137,156.524689,16.712397,-3.125793,129.427216,10.757397,-18.935041,128.47168,-0.516828,-5.32906,98.268524,21.780066,16.820084,8.882227,41.504414,-25.51693,7.834175,17.950397
-5.961476,156.524689,16.638479,-3.24376,129.368805,10.713199,-18.941952,128.417282,-0.560986,-5.433023,98.268776,21.750362,16.843071,8.862814,41.516094,-25.493771,7.825215,17.962927
-6.01963,156.524689,16.55707,-3.374359,129.309296,10.68198,-18.992458,128.42041,-0.5729,-5.528539,98.250534,21.756351,16.842581,8.846399,41.519077,-25.486271,7.820347,17.957247
-6.090528,156.524689,16.453897,-3.52799,129.266815,10.660508,-19.069744,128.433212,-0.591138,-5.668336,98.250923,21.715219,16.841904,8.857408,41.541649,-25.460743,7.776069,17.985388
-6.157737,156.524689,16.341986,-3.679513,129.210037,10.61731,-19.13624,128.446228,-0.625911,-5.785992,98.233734,21.713737,16.845673,8.852133,41.535812,-25.466831,7.799417,17.95859
-6.235828,156.520798,16.222521,-3.829704,129.156937,10.570754,-19.20639,128.43071,-0.675564,-5.940669,98.238495,21.666319,16.858437,8.845978,41.553535,-25.452934,7.780105,17.976583
-6.322062,156.509186,16.095766,-3.981531,129.122009,10.496277,-19.299551,128.437881,-0.760143,-6.080345,98.227242,21.644131,16.875309,8.834807,41.553059,-25.442831,7.786126,17.961702
-6.426627,156.496948,15.959177,-4.166992,129.096954,10.391009,-19.432606,128.446167,-0.89296,-6.234418,98.219383,21.598827,16.894579,8.82633,41.552322,-25.423161,7.762589,17.979139
-6.536689,156.479706,15.814536,-4.375791,129.060455,10.28334,-19.578335,128.461823,-1.055824,-6.385179,98.190575,21.570553,16.903746,8.821389,41.551453,-25.438576,7.80504,17.960754
-6.657861,156.461594,15.677574,-4.601716,129.051346,10.197971,-19.751215,128.497253,-1.208214,-6.561032,98.177177,21.493944,16.90711,8.816603,41.550583,-25.40769,7.748649,18.000244
-6.785708,156.460129,15.527096,-4.834841,129.051834,10.072385,-19.924795,128.578522,-1.349068,-6.691007,98.121902,21.484076,16.909801,8.82929,41.563354,-25.413548,7.76105,18.006981
-6.940144,156.460205,15.369679,-5.092415,129.072067,9.948982,-20.064045,128.702255,-1.461912,-6.864164,98.101135,21.402424,16.912275,8.839593,41.563087,-25.406399,7.731909,18.022507
-7.094464,156.474045,15.211116,-5.344329,129.100281,9.854851,-20.125101,128.878113,-1.592884,-7.021029,98.075592,21.328543,16.915325,8.850105,41.559452,-25.404291,7.723737,18.01045
-7.265523,156.508057,15.038529,-5.652368,129.157776,9.790276,-20.153154,129.096603,-1.778816,-7.153122,98.051659,21.260082,16.921087,8.867433,41.541481,-25.388901,7.68599,18.026648
-7.435944,156.561447,14.855492,-6.004477,129.24324,9.635281,-20.152975,129.439484,-2.071797,-7.268461,98.035553,21.20579,16.934151,8.884927,41.53434,-25.399319,7.674543,18.017765
-7.614783,156.63002,14.678093,-6.391197,129.423645,9.417635,-20.202383,129.915863,-2.479431,-7.369267,98.030991,21.179255,16.961798,8.914729,41.510483,-25.391649,7.629656,18.052275
-7.788017,156.705292,14.51172,-6.776165,129.726669,9.148244,-20.298531,130.569992,-3.003707,-7.030582,98.152412,19.967384,16.984913,8.933926,41.469105,-25.416624,7.598455,18.05221
-7.952961,156.773544,14.362866,-7.173457,130.214142,8.914111,-20.383595,131.414673,-3.584479,-7.048932,98.162476,19.960663,17.020287,8.970277,41.410767,-25.432125,7.555247,18.05382
