head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
5.384886,161.783905,-6.686706,21.04776,82.569954,-12.693298,-14.420748,83.370018,-12.753415,3.551853,100.469505,-7.983237,27.541233,10.888874,3.819424,-16.553545,10.542154,6.065917
5.410135,161.807281,-6.749431,21.143541,82.620285,-12.761094,-14.470047,83.410332,-12.694746,3.558367,100.469505,-7.932523,27.550512,10.888874,3.816634,-16.553545,10.542154,6.059968
5.443201,161.840134,-6.811187,21.22451,82.691689,-12.85244,-14.501824,83.449425,-12.655501,3.572352,100.490623,-7.896695,27.551634,10.900182,3.81351,-16.544777,10.555417,6.055189
5.480055,161.872635,-6.89102,21.300375,82.781776,-12.971632,-14.527799,83.507248,-12.626026,3.594002,100.496529,-7.832439,27.55224,10.90038,3.812948,-16.542004,10.552828,6.054549
5.514665,161.899353,-6.963659,21.354921,82.885559,-13.110491,-14.52862,83.555176,-12.591613,3.585228,100.520271,-7.776035,27.552818,10.900692,3.812699,-16.543442,10.5573,6.054351
5.539835,161.922409,-7.050429,21.394279,83.001099,-13.255603,-14.528809,83.630638,-12.588776,3.606007,100.515472,-7.692296,27.553379,10.901021,3.812653,-16.549503,10.562606,6.054427
5.57306,161.937973,-7.138127,21.410704,83.125793,-13.410898,-14.51764,83.712105,-12.585374,3.603413,100.522987,-7.607416,27.553928,10.901274,3.812701,-16.554895,10.566928,6.054611
5.599875,161.94664,-7.234405,21.410206,83.246521,-13.561781,-14.495372,83.799698,-12.604993,3.615391,100.498253,-7.514869,27.554474,10.901354,3.812735,-16.555637,10.567759,6.054737
5.631975,161.949585,-7.337143,21.407703,83.373772,-13.716184,-14.462086,83.883766,-12.622679,3.619081,100.500282,-7.421049,27.555027,10.901169,3.813916,-16.555973,10.568284,6.055397
5.66115,161.951279,-7.449486,21.382603,83.492737,-13.858722,-14.428458,83.992714,-12.655105,3.635953,100.476913,-7.317651,27.555595,10.900621,3.81723,-16.55617,10.568687,6.059804
5.693192,161.951599,-7.57006,21.336859,83.610176,-13.989352,-14.375667,84.105484,-12.687547,3.579798,100.513542,-7.239844,27.55619,10.895556,3.820937,-16.556492,10.569152,6.064058
5.718986,161.943726,-7.689826,21.266994,83.705002,-14.092592,-14.312993,84.228394,-12.720167,3.598365,100.476707,-7.11824,27.57235,10.889936,3.833177,-16.547308,10.557657,6.081125
5.752483,161.941452,-7.831956,21.183006,83.783897,-14.171352,-14.218914,84.347122,-12.751481,3.600353,100.447487,-7.003022,27.577646,10.888351,3.836644,-16.552608,10.558307,6.086887
5.774785,161.939758,-7.988056,21.075058,83.839539,-14.213591,-14.127154,84.487251,-12.777511,3.562551,100.434296,-6.881381,27.578728,10.886843,3.826843,-16.555233,10.567824,6.090545
5.80272,161.938324,-8.176391,20.958738,83.873573,-14.212006,-14.014395,84.614304,-12.790438,3.53649,100.387123,-6.737715,27.579582,10.882225,3.825275,-16.555559,10.56988,6.093383
5.834072,161.938293,-8.378704,20.828138,83.87809,-14.192905,-13.902015,84.716179,-12.788304,3.538368,100.304993,-6.543391,27.580256,10.876884,3.823835,-16.555054,10.571078,6.096719
5.865773,161.947479,-8.612684,20.685181,83.86441,-14.12562,-13.769371,84.790047,-12.758901,3.489066,100.24057,-6.352492,27.580793,10.874671,3.822334,-16.554363,10.571961,6.102916
5.900222,161.953003,-8.878667,20.527687,83.805458,-14.010667,-13.631911,84.873405,-12.7248,3.487864,100.11422,-6.088178,27.581242,10.873015,3.820974,-16.540987,10.573076,6.110724
5.932122,161.959427,-9.19065,20.357021,83.709007,-13.852399,-13.416079,84.925262,-12.642811,3.490113,99.963417,-5.793446,27.581654,10.872155,3.819956,-16.529057,10.576197,6.122394
5.960271,161.950378,-9.551974,20.178282,83.544403,-13.663572,-13.169095,84.983391,-12.54307,3.506994,99.786613,-5.43456,27.580416,10.873108,3.819483,-16.523252,10.583241,6.135173
5.983792,161.914047,-9.974873,19.984304,83.331551,-13.430462,-12.787626,84.870689,-12.329762,3.553361,99.576706,-5.02406,27.572386,10.88153,3.820197,-16.516588,10.590412,6.147231
6.020116,161.841751,-10.452459,19.778584,83.078186,-13.195157,-12.458544,84.806259,-12.158796,3.588425,99.346756,-4.550021,27.561556,10.883681,3.82228,-16.506004,10.601292,6.160118
6.04448,161.712341,-10.982511,19.557999,82.798386,-12.949108,-12.052567,84.597656,-11.92095,3.641709,99.078987,-4.013162,27.551889,10.896593,3.824579,-16.487192,10.619131,6.17862
6.071572,161.505249,-11.55749,19.344372,82.469528,-12.744981,-11.768941,84.424004,-11.786621,3.693072,98.768188,-3.390137,27.524353,10.900983,3.823048,-16.472361,10.624932,6.201789
6.084475,161.201904,-12.190864,19.116098,82.098152,-12.564441,-11.508611,84.164108,-11.663008,3.742046,98.400551,-2.708548,27.507652,10.916662,3.813583,-16.449633,10.635242,6.210402
6.102542,160.783813,-12.857305,18.869287,81.721825,-12.468763,-11.327462,83.978378,-11.698632,3.806539,97.938995,-1.923082,27.471365,10.933845,3.79676,-16.432356,10.652234,6.218652
6.102739,160.224182,-13.562479,18.565098,81.394958,-12.423433,-11.226971,83.753418,-11.82753,3.858198,97.407722,-1.113617,27.441887,10.947768,3.783629,-16.425474,10.665846,6.239085
6.116771,159.504547,-14.268763,18.246429,81.0532,-12.520854,-11.222726,83.471115,-12.162529,3.917982,96.727417,-0.234751,27.445189,10.965778,3.802428,-16.424677,10.68237,6.250334
6.080817,158.610458,-15.006442,17.917961,80.670982,-12.777411,-11.263658,83.089134,-12.582909,4.014391,95.92498,0.675448,27.434153,10.975289,3.839692,-16.424219,10.702622,6.25236
6.081968,157.546661,-15.711793,17.614738,80.221107,-13.213791,-11.37084,82.625542,-13.133288,4.071122,94.966225,1.589636,27.460468,10.997281,3.878494,-16.419704,10.703749,6.260177
6.031633,156.329285,-16.430317,17.285545,79.787239,-13.809336,-11.517015,82.077095,-13.750304,4.047387,93.894897,2.461356,27.474667,11.031074,3.934586,-16.431805,10.740832,6.286849
5.991968,154.95668,-17.111111,16.946333,79.342392,-14.485815,-11.66525,81.318611,-14.388392,4.148699,92.676811,3.417055,27.478367,11.061266,3.960028,-16.439426,10.764817,6.338392
5.920963,153.477753,-17.796631,16.613802,78.912292,-15.222095,-11.834249,80.48259,-15.05283,4.098407,91.420029,4.299097,27.458393,11.061801,3.963215,-16.456217,10.796942,6.404658
5.864994,151.902588,-18.475943,16.204477,78.384834,-15.877513,-11.938611,79.492371,-15.637157,4.150347,90.051888,5.199502,27.410244,11.06009,3.948109,-16.48052,10.844593,6.451174
5.781621,150.219803,-19.163759,15.765488,77.821411,-16.464426,-11.97138,78.342171,-16.172932,4.129755,88.705589,6.049158,27.382618,11.056011,3.947455,-16.518137,10.856096,6.481628
5.696219,148.423035,-19.827047,15.23813,77.208252,-16.938219,-11.92839,77.12796,-16.626173,4.249046,87.31205,6.901276,27.368156,11.024195,3.945995,-16.523867,10.85559,6.482011
5.595431,146.540009,-20.474081,14.692793,76.619835,-17.311777,-11.815293,75.824219,-17.077696,4.305896,86.010864,7.666518,27.361021,10.995165,3.936661,-16.522175,10.84715,6.486655
5.500425,144.603577,-21.091959,14.177938,75.981506,-17.72838,-11.666467,74.615204,-17.498096,4.277363,84.69973,8.32822,27.366657,10.949821,3.876215,-16.508152,10.816803,6.505441
5.395224,142.665131,-21.699461,13.680492,75.262596,-18.13685,-11.502788,73.379593,-17.94252,4.288028,83.446587,8.989017,27.348255,10.937163,3.878875,-16.501793,10.814435,6.509182
5.269236,140.704102,-22.315918,13.239604,74.511383,-18.652243,-11.391584,72.206856,-18.469812,4.276462,82.268112,9.578125,27.303614,10.915714,3.855986,-16.506481,10.816314,6.512211
5.158639,138.729889,-22.901995,12.793401,73.792702,-19.125782,-11.293279,71.078201,-18.983953,4.186924,81.180939,10.041742,27.276373,10.919059,3.853541,-16.50363,10.809428,6.504421
5.043761,136.749191,-23.482777,12.391111,73.175591,-19.57725,-11.258516,70.090866,-19.585268,4.252775,80.042694,10.562894,27.26392,10.893364,3.845349,-16.506201,10.806385,6.50049
4.93079,134.797485,-24.024729,11.981056,72.599663,-20.001322,-11.226357,69.163635,-20.162521,4.250369,78.988037,10.978004,27.281145,10.892905,3.833824,-16.491875,10.79554,6.48475
4.824938,132.873917,-24.549805,11.629036,72.023857,-20.501299,-11.144522,68.321312,-20.738842,4.321156,77.858627,11.454285,27.289574,10.88793,3.830266,-16.490774,10.792556,6.483142
4.72218,130.986099,-25.019625,11.308616,71.473152,-21.043343,-11.034777,67.494225,-21.251509,4.378566,76.693085,11.929302,27.315365,10.873111,3.826705,-16.489662,10.774153,6.471959
4.612943,129.153778,-25.477686,11.040421,70.93219,-21.606642,-10.879721,66.658005,-21.73884,4.388135,75.573288,12.326651,27.332026,10.87534,3.810131,-16.488594,10.749323,6.453003
4.499115,127.35408,-25.86639,10.81753,70.463135,-22.155931,-10.662834,65.884636,-22.154755,4.339952,74.542152,12.653608,27.34342,10.874415,3.799665,-16.487621,10.724402,6.430625
