head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
2.063763,164.152466,2.902341,15.722954,15.722954,15.722954,-22.254229,87.052536,-0.702775,-6.175995,97.338692,4.834241,17.346817,9.681821,18.750937,-30.577219,13.67091,22.920078
2.214765,164.190445,2.91877,15.810395,15.810395,15.810395,-22.058979,87.174881,-0.781532,-5.97081,97.306213,4.994029,17.326241,9.741207,18.771481,-30.577219,13.67397,22.920078
2.370959,164.217056,2.927467,15.918721,15.918721,15.918721,-21.845652,87.232986,-0.808421,-5.804294,97.342506,5.100928,17.265009,9.781671,18.802465,-30.587494,13.670106,22.920078
2.546145,164.222122,2.930376,16.03994,16.03994,16.03994,-21.671982,87.297943,-0.815028,-5.534454,97.269493,5.283928,17.198269,9.849076,18.854691,-30.588228,13.668645,22.920078
2.736625,164.223206,2.928149,16.20302,16.20302,16.20302,-21.468746,87.303413,-0.767469,-5.336684,97.286346,5.386451,17.111237,9.935721,18.916916,-30.589731,13.659886,22.920078
2.937886,164.22377,2.912961,16.353092,16.353092,16.353092,-21.283264,87.301674,-0.698971,-5.070694,97.242729,5.528072,16.980429,10.021942,18.972296,-30.591566,13.658767,22.920078
3.14301,164.224289,2.879426,16.511581,16.511581,16.511581,-21.078222,87.248451,-0.577316,-4.863923,97.267914,5.598874,16.882547,10.102163,19.007206,-30.59445,13.657677,22.920078
3.373598,164.215988,2.841013,16.662012,16.662012,16.662012,-20.915163,87.206772,-0.455478,-4.567258,97.229599,5.734308,16.755619,10.167038,19.055563,-30.596996,13.656655,22.920078
3.616564,164.205917,2.797749,16.833014,16.833014,16.833014,-20.73852,87.107864,-0.286435,-4.323353,97.252098,5.803724,16.697193,10.219441,19.087036,-30.596298,13.66836,22.920078
3.865002,164.1978,2.739251,16.985579,16.985579,16.985579,-20.585539,87.015503,-0.105994,-3.991906,97.208641,5.948923,16.642908,10.247996,19.130135,-30.5923,13.67733,22.928082
4.116071,164.186417,2.663667,17.154629,17.154629,17.154629,-20.426939,86.907173,0.098759,-3.72319,97.228958,6.024786,16.679562,10.197894,19.127817,-30.610926,13.705009,22.917837
4.393954,164.175537,2.579556,17.337662,17.337662,17.337662,-20.265789,86.811707,0.309758,-3.378718,97.18158,6.170496,16.750177,10.065187,19.090919,-30.625731,13.71274,22.911753
4.663474,164.172943,2.496948,17.521132,17.521132,17.521132,-20.09012,86.715294,0.55721,-3.116728,97.204758,6.290388,16.835892,9.937897,19.061016,-30.669006,13.729228,22.918917
4.944382,164.178772,2.372072,17.729084,17.729084,17.729084,-19.923079,86.658768,0.772578,-2.801262,97.17495,6.467487,16.939764,9.788785,19.006268,-30.693302,13.755384,22.898323
5.220583,164.204117,2.22842,17.926661,17.926661,17.926661,-19.738701,86.596931,0.985726,-2.530412,97.202705,6.6054,16.997744,9.691792,18.949326,-30.721697,13.779001,22.867569
5.499166,164.246353,2.056851,18.093916,18.093916,18.093916,-19.582201,86.588867,1.187307,-2.261511,97.198105,6.846678,17.045069,9.623158,18.921265,-30.757879,13.827055,22.833593
5.755601,164.30043,1.871225,18.206921,18.206921,18.206921,-19.439434,86.594421,1.367945,-2.069691,97.226433,7.072716,17.064125,9.54943,18.87368,-30.803619,13.883238,22.803543
6.014871,164.361298,1.650699,18.282288,18.282288,18.282288,-19.285097,86.601379,1.542253,-1.878667,97.2117,7.401263,17.097269,9.486436,18.843903,-30.845203,13.944343,22.787718
6.248758,164.424576,1.399495,18.278765,18.278765,18.278765,-19.122091,86.615242,1.700257,-1.789434,97.267807,7.682806,17.089375,9.441779,18.777121,-30.897486,14.029029,22.783125
6.462881,164.483749,1.120346,18.214314,18.214314,18.214314,-18.97599,86.639412,1.814823,-1.623818,97.243843,8.127362,17.086922,9.389579,18.730108,-30.934101,14.121217,22.798538
