head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
30.621231,158.431335,28.168547,46.651661,84.739914,13.911009,10.632664,85.816643,44.132221,31.293398,101.079956,33.226299,52.786453,13.639951,31.735676,20.681513,12.231421,55.026318
30.800291,158.518387,27.87002,46.772648,84.739334,13.629462,10.955305,86.095833,43.968513,31.46372,101.228874,33.096195,52.802456,13.628257,31.74773,21.366312,12.308887,54.188221
30.95207,158.603882,27.604502,46.91716,84.684753,13.450963,11.246511,86.333076,43.787621,31.561293,101.388329,32.976715,52.800995,13.642907,31.747217,22.072338,12.313603,53.304512
31.079805,158.662903,27.354843,47.053818,84.614449,13.334102,11.465765,86.603333,43.538486,31.639668,101.487747,32.899632,52.803513,13.631386,31.745703,22.837727,12.230059,52.422935
31.183889,158.709427,27.133345,47.143703,84.538597,13.269089,11.608356,86.853996,43.292545,31.661243,101.571571,32.827011,52.827774,13.625037,31.756605,23.651445,12.035905,51.549
31.272762,158.710449,26.934175,47.291565,84.405632,13.270901,11.748804,87.025269,42.984154,31.679609,101.585258,32.788158,52.832191,13.613471,31.764957,24.462313,11.779129,50.726871
31.347662,158.709793,26.75046,47.430302,84.210999,13.394181,11.868576,87.171494,42.667885,31.652037,101.582802,32.713646,52.829109,13.638387,31.750063,24.963005,11.527342,50.306057
31.411922,158.676254,26.59606,47.57349,84.000313,13.579667,11.974558,87.288353,42.283035,31.637688,101.532043,32.661995,52.846771,13.633315,31.753464,24.859659,11.442749,50.238655
31.452164,158.631317,26.45446,47.698219,83.791862,13.808167,12.055847,87.394508,41.866898,31.600746,101.457314,32.593845,52.825447,13.670207,31.757002,24.927505,11.339735,49.866112
31.474258,158.578979,26.323706,47.90379,83.547508,14.111594,12.146396,87.491226,41.401432,31.612265,101.343292,32.513935,52.877857,13.677124,31.781723,25.080975,11.227219,49.930378
31.474051,158.511002,26.189121,48.163002,83.248764,14.47064,12.18895,87.586349,40.876041,31.615429,101.231079,32.419899,52.830074,13.766202,31.773903,25.152771,11.130692,50.103874
31.465672,158.421738,26.066711,48.495304,82.863823,14.881093,12.123148,87.731407,40.292767,31.626003,101.096611,32.295036,52.819847,13.767969,31.804909,25.081518,11.095973,50.204887
31.444466,158.319901,25.949345,48.920132,82.363274,15.266056,11.918688,87.972237,39.607597,31.682665,100.970192,32.196884,52.774567,13.814346,31.835022,25.067093,11.025759,50.408455
31.412025,158.209946,25.827095,49.50631,81.806305,15.598239,11.642881,88.4095,38.760605,31.750494,100.804909,32.072132,52.760887,13.843839,31.867554,25.126965,10.927115,50.530003
31.368036,158.101288,25.688509,50.083782,81.207771,15.925598,11.395554,89.042816,37.7672,31.899405,100.601013,32.018696,52.711884,13.908719,31.886988,25.186243,10.878255,50.536224
31.303453,157.998459,25.529015,50.684177,80.645607,16.206583,11.173306,89.891602,36.614422,32.063023,100.342514,31.978432,52.680023,13.935567,31.883812,25.317856,10.74584,50.580315
31.240618,157.903656,25.338827,51.241192,80.179939,16.420874,11.002075,90.933113,35.327393,32.17065,100.097084,31.955597,52.609257,14.00787,31.828476,25.36335,10.670108,50.643288
