head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-10.159755,163.917175,-8.525592,13.757771,81.737602,-15.210569,-30.192602,79.389595,-17.707169,-7.667577,100.649239,-12.061948,18.47921,11.178911,-5.031252,-14.9109,10.553991,-1.155734
-10.180712,163.917435,-8.515501,13.670597,81.819283,-15.336776,-30.170521,79.355133,-17.643763,-7.662854,100.649239,-12.070296,18.47921,11.178911,-5.031252,-14.9109,10.553991,-1.155734
-10.192405,163.917847,-8.481986,13.594894,81.897644,-15.449841,-30.174467,79.368561,-17.605536,-7.664248,100.625389,-12.017812,18.473789,11.178911,-5.018895,-14.9109,10.553991,-1.139674
-10.215643,163.918243,-8.464911,13.53172,81.979279,-15.571368,-30.150463,79.331299,-17.545444,-7.683988,100.628517,-12.022546,18.467693,11.178911,-5.021111,-14.9109,10.554868,-1.138576
-10.227747,163.918686,-8.445466,13.48033,82.05603,-15.681427,-30.146053,79.345589,-17.521027,-7.687836,100.607018,-11.982889,18.465096,11.178911,-5.024125,-14.9109,10.556042,-1.132686
-10.2481,163.919113,-8.435704,13.443194,82.129639,-15.792734,-30.12472,79.343208,-17.487146,-7.688917,100.592468,-11.980045,18.462406,11.179819,-5.02655,-14.909669,10.557199,-1.127453
-10.263811,163.91951,-8.423602,13.413462,82.198982,-15.882256,-30.107809,79.384277,-17.481388,-7.703916,100.583832,-11.950959,18.460045,11.168495,-5.028028,-14.907945,10.558365,-1.122699
-10.285295,163.919907,-8.423408,13.392319,82.271576,-15.980155,-30.062817,79.384224,-17.449461,-7.740122,100.598854,-11.946297,18.458229,11.167417,-5.029424,-14.905928,10.559566,-1.114135
-10.298493,163.920273,-8.424336,13.388023,82.336655,-16.059042,-30.032789,79.43399,-17.447674,-7.763309,100.590309,-11.919199,18.456553,11.165368,-5.030816,-14.903125,10.56083,-1.10761
-10.306606,163.920609,-8.43594,13.392101,82.392006,-16.13402,-29.97393,79.432266,-17.417515,-7.785347,100.57766,-11.899203,18.455139,11.160285,-5.032283,-14.899816,10.562181,-1.102849
-10.30839,163.920547,-8.456073,13.39684,82.444321,-16.192554,-29.927446,79.471916,-17.416605,-7.822529,100.568222,-11.892653,18.442118,11.173896,-5.04543,-14.897609,10.581949,-1.112787
-10.30956,163.906311,-8.48045,13.39904,82.493263,-16.235489,-29.858488,79.465912,-17.400097,-7.859714,100.55043,-11.860293,18.431774,11.16832,-5.052122,-14.91765,10.605346,-1.097554
-10.310488,163.881302,-8.509733,13.400607,82.521072,-16.241592,-29.801624,79.500526,-17.424732,-7.895017,100.537178,-11.848883,18.429655,11.1544,-5.046313,-14.899382,10.58808,-1.088155
-10.284477,163.843933,-8.545821,13.400136,82.538376,-16.237886,-29.722229,79.517906,-17.460102,-7.924542,100.512428,-11.813136,18.427423,11.149884,-5.05749,-14.904806,10.602962,-1.068788
-10.244697,163.80246,-8.58815,13.389956,82.551567,-16.204163,-29.631664,79.56662,-17.524048,-7.964433,100.494576,-11.801695,18.416388,11.149283,-5.065213,-14.910289,10.613845,-1.054148
-10.190664,163.756241,-8.658722,13.383309,82.56665,-16.156172,-29.498701,79.565277,-17.57383,-7.988211,100.447594,-11.756869,18.414595,11.141463,-5.078794,-14.925611,10.61887,-1.0331
-10.102269,163.687271,-8.725904,13.378069,82.572754,-16.096994,-29.367743,79.577621,-17.655499,-8.016149,100.39183,-11.732947,18.413774,11.136112,-5.095535,-14.932964,10.619308,-1.020568
-9.968435,163.605377,-8.81315,13.380769,82.607567,-16.007105,-29.196014,79.546539,-17.731052,-8.008547,100.308777,-11.666401,18.412851,11.146608,-5.121448,-14.928122,10.632449,-0.995037
-9.794233,163.51886,-8.883867,13.390538,82.670891,-15.897245,-28.989325,79.5364,-17.817633,-7.953648,100.211014,-11.57793,18.409164,11.151288,-5.162791,-14.928931,10.650708,-0.96666
-9.597124,163.410599,-8.999205,13.40665,82.751152,-15.777024,-28.746603,79.468094,-17.909813,-7.884419,100.101295,-11.487844,18.403305,11.158362,-5.232466,-14.94142,10.670281,-0.945083
-9.352113,163.283371,-9.101535,13.449716,82.868309,-15.622565,-28.463106,79.401146,-18.019541,-7.715939,99.934807,-11.328494,18.406662,11.166708,-5.297836,-14.94436,10.685197,-0.925516
-9.086316,163.136261,-9.236232,13.515466,82.995995,-15.466561,-28.138952,79.304619,-18.14831,-7.693382,99.919708,-11.293612,18.419533,11.206834,-5.381879,-14.946095,10.702495,-0.906558
-8.784245,162.98465,-9.339197,13.604848,83.147919,-15.284757,-27.775351,79.217072,-18.297363,-7.515598,99.798233,-11.094671,18.468388,11.250381,-5.489399,-14.949344,10.715189,-0.878618
-8.482756,162.833191,-9.482602,13.719432,83.309586,-15.107458,-27.355076,79.089752,-18.454348,-7.369715,99.788017,-11.025681,18.513975,11.291525,-5.646776,-14.964335,10.73416,-0.858277
-8.169106,162.681793,-9.600904,13.855206,83.484138,-14.884336,-26.901623,78.984215,-18.631929,-7.191871,99.715607,-10.905165,18.599512,11.360105,-5.821486,-14.974608,10.740462,-0.838934
-7.863081,162.551331,-9.748683,14.019527,83.671349,-14.665963,-26.41497,78.849625,-18.814617,-7.005283,99.68763,-10.826101,18.69713,11.472437,-6.042175,-14.980942,10.753996,-0.826349
-7.535935,162.44606,-9.894295,14.211124,83.869308,-14.375104,-25.886774,78.739403,-19.015877,-6.805007,99.671288,-10.774309,18.849277,11.659384,-6.361734,-14.983713,10.763323,-0.81716
-7.221088,162.374252,-10.055171,14.425073,84.051323,-14.075525,-25.325727,78.584213,-19.216972,-6.568939,99.615608,-10.701508,18.959698,11.86215,-6.738227,-14.95968,10.751145,-0.812838
-6.89351,162.346481,-10.22293,14.632783,84.238228,-13.689312,-24.758829,78.472992,-19.444277,-6.338871,99.589615,-10.676585,19.044703,12.063699,-7.198336,-14.949947,10.740618,-0.810931
-6.603313,162.341751,-10.415221,14.833869,84.414963,-13.281485,-24.175919,78.329376,-19.676785,-6.066595,99.552422,-10.65415,19.202665,12.308005,-7.751653,-14.952479,10.760606,-0.8142
-6.288316,162.345352,-10.598719,15.043683,84.536575,-12.769102,-23.578556,78.222603,-19.940536,-5.777514,99.515511,-10.644752,19.474375,12.535091,-8.329379,-14.936789,10.746708,-0.818265
-5.9967,162.355469,-10.788873,15.302201,84.605835,-12.23553,-22.95957,78.098122,-20.210693,-5.458915,99.482544,-10.666903,19.810925,12.745886,-8.907824,-14.925256,10.733418,-0.832297
-5.679977,162.376862,-11.00045,15.664318,84.656441,-11.693663,-22.330328,78.046631,-20.535515,-5.126665,99.449875,-10.714966,20.197496,12.956223,-9.59378,-14.922496,10.730054,-0.853967
