head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
10.940075,162.021332,-0.498736,25.016571,25.016571,25.016571,-14.921427,82.919815,2.731556,6.492162,95.587555,2.759707,21.568806,8.953131,13.544941,-17.307722,12.311673,24.024141
10.88817,161.971085,-0.54888,24.974989,24.974989,24.974989,-15.115108,82.919815,2.825213,6.270361,95.787239,2.63968,21.56418,8.967133,13.548713,-17.276836,12.295028,24.042221
10.831941,161.920166,-0.607767,24.957891,24.957891,24.957891,-15.327472,82.896408,2.916744,6.33704,95.726311,2.722497,21.560324,8.966526,13.563081,-17.269129,12.314113,24.044138
10.756741,161.865829,-0.679006,24.909861,24.909861,24.909861,-15.555602,82.871437,3.011191,6.130436,95.901314,2.60887,21.542059,8.965781,13.566525,-17.262804,12.322201,24.018156
10.664714,161.822388,-0.754129,24.85783,24.85783,24.85783,-15.811392,82.841934,3.100329,6.179459,95.842567,2.68456,21.524761,8.96497,13.570448,-17.258841,12.34825,24.016684
10.558802,161.785797,-0.824543,24.78904,24.78904,24.78904,-16.078007,82.815933,3.196682,5.976676,95.998573,2.582098,21.525467,8.964162,13.574164,-17.238295,12.355964,24.003361
10.435037,161.769028,-0.891681,24.7299,24.7299,24.7299,-16.342995,82.7938,3.294017,5.979528,95.941513,2.653262,21.526577,8.937952,13.619752,-17.238276,12.386132,23.990248
10.28311,161.773209,-0.954986,24.598192,24.598192,24.598192,-16.632914,82.806496,3.38336,5.755332,96.06086,2.575933,21.546272,8.936178,13.602701,-17.196199,12.363379,23.997908
10.090169,161.810501,-1.026318,24.435738,24.435738,24.435738,-16.922722,82.842369,3.45755,5.663455,96.023552,2.642557,21.574753,8.934549,13.59098,-17.196205,12.388418,23.98443
9.882902,161.87442,-1.081014,24.240509,24.240509,24.240509,-17.220091,82.883316,3.553056,5.355763,96.170662,2.577187,21.590755,8.932774,13.582121,-17.166544,12.37412,23.982851
9.637277,161.958603,-1.135486,24.044346,24.044346,24.044346,-17.504478,82.902046,3.658742,5.213959,96.131714,2.655172,21.630104,8.90884,13.585395,-17.14064,12.372011,23.983166
9.351902,162.069885,-1.165769,23.797056,23.797056,23.797056,-17.789408,82.908188,3.823458,4.879622,96.252205,2.602755,21.643784,8.909789,13.588716,-17.107134,12.352613,23.994932
9.011418,162.19249,-1.189626,23.504086,23.504086,23.504086,-18.048346,82.898476,3.987328,4.66641,96.226562,2.653258,21.656908,8.918941,13.592059,-17.091599,12.374605,23.977697
8.622172,162.325394,-1.169201,23.159117,23.159117,23.159117,-18.278002,82.857971,4.223027,4.249319,96.350807,2.594309,21.65822,8.918305,13.595378,-17.078243,12.35719,23.978065
