head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-15.79417,166.350311,40.151985,2.967954,169.924622,42.946972,-34.227871,174.670761,40.484516,-17.878174,96.606972,34.344269,14.93491,11.14738,40.510506,-37.368729,11.460686,41.659489
-15.865456,166.332397,40.255165,3.363723,170.650085,42.250526,-34.360569,175.212952,39.757023,-17.889223,96.602448,34.300636,14.88278,11.066801,40.534718,-37.368729,11.460686,41.659248
-15.913674,166.288284,40.368641,3.938097,171.574142,41.297195,-34.458241,175.894943,38.748493,-17.864271,96.55883,34.228523,14.85995,10.971269,40.598419,-37.368729,11.446536,41.658829
-15.919495,166.235931,40.498417,4.60525,172.699875,40.078114,-34.574692,176.779449,37.492813,-17.775225,96.503464,34.155579,14.90826,10.931428,40.636276,-37.368305,11.432023,41.658436
-15.897552,166.181671,40.661377,5.426779,173.970871,38.595867,-34.781483,177.834137,36.032234,-17.632614,96.465416,34.064487,15.008291,10.874836,40.705803,-37.357315,11.431828,41.658051
-15.856111,166.121521,40.832787,6.209731,175.294525,36.808964,-35.053326,179.020599,34.355427,-17.473072,96.432823,33.965218,15.090041,10.848583,40.781803,-37.340374,11.439539,41.657635
-15.775535,166.057663,41.027927,7.025178,176.540192,34.821331,-35.308811,180.051971,32.577446,-17.283941,96.399864,33.855427,15.162519,10.821641,40.826637,-37.326202,11.437263,41.657162
-15.657893,165.998749,41.221066,7.741295,177.639709,32.761539,-35.486034,180.977966,30.828377,-17.058979,96.395103,33.756023,15.260486,10.768468,40.895969,-37.320862,11.434563,41.656609
-15.535769,165.963715,41.410156,8.485782,178.472824,30.820208,-35.615459,181.578964,29.365747,-16.831978,96.404427,33.662109,15.307127,10.760955,40.92907,-37.315727,11.431597,41.655937
-15.377033,165.980118,41.582485,9.13104,179.063736,29.15332,-35.581722,181.905197,28.302504,-16.586714,96.472519,33.571007,15.330934,10.745728,40.947197,-37.308067,11.428632,41.64986
-15.180256,166.022583,41.730015,9.50467,179.285751,28.049623,-35.282722,181.885605,27.803242,-16.326946,96.550041,33.488205,15.330756,10.757492,40.957554,-37.294926,11.425666,41.641819
-14.948111,166.095276,41.82621,9.61975,179.147919,27.624285,-34.707539,181.541672,27.877003,-16.017807,96.624695,33.426018,15.360635,10.717842,40.988541,-37.283707,11.421249,41.636036
-14.697172,166.204559,41.889133,9.28748,178.729462,27.753155,-33.817425,180.978775,28.449928,-15.723807,96.680656,33.382236,15.361217,10.710445,41.004494,-37.266785,11.4132,41.631596
-14.43287,166.332794,41.912773,8.680068,178.029037,28.32,-32.739906,180.090759,29.411734,-15.417179,96.673538,33.35133,15.362118,10.708412,41.012794,-37.253716,11.407475,41.62693
