head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
17.677265,158.661163,11.833609,35.908936,80.357315,6.013405,-2.722144,81.260086,10.918641,15.803761,97.455338,10.204065,36.825634,7.494164,19.712662,-9.103453,8.094728,21.187513
17.66688,158.662445,11.836967,35.890167,80.37294,6.013405,-2.754367,81.248077,10.93626,15.75478,97.46479,10.206374,36.821171,7.49892,19.710712,-9.106662,8.094986,21.188051
17.649878,158.669632,11.86088,35.85585,80.382164,6.013405,-2.760652,81.20636,10.96427,15.729939,97.457161,10.215954,36.809937,7.510462,19.706758,-9.11054,8.098735,21.188778
17.634079,158.682098,11.890158,35.831951,80.394745,6.013405,-2.820561,81.215652,10.950775,15.704389,97.451172,10.237005,36.765377,7.558977,19.681816,-9.11611,8.093506,21.189421
17.61009,158.693329,11.913397,35.80624,80.406822,6.013405,-2.838139,81.182785,10.974532,15.682776,97.443474,10.253807,36.754974,7.572452,19.677851,-9.107331,8.077518,21.196732
17.587204,158.704529,11.935648,35.791965,80.413475,6.017962,-2.872541,81.179695,10.970978,15.669503,97.435333,10.265751,36.707809,7.630132,19.639675,-9.100708,8.069827,21.197851
17.55864,158.71904,11.961734,35.786762,80.423294,6.024928,-2.887577,81.156235,10.987278,15.649889,97.432518,10.284583,36.69622,7.645626,19.635391,-9.099669,8.066593,21.19709
17.525482,158.728775,11.987617,35.782688,80.421776,6.032373,-2.941821,81.163193,10.972496,15.580096,97.453407,10.282359,36.655338,7.664414,19.626469,-9.110025,8.064732,21.196594
17.500048,158.741821,12.017169,35.781116,80.436157,6.047414,-2.945584,81.142845,10.989182,15.556606,97.451729,10.305846,36.641247,7.678554,19.623167,-9.110015,8.058816,21.196951
17.475525,158.761032,12.04807,35.779648,80.469917,6.06944,-2.981031,81.180275,10.963607,15.519991,97.474312,10.321445,36.633789,7.706043,19.616768,-9.097096,8.061705,21.20706
17.441374,158.779907,12.074386,35.777954,80.497932,6.099053,-2.973972,81.159668,10.980878,15.496172,97.474693,10.349539,36.621857,7.721413,19.617643,-9.102222,8.065571,21.215944
17.415396,158.800385,12.113283,35.775448,80.537491,6.136141,-3.026458,81.204521,10.945981,15.484282,97.473717,10.391283,36.627071,7.737636,19.618612,-9.103604,8.083675,21.217304
17.38258,158.819763,12.145133,35.772247,80.592606,6.180538,-3.040342,81.208946,10.950573,15.460091,97.475456,10.417828,36.617554,7.753861,19.619493,-9.10187,8.094591,21.218044
17.352531,158.846848,12.178973,35.769329,80.675476,6.205924,-3.116623,81.310333,10.889214,15.393054,97.512566,10.413247,36.599499,7.771904,19.607458,-9.116539,8.126246,21.196255
17.314074,158.883514,12.189886,35.766518,80.802208,6.204021,-3.1967,81.426338,10.822658,15.365499,97.516113,10.438356,36.589523,7.787709,19.606638,-9.121569,8.14029,21.189915
17.276836,158.92157,12.191122,35.774101,80.977196,6.16668,-3.431679,81.647621,10.653064,15.322056,97.530418,10.451672,36.561455,7.803631,19.585651,-9.129581,8.134621,21.187788
17.249151,158.970322,12.191131,35.857765,81.213997,6.064719,-3.798263,81.859566,10.454835,15.293048,97.52655,10.483403,36.550102,7.817169,19.581404,-9.130214,8.130866,21.186077
17.230436,159.025055,12.190512,36.039562,81.503983,5.877406,-4.365036,82.155273,10.170319,15.255513,97.54351,10.516363,36.552402,7.810129,19.592064,-9.130472,8.13571,21.185349
17.213037,159.06514,12.189294,36.32449,81.856354,5.609514,-4.994815,82.421471,9.896864,15.224234,97.542595,10.557663,36.54089,7.822968,19.588734,-9.132816,8.141569,21.188332
17.197632,159.100601,12.187766,36.715496,82.286148,5.274001,-5.815496,82.778847,9.558477,15.174564,97.561172,10.594024,36.542545,7.808708,19.601933,-9.134054,8.138744,21.205158
17.184256,159.127747,12.186228,37.204067,82.755005,4.878211,-6.629397,83.090912,9.261773,15.14195,97.555611,10.644648,36.529816,7.821918,19.59889,-9.03033,7.973458,21.291813
17.171761,159.14801,12.193172,37.813602,83.294067,4.407689,-7.575294,83.475365,8.889119,15.12141,97.551636,10.684383,36.509598,7.833077,19.580349,-9.027972,7.963061,21.292181
17.168829,159.168564,12.210987,38.504959,83.85202,3.895848,-8.611413,83.822418,8.561275,15.09628,97.554916,10.737885,36.497547,7.844311,19.579363,-9.026582,7.952181,21.29388
17.167652,159.187042,12.232641,39.277012,84.455971,3.364165,-9.785491,84.230751,8.174212,15.074142,97.55793,10.805099,36.492348,7.851393,19.57769,-9.028766,7.946719,21.295799
17.166937,159.208847,12.256073,40.150021,85.084724,2.808134,-11.043573,84.616188,7.829379,15.04814,97.559959,10.870182,36.483521,7.863554,19.57472,-9.032405,7.960169,21.297726
17.166306,159.245514,12.286917,41.114685,85.72303,2.201967,-12.400433,85.076057,7.42179,14.988188,97.595833,10.909614,36.475071,7.887597,19.571768,-9.0313,7.958666,21.29965
