head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
6.46683,159.639465,26.390886,30.007862,99.966522,3.601134,-12.10916,112.485268,5.593407,3.511178,96.111084,26.762045,31.33989,11.003839,39.25816,-24.725092,11.574995,36.641216
6.324505,159.652252,26.450823,29.84428,99.947327,3.694035,-12.267766,112.540634,5.621839,3.347562,96.096573,26.762045,31.33989,11.003839,39.25816,-24.757383,11.619374,36.647919
6.162958,159.669769,26.508577,29.682419,99.867622,3.786426,-12.431176,112.632248,5.634837,3.181615,96.077118,26.765171,31.33989,11.014532,39.258347,-24.778763,11.641909,36.652763
6.007251,159.692261,26.552246,29.512428,99.808456,3.873827,-12.559648,112.703659,5.644268,3.014653,96.060936,26.774763,31.339495,11.022433,39.269455,-24.828722,11.733704,36.63279
5.848839,159.711563,26.596653,29.3533,99.740013,3.965059,-12.69287,112.773201,5.656934,2.849119,96.050835,26.786783,31.355146,11.023602,39.282799,-24.850943,11.757714,36.630066
5.677458,159.730453,26.638727,29.18712,99.705376,4.055016,-12.830869,112.829323,5.664229,2.687028,96.046936,26.79912,31.354315,11.024347,39.292152,-24.907858,11.844281,36.602531
5.499207,159.746567,26.682888,29.011379,99.690392,4.151048,-12.981458,112.905502,5.67628,2.52827,96.044952,26.812679,31.353239,11.037513,39.293209,-24.929022,11.871346,36.594776
5.322564,159.757187,26.72542,28.84413,99.679222,4.240659,-13.110013,112.948753,5.674449,2.374537,96.043083,26.827459,31.352421,11.03987,39.293896,-24.96513,11.936758,36.57317
5.151376,159.759125,26.757378,28.684996,99.661667,4.320827,-13.216059,113.0084,5.666176,2.224789,96.04097,26.841562,31.352341,11.04257,39.294308,-24.987682,11.963952,36.564743
4.980186,159.759979,26.795786,28.50416,99.641464,4.406672,-13.316217,113.061546,5.680409,2.07846,96.035561,26.852619,31.35285,11.047033,39.29454,-25.010754,12.021074,36.544682
4.796153,159.759445,26.835327,28.323441,99.624748,4.497053,-13.415504,113.129356,5.693044,1.935435,96.030067,26.862673,31.353687,11.055287,39.294685,-25.036436,12.048168,36.5341
