head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-6.198549,157.039429,-1.979554,-1.716936,132.146713,-8.294355,-12.640821,130.501022,-12.159168,-5.088377,92.719795,5.853027,21.853287,10.30848,10.050315,-26.956261,11.435974,9.676987
-6.599813,157.016251,-2.02776,-2.08932,132.142929,-8.365071,-13.004864,130.392365,-12.213072,-5.253878,92.735657,5.872918,21.864513,10.305264,9.99669,-26.956261,11.409245,9.664149
-6.964662,157.023285,-2.089978,-2.45243,132.165863,-8.474073,-13.362748,130.316864,-12.259254,-5.401328,92.814568,5.897591,21.866104,10.351025,9.967597,-26.957504,11.394096,9.670524
-7.304369,157.046783,-2.139107,-2.806958,132.237854,-8.572115,-13.69048,130.295837,-12.284614,-5.511516,92.880585,5.882972,21.892391,10.408059,9.937295,-26.95933,11.385621,9.660182
-7.583914,157.099014,-2.196943,-3.088893,132.368149,-8.673209,-13.971831,130.309174,-12.300002,-5.577385,93.056229,5.854621,21.923748,10.490345,9.95023,-26.960863,11.362201,9.663995
-7.828084,157.170135,-2.239151,-3.344457,132.533432,-8.729199,-14.230183,130.393173,-12.285441,-5.660721,93.180634,5.766962,21.943674,10.621981,9.97763,-26.972567,11.372099,9.655269
-7.996865,157.260544,-2.273812,-3.510601,132.753143,-8.782972,-14.451194,130.53154,-12.265849,-5.644423,93.334183,5.763669,21.980635,10.763214,10.010715,-26.97888,11.358306,9.666233
-8.11241,157.343109,-2.288582,-3.605186,132.976242,-8.80497,-14.648645,130.70015,-12.22788,-5.517998,93.441643,5.733729,22.149336,10.87923,10.057,-26.948772,11.341294,9.650755
-8.171736,157.447647,-2.306332,-3.651417,133.218719,-8.817099,-14.821028,130.89859,-12.1917,-5.35136,93.527603,5.718482,22.486673,11.03371,10.192333,-26.950003,11.318501,9.654112
-8.198317,157.560425,-2.315909,-3.691877,133.449661,-8.796944,-14.985892,131.127914,-12.160778,-5.070628,93.561829,5.712136,22.925249,11.263784,10.348719,-26.956892,11.346609,9.640428
-8.150047,157.671875,-2.312683,-3.691884,133.637955,-8.770144,-15.076372,131.325439,-12.144671,-4.764565,93.559258,5.734766,23.483561,11.385993,10.530753,-26.950436,11.346489,9.652216
-8.048736,157.76355,-2.291976,-3.663048,133.768234,-8.704414,-15.097836,131.503296,-12.097017,-4.432544,93.629143,5.718337,24.052864,11.443166,10.683409,-26.931879,11.346518,9.640858
-7.898081,157.848099,-2.284036,-3.611825,133.866898,-8.680656,-15.043921,131.664673,-12.063251,-4.040017,93.621902,5.709269,24.598284,11.427785,10.805791,-26.927765,11.33192,9.634912
-7.716968,157.921906,-2.261316,-3.574093,133.966858,-8.627248,-14.952114,131.813477,-12.004506,-3.660768,93.65551,5.676473,25.026957,11.25512,10.865781,-26.940126,11.370226,9.61545
-7.46857,157.952194,-2.241965,-3.424257,134.025833,-8.610741,-14.771274,131.94313,-11.913198,-3.163279,93.558525,5.66457,25.487717,11.032637,10.877808,-26.932724,11.368651,9.618495
-7.170523,157.954224,-2.196442,-3.20364,134.06012,-8.552123,-14.54844,132.039185,-11.765816,-2.736974,93.54538,5.584257,25.753914,10.78019,10.969923,-26.911448,11.367249,9.624061
-6.816379,157.939301,-2.148596,-2.904377,134.113892,-8.545741,-14.288193,132.133102,-11.613914,-2.146316,93.36055,5.573444,25.815147,10.829496,11.21032,-26.890232,11.366582,9.632766
-6.42232,157.90976,-2.106232,-2.556606,134.177246,-8.508871,-14.010458,132.236725,-11.450624,-1.633892,93.297043,5.501728,25.899504,10.744123,11.224497,-26.877638,11.404965,9.63595
-5.98515,157.877197,-2.067316,-2.143451,134.252838,-8.486978,-13.668409,132.298706,-11.292014,-1.018965,93.185265,5.463603,25.864815,10.652574,11.187219,-26.863281,11.426435,9.638237
-5.507999,157.849457,-2.049934,-1.683604,134.346664,-8.465974,-13.290369,132.369537,-11.144913,-0.3411,93.084892,5.470827,25.879072,10.562089,11.163567,-26.847994,11.466961,9.640447
-5.001263,157.809525,-2.024011,-1.221527,134.431244,-8.424677,-12.855293,132.391708,-10.970643,0.260462,93.129997,5.373554,25.840637,10.436237,11.128211,-26.858326,11.489634,9.658251
-4.447167,157.773224,-2.016279,-0.729338,134.509338,-8.351151,-12.349922,132.416031,-10.787896,1.726274,92.285271,5.828846,25.802914,10.391593,11.148246,-26.876389,11.510484,9.621292
-3.890496,157.729401,-1.982111,-0.265634,134.58046,-8.230782,-11.8353,132.445465,-10.526771,2.343479,92.285339,5.765841,25.778034,10.275461,11.157351,-26.932728,11.513641,9.569151
-3.303287,157.704514,-1.971364,0.208234,134.684509,-8.079745,-11.31205,132.508209,-10.27004,2.867737,92.287308,5.71447,25.741264,10.287477,11.138286,-27.008953,11.538144,9.448232
-2.714284,157.696198,-1.93522,0.702217,134.789871,-7.876597,-10.790939,132.588028,-9.943112,3.331565,92.303703,5.659908,25.724236,10.235984,11.141803,-27.082666,11.578391,9.291574
-2.107278,157.710144,-1.921619,1.24239,134.931656,-7.632753,-10.251739,132.717972,-9.617591,3.785953,92.328758,5.633087,25.735785,10.203429,11.125049,-27.217087,11.622247,9.141698
-1.490715,157.759201,-1.884625,1.768904,135.116425,-7.361216,-9.770144,132.930542,-9.273956,4.238661,92.345512,5.567934,25.726173,10.168921,11.134326,-27.351696,11.722986,8.941378
-0.882692,157.861053,-1.891089,2.279055,135.35495,-7.073501,-9.320892,133.279999,-9.025,4.642915,92.416695,5.474253,25.701649,10.16637,11.119051,-27.46118,11.879772,8.681211
-0.254641,157.986816,-1.872758,2.75619,135.589706,-6.712257,-8.90227,133.757797,-8.738001,5.062921,92.435928,5.375305,25.733452,10.13348,11.120288,-27.540461,11.993203,8.428193
0.381687,158.134338,-1.862344,3.23295,135.817719,-6.256874,-8.4445,134.369553,-8.486959,5.325205,92.541428,5.207776,25.864988,10.057521,11.079444,-27.56473,12.156375,8.191022
1.005749,158.32193,-1.85749,3.649745,136.084351,-5.751784,-7.943997,135.146744,-8.30997,5.593234,92.612747,5.082158,25.926958,10.044882,11.088114,-27.725698,12.288204,7.942466
1.595703,158.542603,-1.854454,3.993925,136.414078,-5.194146,-7.293811,136.05159,-8.2293,5.740939,92.759476,4.903826,25.918262,10.040952,11.088285,-27.986788,12.479795,7.573833
2.176701,158.781036,-1.85454,4.34224,136.754868,-4.603256,-6.44172,137.073761,-8.247507,5.858662,92.900169,4.744268,25.961653,10.057955,11.104108,-28.352282,12.586954,7.079673
2.739514,159.009995,-1.844795,4.697205,137.074585,-3.963751,-5.436741,138.009979,-8.393693,5.795459,93.131973,4.514224,26.062704,10.004384,11.103912,-28.831398,12.548982,6.522821
3.2551,159.24913,-1.844936,4.98024,137.426559,-3.300341,-4.420803,139.120331,-8.878268,5.749916,93.310509,4.337381,26.096674,10.001533,11.111419,-29.345465,12.370593,5.97037
