head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-5.385399,160.121704,26.365297,16.010899,77.275787,22.517204,-24.528158,75.340973,26.088507,-7.672226,102.764084,25.248486,20.179552,11.803997,37.385342,-28.839911,9.048117,36.202621
-5.454093,160.125183,26.387934,16.106833,78.023621,21.526777,-24.766293,75.291092,26.067621,-7.684068,102.764084,25.278955,20.179552,11.794394,37.385342,-28.841675,9.049079,36.202621
-5.509438,160.131989,26.409431,16.149849,78.899429,20.473171,-24.991442,75.283134,26.015114,-7.664352,102.744576,25.304874,20.177044,11.792327,37.385342,-28.844316,9.050424,36.202621
-5.558996,160.139084,26.443943,16.129629,79.921547,19.339769,-25.174917,75.261696,25.956787,-7.666343,102.746796,25.348907,20.174425,11.789505,37.385342,-28.846268,9.05885,36.202621
-5.602497,160.147491,26.471823,16.074753,81.06736,18.158136,-25.337933,75.274757,25.877401,-7.669752,102.74678,25.367216,20.173788,11.786453,37.385788,-28.847925,9.06374,36.202621
-5.646613,160.159363,26.507711,15.978324,82.338158,16.958261,-25.465296,75.283752,25.786758,-7.672732,102.742104,25.411732,20.153011,11.80219,37.388046,-28.849535,9.089286,36.202621
-5.673761,160.163498,26.549082,15.864249,83.713997,15.739999,-25.564529,75.314743,25.681692,-7.646177,102.748772,25.441797,20.154449,11.801788,37.390301,-28.853786,9.092704,36.203228
-5.693273,160.167984,26.6005,15.738385,85.189522,14.517162,-25.636797,75.333183,25.571451,-7.634731,102.745216,25.490061,20.174702,11.78788,37.392555,-28.829784,9.073078,36.20417
-5.711199,160.173279,26.651587,15.623119,86.783745,13.293986,-25.69038,75.369499,25.449339,-7.630285,102.748184,25.51165,20.174522,11.791413,37.394802,-28.828173,9.07819,36.205101
-5.72924,160.17894,26.698412,15.509737,88.46019,12.116731,-25.7229,75.401955,25.318821,-7.623801,102.750763,25.553112,20.174314,11.793867,37.397079,-28.827072,9.081612,36.206024
-5.736942,160.184235,26.748766,15.384151,90.23642,10.982635,-25.723093,75.445847,25.185364,-7.61189,102.75322,25.575521,20.174084,11.795582,37.382076,-28.826113,9.083124,36.20694
-5.742428,160.190964,26.797295,15.203434,92.063751,9.911035,-25.702414,75.479195,25.041719,-7.592354,102.765022,25.614153,20.173838,11.783972,37.377525,-28.825258,9.079787,36.207855
-5.745687,160.198959,26.864059,15.010703,93.898933,8.8731,-25.660118,75.524986,24.888327,-7.579329,102.766655,25.655722,20.173584,11.783516,37.39399,-28.826242,9.075673,36.208771
