head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-15.511358,91.179787,60.908401,-2.731061,46.841419,44.139263,-18.19241,46.68404,34.653599,-21.051003,47.534168,102.633598,1.434124,8.691751,98.895981,-48.475815,12.086451,82.573547
-15.489355,91.155182,60.861195,-2.693563,46.812305,44.15675,-18.079929,46.603825,34.692833,-20.955801,47.586952,102.814629,1.441832,8.684537,98.898613,-48.482918,12.114288,82.548668
-15.451975,91.124527,60.811237,-2.628827,46.752048,44.152458,-17.965954,46.529709,34.75058,-20.860323,47.640213,102.99324,1.431503,8.708843,98.87928,-48.464066,12.085516,82.576645
-15.410888,91.097008,60.771641,-2.59608,46.71653,44.184059,-17.865292,46.459431,34.800106,-20.764334,47.690948,103.171326,1.44137,8.706362,98.881134,-48.462116,12.098024,82.569077
-15.359926,91.076828,60.724186,-2.527982,46.678848,44.187603,-17.776024,46.410454,34.831184,-20.666956,47.740704,103.349846,1.451382,8.707124,98.903358,-48.426472,12.032391,82.648857
-15.302027,91.053513,60.6917,-2.482579,46.65057,44.207867,-17.733437,46.398411,34.852612,-20.567999,47.789577,103.529778,1.467591,8.6833,98.929031,-48.421783,12.050821,82.643272
-15.249745,91.03875,60.662086,-2.420533,46.638317,44.242611,-17.670279,46.357395,34.853794,-20.468321,47.839912,103.71286,1.436158,8.731635,98.85701,-48.406631,12.024554,82.654251
-15.179373,91.022682,60.638023,-2.351887,46.623055,44.258511,-17.612261,46.331406,34.865185,-20.366011,47.89291,103.900154,1.423605,8.738576,98.829002,-48.398582,12.044079,82.639771
-15.108573,91.012039,60.618984,-2.293379,46.612358,44.291451,-17.536386,46.276215,34.868328,-20.272305,47.949032,104.061798,1.399479,8.746442,98.807991,-48.402569,12.025859,82.660553
-15.021204,90.998535,60.601498,-2.220187,46.611572,44.310593,-17.450146,46.244617,34.880959,-20.262808,48.031487,104.011398,1.377278,8.779742,98.762077,-48.405457,12.063585,82.625587
-14.929611,90.991737,60.586643,-2.151203,46.612034,44.344868,-17.362667,46.23156,34.881824,-20.253315,48.113941,103.960999,1.377973,8.789342,98.770302,-48.378716,12.041383,82.65844
-14.834852,90.976196,60.58614,-2.077169,46.622913,44.35738,-17.295887,46.234406,34.894176,-20.243822,48.196407,103.910622,1.375686,8.773065,98.784218,-48.374218,12.083614,82.622009
-14.741547,90.965668,60.585793,-1.996655,46.611523,44.358536,-17.216015,46.251835,34.877487,-20.234327,48.278862,103.860222,1.351516,8.823868,98.73748,-48.350445,12.049665,82.657394
-14.638434,90.947411,60.585564,-1.923285,46.599346,44.372059,-17.165899,46.265015,34.86797,-20.224836,48.361317,103.809822,1.335481,8.85708,98.699677,-48.356552,12.075739,82.642731
-14.542189,90.919106,60.585426,-1.831878,46.5676,44.367077,-17.117283,46.264828,34.856556,-20.215345,48.443783,103.759422,1.321862,8.868064,98.686661,-48.36211,12.042069,82.653893
-14.435159,90.895668,60.587715,-1.791612,46.540642,44.392521,-17.06897,46.255108,34.845154,-20.205854,48.526237,103.709023,1.295206,8.90356,98.654297,-48.387131,12.075831,82.631653
