head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
7.788241,157.985794,33.932495,18.639629,80.41716,22.722132,-6.628716,79.69651,40.912567,5.153251,103.747849,39.107258,40.917553,11.75797,32.739311,-5.761623,10.529221,58.218979
7.474932,158.009689,34.080006,18.344341,80.489502,22.860096,-6.741443,79.745949,40.945541,4.905916,103.712288,39.311287,40.795078,11.863,32.666687,-5.77495,10.550188,58.211617
7.157467,158.03746,34.225346,18.062788,80.540489,22.98732,-6.866622,79.82196,40.968189,4.615645,103.700142,39.489151,40.755253,11.884357,32.624043,-5.821267,10.579283,58.192055
6.849742,158.07135,34.365997,17.82099,80.588158,23.109724,-7.024452,79.892204,41.008488,4.389059,103.675072,39.721313,40.671322,11.96297,32.572334,-5.828735,10.599157,58.206692
6.541527,158.109131,34.500946,17.585955,80.61113,23.228382,-7.183589,79.964325,41.055,4.125958,103.684746,39.904137,40.631084,11.991209,32.536167,-5.839358,10.599486,58.212521
6.246531,158.147568,34.613216,17.3573,80.642723,23.336582,-7.347061,80.028236,41.118202,3.924209,103.667488,40.116947,40.501438,12.111103,32.471802,-5.852337,10.599968,58.224022
5.974374,158.185089,34.715851,17.140825,80.667595,23.41684,-7.50801,80.098259,41.195583,3.727153,103.673698,40.308674,40.450188,12.150524,32.45974,-5.835994,10.569889,58.234428
5.702885,158.222504,34.790928,16.928671,80.704735,23.511349,-7.664973,80.165741,41.268936,3.524267,103.682549,40.504925,40.369087,12.192759,32.437897,-5.851959,10.571555,58.244576
5.451382,158.254562,34.841953,16.718599,80.720436,23.594139,-7.829061,80.228256,41.350315,3.390391,103.672073,40.695644,40.298244,12.223767,32.457783,-5.836643,10.546463,58.249332
5.219737,158.27417,34.87376,16.506809,80.724251,23.686775,-7.989406,80.270805,41.410831,3.288192,103.64579,40.88942,40.181667,12.286687,32.472584,-5.842904,10.555544,58.258411
5.000395,158.276672,34.881001,16.289337,80.725708,23.777557,-8.174627,80.322708,41.463058,3.188484,103.603638,41.057629,40.118763,12.294677,32.509724,-5.830497,10.538693,58.267365
4.797626,158.278366,34.881287,16.071705,80.702316,23.898911,-8.372217,80.36454,41.495834,3.098417,103.56356,41.224495,40.053616,12.324886,32.551796,-5.832781,10.542951,58.281254
4.613642,158.270432,34.847317,15.825939,80.650879,24.0502,-8.590782,80.39183,41.504631,3.03349,103.486855,41.36816,40.01622,12.335393,32.592697,-5.834426,10.546223,58.292446
4.433005,158.25145,34.785717,15.589887,80.573151,24.209641,-8.827811,80.398643,41.486118,3.018207,103.39563,41.525784,39.990425,12.339497,32.647831,-5.84171,10.548405,58.315586
4.271232,158.236649,34.684227,15.348026,80.458862,24.396448,-9.079724,80.394676,41.43676,3.011319,103.307144,41.657574,39.978512,12.347098,32.681381,-5.837587,10.542955,58.328758
4.097005,158.229874,34.560738,15.092732,80.300056,24.649946,-9.317039,80.325661,41.387585,3.04939,103.212715,41.793324,39.953644,12.362715,32.716904,-5.830834,10.542768,58.355217
3.949558,158.226105,34.362938,14.849608,80.107635,24.916555,-9.576727,80.245682,41.306309,3.163685,103.095795,41.950016,39.967674,12.365873,32.735535,-5.821599,10.53952,58.362965
3.797403,158.222519,34.133656,14.615648,79.879532,25.229965,-9.80197,80.09317,41.233124,3.253111,103.024712,42.081322,39.997635,12.367109,32.777729,-5.809436,10.546604,58.383411
3.651502,158.213806,33.829792,14.378201,79.600845,25.578297,-10.032283,79.936447,41.128841,3.42285,102.922333,42.239983,40.023556,12.371876,32.803535,-5.786628,10.533545,58.387196
3.495555,158.189148,33.477818,14.161856,79.30233,25.962366,-10.156421,79.699524,41.032028,3.566441,102.847107,42.362862,40.016731,12.419322,32.815639,-5.777621,10.5256,58.394287
3.339831,158.125107,33.047821,13.953121,78.96463,26.347227,-10.278711,79.47979,40.895626,3.849594,102.718513,42.575813,40.020565,12.432784,32.845306,-5.768978,10.535981,58.394802
3.18351,158.015167,32.576,13.762699,78.577042,26.716488,-10.298833,79.206779,40.736385,4.091687,102.623146,42.761646,39.990284,12.48147,32.869312,-5.752822,10.533902,58.415386
3.03669,157.83696,32.017567,13.570426,78.165276,27.022938,-10.313757,78.939003,40.519035,4.470707,102.453003,43.033287,39.983166,12.491916,32.90036,-5.74437,10.552438,58.415588
2.877785,157.592941,31.395346,13.369095,77.73732,27.241653,-10.23565,78.639641,40.247063,4.819553,102.294067,43.283016,39.976608,12.5123,32.926628,-5.72439,10.559759,58.417152
2.720469,157.251587,30.709839,13.136935,77.243774,27.340765,-10.148882,78.372307,39.890411,5.281949,102.050018,43.618057,39.973343,12.522871,32.946915,-5.71836,10.591952,58.418667
2.553698,156.808884,29.96323,12.866255,76.721199,27.336138,-10.029867,78.039528,39.480618,5.666088,101.836372,43.934151,40.019382,12.4998,32.986382,-5.691271,10.613907,58.419834
