head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-37.867535,159.036484,53.968727,-18.533182,83.950844,49.924976,-59.008301,83.276581,56.826591,-41.912304,102.218864,58.159679,-14.199722,11.960912,63.304432,-53.278877,11.766041,71.992699
-37.946293,159.090683,53.911701,-18.459324,83.859398,50.062737,-59.024971,83.361107,56.734257,-41.891209,102.216644,58.208622,-14.283362,12.03412,63.278145,-53.330231,11.830245,71.882439
-37.997463,159.144989,53.831776,-18.359873,83.754219,50.16991,-59.054386,83.470688,56.585251,-41.851429,102.201256,58.242252,-14.379643,12.111155,63.287891,-53.379707,11.824285,71.876648
-38.02586,159.205704,53.722397,-18.262657,83.639145,50.281246,-59.077278,83.564812,56.418388,-41.78458,102.181023,58.279453,-14.48369,12.205935,63.301331,-53.401184,11.798491,71.889938
-38.00333,159.254318,53.594776,-18.166925,83.509033,50.364574,-59.084877,83.659485,56.216782,-41.69146,102.21003,58.309315,-14.539624,12.294592,63.276569,-53.436069,11.793958,71.870537
-37.950687,159.29184,53.434742,-18.068546,83.349586,50.434216,-59.101788,83.763405,55.977791,-41.570316,102.226547,58.327141,-14.574686,12.381013,63.22049,-53.450443,11.773754,71.859039
-37.851906,159.296555,53.267605,-17.981253,83.153084,50.505997,-59.108887,83.882797,55.69582,-41.462807,102.213371,58.332729,-14.578363,12.461485,63.161983,-53.451584,11.754125,71.829079
-37.722198,159.296051,53.097668,-17.920893,82.917778,50.579906,-59.1096,83.984398,55.399113,-41.339691,102.19722,58.345947,-14.564058,12.509014,63.086956,-53.462345,11.729026,71.827393
-37.556816,159.257965,52.912922,-17.890955,82.652496,50.63269,-59.10936,84.085526,55.08778,-41.188286,102.179184,58.337154,-14.528252,12.522235,63.003731,-53.474556,11.697619,71.783592
-37.350533,159.193619,52.722404,-17.905626,82.377136,50.658619,-59.104549,84.140312,54.783382,-41.012962,102.146942,58.313301,-14.470708,12.49941,62.935734,-53.478287,11.682239,71.755806
-37.106792,159.098465,52.531059,-17.951834,82.066833,50.650936,-59.084019,84.167084,54.47961,-40.740261,102.147499,58.27845,-14.41137,12.424647,62.915905,-53.509853,11.693296,71.712418
-36.82383,158.979675,52.33408,-18.011686,81.744087,50.53389,-59.033535,84.138763,54.225075,-40.425491,102.126053,58.219048,-14.431913,12.344602,62.888451,-53.516293,11.688025,71.66555
-36.502483,158.840057,52.156132,-18.133606,81.459229,50.352379,-58.988091,84.086037,53.969086,-40.0732,102.061417,58.131382,-14.416779,12.247426,62.886856,-53.521271,11.685019,71.647804
-36.145195,158.694733,51.987038,-18.327085,81.342056,49.98526,-58.913551,83.960785,53.807831,-39.611782,102.033447,58.020893,-14.372633,12.178463,62.91235,-53.506706,11.70892,71.598885
-35.75248,158.546494,51.848965,-18.653061,81.492386,49.495422,-58.830318,83.800018,53.690872,-39.105907,101.972458,57.892918,-14.332654,12.090968,62.912712,-53.51104,11.703575,71.58181
-35.322056,158.414627,51.725151,-19.143778,81.893822,48.748978,-58.730423,83.600822,53.688087,-38.522453,101.910095,57.752205,-14.291533,12.012674,62.897038,-53.496342,11.709497,71.566818
-34.873348,158.308228,51.622158,-19.718491,82.556641,47.873657,-58.630363,83.446587,53.745247,-37.83392,101.89447,57.610806,-14.246314,11.931676,62.866409,-53.498089,11.696139,71.545341
-34.393375,158.23613,51.528236,-20.437592,83.474686,46.775524,-58.500092,83.267113,53.969112,-37.15794,101.861267,57.447643,-14.174865,11.845289,62.839653,-53.500233,11.709996,71.517929
-33.907284,158.21257,51.444416,-21.271175,84.723495,45.613018,-58.410934,83.129921,54.283489,-36.439323,101.830566,57.285904,-14.094751,11.783836,62.82346,-53.515415,11.719317,71.485008
-33.407684,158.220322,51.359608,-22.272152,86.285149,44.375042,-58.366291,82.986076,54.74802,-35.71772,101.786346,57.112202,-13.987654,11.729715,62.82333,-53.507206,11.728377,71.410957
-32.88937,158.253525,51.306816,-23.433718,88.223816,43.166718,-58.449429,82.888176,55.284363,-34.948784,101.810257,56.952728,-13.884909,11.681591,62.845249,-53.5298,11.758734,71.319794
-32.379639,158.310135,51.26086,-24.669304,90.538071,42.015553,-58.614075,82.781509,55.958763,-34.09866,101.893951,56.794605,-13.770495,11.622476,62.893032,-53.543266,11.817314,71.181107
-31.871548,158.393082,51.234936,-25.988012,93.206123,41.026455,-58.903168,82.697769,56.739407,-33.27372,101.972298,56.651218,-13.67684,11.579294,62.887962,-53.573215,11.888065,71.000099
-31.365753,158.498138,51.209969,-27.277483,96.087341,40.143261,-59.249214,82.594963,57.636055,-32.41996,102.033691,56.502327,-13.609478,11.537883,62.89909,-53.568958,12.005827,70.757195
-30.876732,158.61528,51.19759,-28.537237,99.168663,39.436279,-59.641796,82.526535,58.661964,-31.620007,102.106911,56.387859,-13.532679,11.500491,62.900993,-53.502357,12.16791,70.424858
-30.400959,158.733231,51.182777,-29.720692,102.525932,38.92268,-60.06617,82.456451,59.815598,-30.810432,102.203438,56.241528,-13.479538,11.479289,62.903145,-53.313492,12.496167,70.007355
-29.959253,158.847717,51.174099,-30.754801,105.970886,38.627911,-60.480465,82.390335,61.111958,-30.094299,102.274193,56.125961,-13.443516,11.476944,62.908684,-53.012218,12.935112,69.542816
-29.5256,158.94751,51.146694,-31.642296,109.565903,38.540104,-60.877975,82.326576,62.536503,-29.419516,102.366051,55.989506,-13.412252,11.453345,62.960751,-52.603535,13.584073,68.98912
-29.133615,159.034546,51.118374,-32.283875,113.06945,38.61858,-61.172638,82.195206,64.108582,-28.774158,102.493713,55.828793,-13.382236,11.441117,62.947216,-52.030842,14.248438,68.155579
-28.771427,159.107956,51.072842,-32.802029,116.569641,38.775444,-61.425301,82.108948,65.796425,-28.140486,102.666489,55.653481,-13.383528,11.431827,62.943748,-51.380268,14.842067,67.201111
-28.445877,159.152222,51.034565,-33.138481,119.888145,39.045654,-61.468693,81.956848,67.627426,-27.528059,102.902496,55.462727,-13.391366,11.468096,62.927258,-50.773174,15.428845,66.094482
-28.154297,159.155228,50.994278,-33.344349,123.110733,39.380409,-61.500759,81.87368,69.384209,-26.943686,103.175987,55.271862,-13.386677,11.472464,62.925053,-50.097435,15.83244,64.817841
-27.897133,159.104111,50.964607,-33.368935,126.13591,39.878368,-61.244205,81.672997,71.363075,-26.40617,103.466377,55.089783,-13.384616,11.484061,62.922363,-49.262066,16.076164,63.356674
-27.681845,159.012115,50.927486,-33.286968,128.959244,40.445824,-60.966961,81.5821,73.228928,-25.909555,103.744446,54.922798,-13.390898,11.501255,62.917053,-48.279819,16.273899,61.857597
-27.504637,158.859344,50.894543,-33.126366,131.544571,41.087112,-60.491531,81.464081,75.201508,-25.455784,103.987854,54.774506,-13.387995,11.522491,62.905525,-47.280029,16.309553,60.226196
-27.347717,158.63475,50.863064,-32.884209,133.885132,41.674206,-59.961063,81.327522,77.074287,-25.039734,104.171501,54.641895,-13.380874,11.523522,62.901707,-46.270035,16.221127,58.593498
-27.237629,158.33873,50.853569,-32.605381,135.992111,42.248604,-59.332005,81.189072,78.924843,-24.660872,104.270454,54.517868,-13.369811,11.523857,62.898815,-45.275707,15.996446,56.905579
-27.136646,157.978226,50.852886,-32.243298,137.914505,42.722317,-58.671516,81.033447,80.645592,-24.310301,104.281738,54.401142,-13.365234,11.523975,62.902721,-44.430889,15.641106,55.314583
-27.060423,157.557098,50.858727,-31.81209,139.601196,43.198524,-57.978531,80.844627,82.269791,-23.997946,104.176414,54.294594,-13.349359,11.517491,62.875591,-43.674004,15.118915,53.664246
-27.001734,157.083908,50.871754,-31.337141,141.02858,43.545898,-57.286629,80.622627,83.713028,-23.744911,103.954666,54.379711,-13.329755,11.49752,62.868587,-43.08239,14.360712,52.134521
-26.945736,156.579285,50.90686,-30.83172,142.242538,43.94751,-56.639767,80.383659,85.033882,-23.492228,103.635521,54.304337,-13.283609,11.483269,62.862011,-42.52475,13.575241,50.647053
-26.900181,156.066849,50.955875,-30.317417,143.205063,44.23848,-56.015934,80.076614,86.171944,-23.153912,103.390282,54.27306,-13.245641,11.463263,62.849472,-41.979366,13.008319,49.43531
-26.858631,155.566986,51.000351,-29.824221,143.922867,44.538406,-55.461369,79.75946,87.176041,-22.938662,103.08149,54.236252,-13.196306,11.4426,62.833019,-41.433868,12.958467,48.375389
-26.825006,155.10556,51.047085,-29.340517,144.427216,44.725628,-54.922573,79.39299,87.996529,-22.754789,102.739609,54.197208,-13.158068,11.421396,62.800594,-41.125912,12.78654,47.488407
-26.791126,154.705429,51.053539,-28.891371,144.691528,44.898327,-54.416935,79.021881,88.647697,-22.766224,102.291847,54.138477,-13.1177,11.414902,62.786484,-40.733948,12.666862,47.013554
-26.789799,154.362473,51.05106,-28.533653,144.718231,44.903526,-53.951786,78.587891,89.074982,-22.580688,102.055855,54.164467,-13.073653,11.364137,62.78479,-40.716145,12.525502,47.011646
-26.795568,154.11232,51.003307,-28.238033,144.567307,44.861946,-53.516911,78.203751,89.325119,-22.580891,101.784485,54.160347,-13.077475,11.349675,62.783554,-40.775253,12.677889,46.995979
-26.83065,153.959839,50.928585,-28.117954,144.25647,44.62854,-53.131298,77.847801,89.339111,-22.627098,101.643089,54.174229,-13.079121,11.32477,62.777115,-40.968082,12.629234,46.935894
-26.886938,153.926971,50.823387,-28.100298,143.726349,44.293716,-52.777832,77.567101,89.155533,-22.787739,101.583687,54.200798,-13.095344,11.324594,62.764927,-41.284378,12.819901,46.982388
-26.954258,153.991745,50.700508,-28.227652,143.030411,43.779667,-52.453926,77.344261,88.738251,-22.988749,101.581192,54.228447,-13.090613,11.324718,62.773041,-41.470291,13.084621,47.05291
-27.030739,154.130371,50.554443,-28.474884,142.173569,43.155575,-52.12677,77.235283,88.016953,-23.310965,101.698013,54.283791,-13.082323,11.325124,62.766033,-42.058857,13.416412,47.31559
-27.126728,154.35025,50.390724,-28.823177,141.098419,42.361397,-51.928692,77.220886,87.050896,-23.813774,101.757874,54.302063,-13.070404,11.325788,62.759239,-42.640926,13.734049,47.679474
-27.229195,154.640091,50.208218,-29.195127,139.763214,41.462032,-51.827652,77.312347,85.791519,-24.386066,101.85022,54.307526,-13.054371,11.337467,62.755344,-43.44833,14.076993,48.172546
-27.352585,154.978683,50.018196,-29.622482,138.149826,40.476433,-51.899323,77.528847,84.275124,-24.794092,102.164497,54.35323,-13.054011,11.373332,62.731068,-44.290989,14.433588,48.898506
-27.508297,155.371017,49.816723,-30.059132,136.252335,39.462326,-52.034317,77.805229,82.616539,-25.189611,102.525269,54.399117,-13.05389,11.394817,62.720318,-45.33123,14.746233,49.783012
-27.683762,155.745392,49.620758,-30.556587,134.014603,38.424198,-52.239864,78.163254,80.823601,-25.593637,102.895866,54.438984,-13.048278,11.409968,62.712334,-46.260715,14.955106,50.771526
-27.862106,156.110077,49.425846,-31.046782,131.396011,37.376892,-52.460342,78.591972,78.914192,-26.026751,103.256149,54.473186,-13.028532,11.432405,62.705578,-47.243382,15.125637,51.911247
-28.05611,156.444122,49.250187,-31.523823,128.451218,36.368515,-52.701904,79.030045,76.941689,-26.505728,103.58181,54.509224,-13.004904,11.453947,62.689072,-48.14922,15.242099,53.094261
-28.273157,156.723541,49.09058,-31.867834,125.169601,35.419682,-52.996628,79.489838,74.912781,-27.037798,103.857285,54.554447,-12.981452,11.469656,62.688869,-49.170692,15.410666,54.345512
-28.514662,156.936798,48.953022,-32.058582,121.546432,34.71534,-53.370304,79.93959,72.86338,-27.627211,104.065666,54.613571,-12.951406,11.491685,62.66869,-50.141106,15.421544,55.659496
-28.752672,157.080826,48.865032,-32.015308,117.705399,34.156307,-53.762249,80.388,70.82769,-28.262775,104.193932,54.683418,-12.933434,11.510034,62.678345,-51.242157,15.464793,57.064926
-29.02883,157.154404,48.806942,-31.746113,113.666321,34.0355,-54.161602,80.815857,68.830765,-28.934366,104.232895,54.760693,-12.910927,11.521174,62.691448,-52.290844,15.333934,58.489521
