head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-10.955847,162.589142,41.119663,14.738047,82.359947,32.150425,-10.314322,155.815918,-13.298857,-11.586964,97.531654,38.64563,13.082022,10.745584,46.962212,-36.756313,11.461056,49.21347
-10.843881,162.589142,41.173473,14.736465,82.184105,32.417332,-10.526444,155.974701,-14.000727,-11.575672,97.544388,38.65313,13.082488,10.745584,46.962212,-36.726021,11.417162,49.224136
-10.732571,162.610245,41.211735,14.799439,82.026642,32.646008,-10.669723,156.019272,-14.54736,-11.546443,97.543427,38.663975,13.083367,10.745584,46.962212,-36.724121,11.418031,49.226559
-10.617675,162.636993,41.25032,14.924797,81.909653,32.877769,-10.728442,156.010925,-14.959982,-11.52058,97.541672,38.68721,13.084246,10.745584,46.963219,-36.722073,11.428688,49.229088
-10.504089,162.671371,41.279392,15.117899,81.801003,33.094284,-10.757116,155.962219,-15.212078,-11.479025,97.539688,38.702274,13.085124,10.745584,46.964447,-36.719772,11.42861,49.231651
-10.38037,162.697098,41.312672,15.373928,81.742775,33.290173,-10.787279,155.9375,-15.353137,-11.436706,97.530258,38.707642,13.086001,10.745584,46.965622,-36.71735,11.408936,49.248703
-10.2517,162.720322,41.343761,15.670046,81.67955,33.487057,-10.7661,155.820969,-15.384514,-11.389975,97.520653,38.708313,13.08688,10.745584,46.966805,-36.714909,11.404101,49.249268
-10.11505,162.734238,41.37466,15.993844,81.652458,33.674412,-10.706113,155.760544,-15.362772,-11.340407,97.512192,38.708916,13.087761,10.745468,46.968052,-36.690895,11.373807,49.249725
-9.975703,162.73967,41.397106,16.299652,81.593605,33.9006,-10.603127,155.625275,-15.262738,-11.289821,97.509148,38.710629,13.088643,10.744757,46.969425,-36.690746,11.369584,49.250202
-9.843988,162.742355,41.423676,16.578802,81.528198,34.109718,-10.505388,155.451187,-15.137311,-11.248961,97.505585,38.716194,13.08953,10.74412,46.970985,-36.687752,11.333673,49.279114
-9.701705,162.742493,41.456551,16.80176,81.455788,34.344425,-10.470236,155.183289,-15.037144,-11.203046,97.500015,38.727898,13.090421,10.743495,46.972939,-36.684174,11.328593,49.277313
-9.55917,162.737305,41.487698,16.967411,81.344337,34.57386,-10.463397,154.88533,-14.986446,-11.15307,97.506927,38.736736,13.091383,10.742826,46.978119,-36.664272,11.313873,49.277649
-9.432632,162.727402,41.526291,17.063892,81.244408,34.814224,-10.502656,154.595642,-14.972728,-11.122077,97.508133,38.746552,13.082302,10.742052,46.98103,-36.657341,11.305333,49.28307
-9.312945,162.713486,41.558426,17.119802,81.101311,35.051876,-10.552238,154.288574,-14.959353,-11.092597,97.509514,38.765846,13.081281,10.741113,46.983204,-36.635216,11.270198,49.303699
-9.204597,162.689819,41.59486,17.144999,80.979729,35.287766,-10.594745,154.075974,-14.904409,-11.072175,97.510475,38.794289,13.080266,10.73995,46.985176,-36.625736,11.270085,49.308956
-9.111777,162.664978,41.630413,17.147665,80.832886,35.512157,-10.648919,153.92569,-14.821644,-11.073065,97.510429,38.823917,13.079247,10.738029,46.987263,-36.635555,11.274428,49.314686
-9.031547,162.634277,41.672749,17.16629,80.711411,35.724434,-10.603065,153.682129,-14.746212,-11.074225,97.507523,38.864471,13.07822,10.735353,46.978088,-36.638092,11.267987,49.320778
-8.966374,162.608139,41.707504,17.185375,80.597496,35.9105,-10.693604,153.506912,-14.783954,-11.078597,97.502754,38.886036,13.077176,10.732686,46.982815,-36.636326,11.274173,49.324135
-8.910383,162.581818,41.737816,17.251385,80.496368,36.091019,-10.633703,153.41391,-14.718745,-11.086708,97.495041,38.916698,13.088739,10.718215,46.988289,-36.629559,11.265417,49.327049
-8.873895,162.562622,41.766174,17.32947,80.428947,36.228191,-10.700439,153.410126,-14.665506,-11.105028,97.490303,38.943893,13.087442,10.712687,46.993721,-36.644325,11.276886,49.323658
-8.849762,162.550232,41.786156,17.433872,80.387451,36.330612,-10.664705,153.456879,-14.523313,-11.131736,97.488174,38.974697,13.074747,10.717744,46.981907,-36.646202,11.273787,49.330738
-8.841181,162.547974,41.805359,17.569616,80.382088,36.411644,-10.643859,153.522675,-14.381632,-11.150285,97.486046,39.010693,13.071056,10.723171,46.980194,-36.647305,11.283345,49.323284
-8.835654,162.54541,41.820915,17.700594,80.384155,36.480698,-10.611922,153.501923,-14.221451,-11.176126,97.483887,39.040474,13.059868,10.726346,46.984261,-36.652138,11.283896,49.323586
