head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-11.596799,160.920441,63.823055,4.74866,80.518326,74.374611,-35.810135,78.428017,48.836498,-15.12891,102.885529,63.525517,-4.145861,12.566889,76.125648,-35.499348,9.847927,59.926498
-11.357016,160.905807,63.629215,4.502035,80.175499,75.012085,-35.787365,78.281281,48.66761,-15.015008,102.865547,63.436733,-4.356594,12.291905,75.565994,-35.496742,9.854895,59.897678
-11.054197,160.856949,63.461399,4.331475,79.742111,75.765373,-35.69241,78.161621,48.476978,-14.827528,102.790482,63.3862,-4.415444,11.966898,75.342232,-35.460083,9.83455,59.898472
-10.718906,160.784286,63.320423,4.220746,79.191849,76.603981,-35.394291,78.193703,48.259445,-14.650146,102.669464,63.322517,-4.26778,11.861382,75.368294,-35.425934,9.795982,59.87627
-10.349918,160.706085,63.197311,4.056767,78.660324,77.468361,-34.956829,78.400948,47.98605,-14.460462,102.562813,63.283058,-4.239301,11.743537,75.295395,-35.39621,9.781734,59.847713
-9.969117,160.61908,63.106766,3.879712,78.155205,78.341492,-34.509388,78.596581,47.755001,-14.267879,102.450768,63.264153,-4.223983,11.731966,75.336487,-35.382679,9.780516,59.814693
-9.552029,160.526413,63.03923,3.73109,77.66407,79.199829,-34.069412,78.725922,47.507313,-14.067639,102.345924,63.279076,-4.167246,11.657016,75.453697,-35.369781,9.77236,59.777683
-9.128746,160.431656,63.01672,3.57997,77.216354,80.062111,-33.639793,78.855431,47.198917,-13.811564,102.257164,63.305008,-4.105205,11.59414,75.500061,-35.342579,9.754704,59.751225
-8.691769,160.333511,63.024845,3.461617,76.789864,80.889915,-33.245903,79.010056,46.808346,-13.551888,102.184555,63.379803,-4.072359,11.547654,75.569481,-35.325859,9.729734,59.728146
-8.255102,160.243118,63.082691,3.410353,76.407722,81.650375,-32.838352,79.165459,46.432991,-13.225451,102.11747,63.465034,-4.016943,11.479634,75.586723,-35.295158,9.7008,59.713501
-7.799882,160.176331,63.18235,3.428043,76.091469,82.352287,-32.431122,79.342896,46.045933,-12.870437,102.037224,63.571377,-3.990109,11.465171,75.596626,-35.274261,9.718575,59.681599
-7.374886,160.127838,63.333408,3.49925,75.801178,82.978127,-32.031582,79.46048,45.724277,-12.508739,101.975136,63.710495,-3.992876,11.421415,75.617203,-35.31039,9.734367,59.66346
-6.93222,160.096436,63.535347,3.739434,75.6259,83.543312,-31.651083,79.57383,45.463467,-12.064146,101.858154,63.87199,-3.995218,11.401779,75.640747,-35.311493,9.742859,59.596764
-6.515841,160.084839,63.792896,3.985922,75.37175,84.043839,-31.31757,79.554932,45.268383,-11.646877,101.747589,64.046234,-4.016594,11.353385,75.68074,-35.316605,9.747194,59.521278
-6.100011,160.083282,64.100037,4.403906,75.247047,84.501503,-31.051064,79.574066,45.148838,-11.167439,101.612915,64.251091,-4.051254,11.313738,75.688599,-35.347416,9.764506,59.432552
-5.695475,160.091202,64.461472,4.833206,74.981865,84.898293,-30.796127,79.512497,45.030685,-10.680994,101.486359,64.441048,-4.038033,11.240675,75.718361,-35.368607,9.76003,59.298012
-5.304171,160.14003,64.866768,5.377694,74.824959,85.246132,-30.626595,79.55542,44.95528,-10.176095,101.401199,64.672462,-4.069387,11.206986,75.739426,-35.433342,9.824025,59.117683
-4.94918,160.218033,65.321655,5.872635,74.60408,85.568329,-30.617617,79.562538,44.890305,-9.683724,101.350418,64.873772,-4.14098,11.188684,75.777977,-35.529987,9.921475,58.873604
-4.593178,160.32576,65.830177,6.474863,74.461273,85.860771,-30.697655,79.569344,44.899319,-9.202807,101.308357,65.134087,-4.20532,11.143847,75.816353,-35.580658,10.031001,58.57357
-4.262001,160.445114,66.367996,7.002606,74.220154,86.10601,-30.941139,79.533936,44.959587,-8.708131,101.300323,65.374039,-4.262885,11.090156,75.817963,-35.512985,10.104167,58.203407
-3.94488,160.590347,66.93969,7.569019,74.086693,86.26828,-31.286966,79.457436,45.077679,-8.256953,101.323708,65.656021,-4.320428,11.053328,75.819,-35.22575,10.241148,57.7533
-3.665955,160.731888,67.530983,8.073085,73.948837,86.367439,-31.755272,79.353088,45.291264,-7.838169,101.373154,65.9002,-4.39043,11.011696,75.811111,-34.82148,10.61468,57.332153
-3.407014,160.866455,68.150047,8.575515,73.883591,86.375229,-32.291271,79.19445,45.618088,-7.477508,101.412796,66.124496,-4.44657,10.96316,75.799744,-34.219921,11.298152,56.829384
-3.17973,160.986404,68.771393,9.043085,73.821136,86.276741,-32.802525,79.021431,46.057442,-7.14011,101.458649,66.298195,-4.484462,10.91477,75.794388,-33.651699,12.457234,56.000462
-2.973311,161.140305,69.394661,9.503428,73.817741,86.081558,-33.325401,78.817993,46.593338,-6.842741,101.522751,66.536613,-4.498471,10.882064,75.771103,-33.107761,13.850819,54.554337
