head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-35.351814,165.634521,65.298172,-23.75561,166.211929,37.120102,-65.017189,169.247467,60.531891,-39.808784,97.959152,63.300293,-10.769855,11.7334,56.734455,-50.391315,12.043405,77.42041
-35.547401,165.686035,65.181587,-22.913128,166.389893,37.947659,-65.006363,169.428864,61.423889,-39.813793,97.978943,63.302776,-11.833279,11.696558,56.884624,-50.391315,12.043405,77.42041
-35.700165,165.729065,65.042221,-22.029879,166.59259,38.819286,-64.93589,169.62912,62.353264,-39.853485,97.992287,63.233582,-12.822398,11.582801,56.952869,-50.391315,12.043405,77.42041
-35.830444,165.739227,64.886238,-21.128805,166.787079,39.72361,-64.863266,169.828003,63.27359,-39.855408,97.976456,63.170818,-13.659538,11.53614,56.870731,-50.391315,12.043405,77.421982
-35.925388,165.735031,64.708725,-20.227432,167.008484,40.622738,-64.731888,170.032959,64.217293,-39.885059,97.976967,63.050339,-14.144205,11.37046,56.68354,-50.391315,12.043405,77.428986
-36.003757,165.715332,64.506805,-19.335377,167.244141,41.470978,-64.61277,170.262177,65.094429,-39.90184,97.941231,62.907181,-14.295364,11.27552,56.640697,-50.391315,12.043405,77.410446
-36.06905,165.670166,64.303513,-18.47027,167.523438,42.289253,-64.446548,170.512939,65.98333,-39.931759,97.911011,62.719521,-14.513857,11.090092,56.764309,-50.403851,12.043405,77.418961
-36.112564,165.620514,64.100624,-17.639357,167.82605,43.017372,-64.28685,170.780533,66.820312,-39.904404,97.846786,62.54427,-14.563101,10.999213,56.792355,-50.413788,12.043405,77.422768
-36.139328,165.576019,63.895477,-16.845705,168.148224,43.718933,-64.126198,171.099258,67.605118,-39.888741,97.806923,62.334637,-14.539399,10.967566,56.780453,-50.419182,12.043405,77.426765
-36.171211,165.540756,63.680683,-16.09347,168.479446,44.294868,-63.964294,171.428543,68.319687,-39.846592,97.771835,62.135162,-14.459258,10.925355,56.845329,-50.421036,12.048195,77.404869
-36.204468,165.51358,63.472816,-15.378903,168.81839,44.867336,-63.777607,171.727905,68.97261,-39.802162,97.781502,61.925709,-14.368092,10.902234,56.860619,-50.41666,12.051212,77.39238
-36.25135,165.506851,63.26342,-14.715637,169.144226,45.351929,-63.549988,171.978271,69.615326,-39.752262,97.804405,61.7229,-14.199682,10.827601,56.877567,-50.412579,12.052833,77.365425
-36.306957,165.504593,63.075882,-14.103652,169.45874,45.8493,-63.294113,172.19873,70.21891,-39.665993,97.875458,61.498291,-14.123885,10.837074,56.874378,-50.40871,12.054463,77.346603
-36.394642,165.511078,62.898006,-13.525211,169.700333,46.292633,-63.07943,172.402359,70.662567,-39.552967,97.93692,61.271858,-14.045227,10.782893,56.883896,-50.404816,12.058739,77.342018
-36.514618,165.519485,62.748161,-13.002391,169.90921,46.77285,-62.809761,172.540268,71.170258,-39.417515,98.025658,61.03093,-13.996275,10.7935,56.885239,-50.400696,12.063362,77.330925
-36.683079,165.536255,62.602604,-12.508162,170.07019,47.189045,-62.787197,172.686951,71.109444,-39.247604,98.089882,60.777752,-13.962078,10.778378,56.890903,-50.406372,12.076932,77.312408
-36.907082,165.544632,62.510212,-12.08315,170.209076,47.6007,-62.578922,172.753311,71.465263,-39.068317,98.140175,60.536392,-13.928905,10.766682,56.901211,-50.411339,12.084953,77.294678
-37.162086,165.54425,62.448891,-11.709264,170.315857,47.852715,-62.375237,172.752502,71.677284,-38.863415,98.160362,60.287334,-13.884773,10.764956,56.903755,-50.410931,12.087315,77.28389
-37.452293,165.53624,62.436527,-11.405232,170.390991,48.052261,-62.203129,172.812866,71.905197,-38.663334,98.159142,60.045361,-13.851496,10.740664,56.904942,-50.405231,12.076973,77.258034
-37.739296,165.512833,62.442772,-11.156533,170.470886,48.09103,-62.00927,172.855698,72.045135,-38.470798,98.157738,59.791088,-13.823361,10.743941,56.898266,-50.409393,12.07326,77.239555
-38.008129,165.487167,62.485729,-10.944056,170.561401,48.10471,-61.844826,172.894775,72.187157,-38.30032,98.155884,59.526989,-13.79223,10.741257,56.894836,-50.398617,12.090308,77.224968
-38.234097,165.443542,62.560276,-10.767974,170.610718,48.03009,-61.653534,172.843613,72.301102,-38.104046,98.168732,59.311901,-13.764737,10.73893,56.905331,-50.400806,12.09153,77.220024
-38.421227,165.398819,62.618553,-10.612268,170.655212,47.93951,-61.497402,172.834747,72.368858,-37.962635,98.184792,59.060123,-13.74526,10.727357,56.904438,-50.402897,12.092976,77.213737
-38.569019,165.342392,62.682652,-10.500097,170.652206,47.775787,-61.361565,172.770874,72.342529,-37.832619,98.184494,58.857059,-13.726516,10.741919,56.900475,-50.40591,12.09441,77.21196
-38.660503,165.28685,62.712418,-10.406212,170.645966,47.608776,-61.245731,172.701859,72.301682,-37.732994,98.188484,58.635689,-13.726004,10.719564,56.896301,-50.408871,12.095873,77.210152
-38.71936,165.214874,62.744907,-10.317719,170.608231,47.409687,-61.120293,172.590485,72.202065,-37.660313,98.193176,58.450275,-13.713013,10.708574,56.894272,-50.411827,12.085957,77.208359
-38.738411,165.162476,62.737995,-10.258566,170.571991,47.204411,-60.993053,172.506317,72.114845,-37.608784,98.210686,58.260906,-13.711516,10.686297,56.892853,-50.414761,12.082755,77.206604
-38.74802,165.110641,62.730949,-10.204619,170.540695,46.974239,-60.874992,172.424362,72.024323,-37.561501,98.227402,58.098732,-13.717241,10.681493,56.888493,-50.417656,12.083369,77.204918
-38.722218,165.0672,62.681973,-10.163969,170.512894,46.726692,-60.743347,172.351379,71.898026,-37.503109,98.224594,57.961235,-13.737944,10.673971,56.882511,-50.411449,12.087808,77.19413
-38.695221,165.029205,62.640423,-10.110762,170.50206,46.481255,-60.653915,172.299255,71.735886,-37.465645,98.241806,57.824657,-13.750568,10.663939,56.882099,-50.414642,12.081132,77.194199
-38.65797,164.999374,62.575089,-10.051475,170.510162,46.249416,-60.563259,172.254959,71.593292,-37.443035,98.242989,57.74612,-13.773221,10.658621,56.881809,-50.420204,12.081596,77.194244
-38.621925,164.975037,62.507832,-9.984189,170.55542,46.036453,-60.474865,172.219513,71.453743,-37.425987,98.24334,57.648815,-13.79522,10.66671,56.876286,-50.432709,12.084047,77.194489
-38.569489,164.955566,62.420956,-9.908886,170.640411,45.848827,-60.343071,172.177399,71.321342,-37.4198,98.24334,57.552135,-13.796624,10.659907,56.873249,-50.415031,12.086652,77.178696
-38.527565,164.936615,62.328587,-9.832992,170.717285,45.681126,-60.249908,172.126434,71.144791,-37.442291,98.243065,57.474258,-13.797623,10.65603,56.87077,-50.411591,12.089335,77.17836
-38.490341,164.913376,62.226112,-9.793875,170.794464,45.527809,-60.158211,172.11058,71.005989,-37.470276,98.242249,57.392513,-13.798224,10.627095,56.86845,-50.422203,12.069885,77.178162
-38.452488,164.899277,62.125465,-9.784773,170.839996,45.352669,-60.087391,172.110962,70.855225,-37.518108,98.238968,57.303555,-13.817618,10.644082,56.865814,-50.425156,12.073936,77.180634
-38.440601,164.879196,62.017731,-9.84476,170.839386,45.158642,-60.035374,172.15448,70.739502,-37.581039,98.235115,57.227665,-13.81462,10.630558,56.85601,-50.43317,12.064673,77.182899
-38.428387,164.867157,61.908127,-9.934244,170.831619,44.924564,-59.99091,172.238037,70.624069,-37.642067,98.230904,57.136806,-13.813794,10.640415,56.85083,-50.436718,12.073714,77.18512
-38.428818,164.854416,61.809494,-10.072835,170.788483,44.673714,-59.949234,172.322479,70.542473,-37.710888,98.213966,57.059448,-13.813307,10.637429,56.845554,-50.44096,12.074473,77.187393
-38.434917,164.839035,61.702393,-10.21256,170.751495,44.43602,-59.896534,172.381714,70.474693,-37.77718,98.203606,56.974102,-13.813583,10.6348,56.839745,-50.447903,12.076037,77.178635
-38.460075,164.821381,61.608543,-10.374778,170.69281,44.206188,-59.844101,172.406693,70.397797,-37.848492,98.170181,56.914471,-13.815285,10.632154,56.834644,-50.465351,12.078848,77.177628
-38.483017,164.80658,61.507797,-10.549305,170.618454,43.988209,-59.803135,172.422684,70.305977,-37.939415,98.161713,56.826778,-13.818381,10.629272,56.829601,-50.476273,12.080659,77.168915
-38.522621,164.78717,61.415939,-10.738074,170.528229,43.779655,-59.781284,172.426041,70.207138,-38.028545,98.141144,56.766472,-13.822372,10.626064,56.823811,-50.48502,12.076674,77.164642
-38.558186,164.775696,61.319057,-10.932899,170.436111,43.587757,-59.798046,172.466293,70.086464,-38.134449,98.13916,56.686382,-13.838161,10.623549,56.811588,-50.495953,12.074275,77.150032
-38.604748,164.772125,61.230812,-11.124267,170.347061,43.431084,-59.820396,172.526306,69.977745,-38.230446,98.124741,56.620934,-13.834536,10.632938,56.800476,-50.50116,12.075735,77.143372
-38.661098,164.768494,61.140133,-11.320886,170.259613,43.290394,-59.86079,172.605576,69.866478,-38.347282,98.126137,56.543381,-13.826576,10.637346,56.794514,-50.508389,12.077897,77.130928
-38.719646,164.765457,61.054039,-11.504467,170.186081,43.181553,-59.882812,172.676071,69.789474,-38.456276,98.126457,56.484425,-13.828299,10.627373,56.780766,-50.528034,12.060904,77.115379
-38.785595,164.762497,60.965351,-11.676608,170.120804,43.082596,-59.899418,172.725357,69.753677,-38.605011,98.126862,56.403816,-13.830215,10.631403,56.774227,-50.539394,12.0624,77.100708
-38.853756,164.759476,60.883572,-11.846769,170.069168,42.997242,-59.886353,172.76088,69.716049,-38.740582,98.117043,56.358433,-13.829789,10.63532,56.765549,-50.559986,12.063568,77.096161
-38.922714,164.75412,60.795788,-12.012069,170.023773,42.916275,-59.895805,172.785858,69.717751,-38.892052,98.120468,56.303398,-13.840931,10.650835,56.749687,-50.574596,12.064767,77.077011
-38.997005,164.742477,60.716194,-12.170328,169.982498,42.850891,-59.915894,172.816772,69.669266,-39.053558,98.121956,56.258762,-13.838796,10.636968,56.733517,-50.59425,12.065916,77.066963
-39.06876,164.728394,60.636005,-12.311092,169.943161,42.79306,-59.991585,172.88829,69.606064,-39.227268,98.123367,56.203571,-13.838053,10.640267,56.720181,-50.601353,12.056868,77.047707
-39.147346,164.708847,60.56144,-12.445555,169.939743,42.744579,-60.068253,172.95726,69.541679,-39.401451,98.124794,56.154346,-13.838054,10.624462,56.701889,-50.625088,12.045699,77.040123
-39.221451,164.690079,60.496368,-12.576287,169.939896,42.689812,-60.179913,173.001511,69.451874,-39.584003,98.126335,56.10384,-13.846202,10.633309,56.686142,-50.636322,12.044469,77.022682
-39.302406,164.666214,60.427391,-12.693137,169.958664,42.639908,-60.270199,173.037079,69.382462,-39.763676,98.128067,56.069126,-13.847876,10.620982,56.663692,-50.656681,12.039203,77.016724
-39.371262,164.6436,60.378849,-12.797732,169.984589,42.606941,-60.365376,173.047043,69.321671,-39.952084,98.132378,56.027092,-13.847912,10.619153,56.663155,-50.663998,12.018201,77.012398
-39.43301,164.623932,60.316265,-12.884139,170.010376,42.573826,-60.462795,173.02858,69.258606,-40.134449,98.13736,55.995888,-13.847887,10.607737,56.644142,-50.666103,12.016886,77.008194
