head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-19.764507,157.075577,50.460209,10.569209,122.385109,27.434277,-39.497723,121.275482,33.089386,-21.972633,103.297783,54.023384,10.931521,11.436987,53.783588,-42.174278,10.557854,66.531029
-19.751528,157.000244,50.547703,9.46824,122.537804,26.576868,-39.215874,121.095276,32.905903,-21.852169,103.300011,53.982857,11.072275,11.342258,53.800484,-42.166,10.557854,66.531029
-19.703604,156.920685,50.648563,7.943169,122.758858,25.952242,-38.87756,120.729324,32.76162,-21.753536,103.273491,53.907784,11.211587,11.297452,53.823719,-42.159374,10.576269,66.529221
-19.614178,156.841919,50.738857,6.136516,122.808563,25.591099,-38.410248,120.361153,32.660591,-21.611893,103.233223,53.810207,11.347864,11.232631,53.849091,-42.166473,10.560491,66.524399
-19.501341,156.783798,50.831966,3.740719,122.759865,25.71615,-37.934216,119.82872,32.629971,-21.488396,103.198059,53.685471,11.475077,11.18577,53.923004,-42.166107,10.577054,66.522453
-19.354965,156.743561,50.906811,1.270498,122.180992,26.011454,-37.457176,119.287903,32.614296,-21.330904,103.204971,53.571606,11.546378,11.180827,53.937672,-42.162205,10.587722,66.521812
-19.210604,156.73497,50.947681,-1.524135,120.765602,26.336226,-37.098804,118.657272,32.598248,-21.209118,103.23407,53.446541,11.600206,11.147789,53.954266,-42.159172,10.619008,66.501244
-19.024862,156.733841,50.990662,-4.080564,118.359779,26.640297,-36.799671,117.869949,32.578659,-21.08568,103.316566,53.317337,11.629377,11.155823,53.950726,-42.155769,10.624105,66.489838
-18.833984,156.733078,51.019958,-6.104365,115.054115,27.15675,-36.64278,117.023834,32.568241,-20.951063,103.397842,53.210285,11.680366,11.131054,53.968506,-42.151768,10.640801,66.479927
-18.630484,156.732529,51.05476,-7.667096,111.165253,27.891653,-36.567738,116.028717,32.563469,-20.842541,103.497971,53.095642,11.699382,11.114629,53.972725,-42.148201,10.643257,66.47641
-18.420057,156.732086,51.068737,-8.459264,107.034065,28.950504,-36.581711,114.989723,32.60218,-20.701712,103.564796,52.978546,11.714806,11.106868,53.973705,-42.138725,10.645923,66.472733
-18.208323,156.731598,51.089428,-8.699092,102.92083,30.227566,-36.602566,113.829422,32.752998,-20.532909,103.632111,52.885803,11.721764,11.095576,53.974499,-42.121708,10.636246,66.463287
-18.008345,156.730896,51.078079,-8.364576,99.136421,31.550652,-36.732372,112.546822,32.939983,-20.378544,103.665253,52.782749,11.698291,11.101757,53.971401,-42.114807,10.634152,66.460365
-17.812315,156.722366,51.076275,-7.60595,95.804695,32.95734,-36.873894,111.188934,33.169746,-20.20108,103.674957,52.692486,11.68864,11.087427,53.967064,-42.106266,10.631919,66.458717
-17.6164,156.717453,51.046238,-6.772814,92.732948,34.193462,-37.082085,109.672829,33.427166,-20.02173,103.699112,52.590302,11.669757,11.084458,53.963013,-42.104752,10.6301,66.45919
-17.434774,156.705048,51.015182,-5.744246,90.369171,35.378788,-37.318218,108.04966,33.784855,-19.835367,103.739426,52.516819,11.655436,11.081532,53.959808,-42.104916,10.619199,66.472572
