head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-36.628628,164.577286,61.009777,-20.16139,166.42926,0.667536,-61.983574,82.02462,55.391121,-45.020519,103.092148,57.105618,-13.826513,10.389578,60.222507,-58.96064,10.828066,70.05191
-36.834373,164.439835,60.94939,-21.938992,164.435394,-0.185695,-61.963352,81.888168,55.799442,-45.049515,103.081139,57.18697,-13.827573,10.389578,60.222507,-58.96064,10.824837,70.05191
-37.043556,164.30687,60.890808,-23.81171,162.338669,-0.955496,-61.965576,81.787994,56.201962,-45.060585,103.092743,57.252335,-13.828821,10.387956,60.222507,-58.96064,10.814109,70.05191
-37.249111,164.162766,60.813961,-25.748333,160.153366,-1.609321,-61.908394,81.625183,56.657883,-45.096954,103.108635,57.340755,-13.830016,10.38558,60.214294,-58.96064,10.81049,70.051865
-37.455173,164.028183,60.739792,-27.725525,157.927521,-2.119516,-61.896057,81.50679,57.082134,-45.1283,103.157051,57.395782,-13.831184,10.382752,60.205868,-58.957966,10.805304,70.049576
-37.65435,163.880493,60.658104,-29.699114,155.634979,-2.522753,-61.871304,81.369919,57.523048,-45.181515,103.187248,57.485706,-13.832355,10.379841,60.199661,-58.980892,10.814127,70.047676
-37.850727,163.746918,60.581673,-31.643503,153.283997,-2.789315,-61.871349,81.254707,57.952553,-45.207596,103.217636,57.567574,-13.833559,10.370476,60.19371,-58.983292,10.793159,70.045807
-38.027637,163.601471,60.495171,-33.558231,150.855774,-2.955514,-61.895603,81.129051,58.37989,-45.250439,103.227295,57.652893,-13.834824,10.364158,60.187775,-58.985134,10.786852,70.043938
-38.211712,163.484268,60.417435,-35.507244,148.414963,-2.989563,-61.964352,80.999382,58.797237,-45.293488,103.236115,57.741646,-13.83784,10.359322,60.185596,-59.00095,10.785893,70.042046
-38.394394,163.377121,60.328671,-37.433712,145.94783,-2.918662,-62.071224,80.867493,59.221455,-45.347324,103.235344,57.834095,-13.853825,10.376226,60.184425,-59.008339,10.790199,70.038834
-38.562199,163.280151,60.246063,-39.318996,143.480316,-2.700481,-62.206646,80.729797,59.627125,-45.403088,103.232742,57.93935,-13.857927,10.38223,60.18372,-59.011215,10.789824,70.030151
-38.719135,163.175964,60.16296,-41.173401,141.023224,-2.376234,-62.356537,80.580688,60.049595,-45.467449,103.2174,58.044643,-13.861987,10.377266,60.183434,-59.028603,10.790566,70.027412
-38.885658,163.074615,60.092747,-43.00169,138.583908,-1.916044,-62.536846,80.427353,60.435959,-45.550819,103.189644,58.153488,-13.863203,10.373491,60.183521,-59.038212,10.787554,70.026291
-39.038696,162.974823,60.016384,-44.747021,136.148361,-1.384178,-62.702202,80.284592,60.831741,-45.633656,103.161308,58.27158,-13.864286,10.371933,60.183945,-59.0326,10.803306,70.026543
-39.196117,162.877289,59.947449,-46.470715,133.707855,-0.712996,-62.86235,80.171021,61.216438,-45.708473,103.143608,58.401543,-13.865335,10.39026,60.185951,-59.028076,10.795917,70.03006
-39.357063,162.768585,59.868401,-48.160637,131.277023,0.0128,-63.027546,80.0541,61.575893,-45.797756,103.110634,58.527012,-13.866448,10.39656,60.192257,-59.023819,10.80821,70.034782
-39.536758,162.661819,59.797859,-49.834003,128.890091,0.89966,-63.181957,79.938385,61.933262,-45.886368,103.09034,58.658249,-13.867726,10.409582,60.203167,-59.021751,10.806638,70.037163
-39.726212,162.540848,59.714741,-51.460655,126.556252,1.818573,-63.331688,79.8396,62.265282,-45.974739,103.057236,58.790428,-13.869267,10.416248,60.203606,-59.020214,10.811403,70.038979
-39.93689,162.421738,59.627895,-53.068897,124.27726,2.886544,-63.475239,79.74968,62.587551,-46.073105,103.025955,58.924656,-13.871586,10.420813,60.214935,-59.018948,10.803618,70.040627
-40.165077,162.284897,59.532333,-54.613167,122.063721,4.000937,-63.613472,79.686089,62.878864,-46.170338,102.98568,59.077042,-13.875306,10.42356,60.218674,-59.017864,10.794408,70.035698
-40.416363,162.143845,59.429672,-56.096874,119.928337,5.221305,-63.731693,79.630325,63.165047,-46.273781,102.940262,59.227417,-13.882552,10.427332,60.244457,-59.016861,10.785339,70.02887
-40.686066,161.984299,59.324726,-57.499695,117.875854,6.49972,-63.842823,79.599007,63.430119,-46.385036,102.882278,59.40353,-13.887739,10.437976,60.250843,-59.015854,10.771481,70.018326
-40.975029,161.82373,59.212421,-58.794529,115.896004,7.870811,-63.943081,79.561432,63.684925,-46.505993,102.816132,59.585514,-13.893605,10.447837,60.270573,-59.024113,10.75572,70.013702
-41.27544,161.665192,59.106804,-60.041901,113.949097,9.274844,-64.068802,79.558914,63.911625,-46.627632,102.726158,59.80365,-13.918249,10.437085,60.276142,-59.030029,10.752282,70.009399
-41.585464,161.517517,58.991798,-61.249409,112.040596,10.78651,-64.179001,79.530128,64.130066,-46.775562,102.647095,60.010391,-13.939751,10.45153,60.28664,-59.04921,10.750055,69.996872
-41.90155,161.381424,58.880325,-62.457439,110.198257,12.376511,-64.299904,79.518242,64.340744,-46.908257,102.544945,60.235764,-13.958368,10.459648,60.297108,-59.051319,10.747909,69.999397
-42.218983,161.258606,58.779453,-63.630447,108.443596,14.064142,-64.414558,79.498543,64.547028,-47.067383,102.455315,60.453011,-13.976553,10.468653,60.319412,-59.052601,10.750936,69.983574
-42.547035,161.134781,58.686699,-64.72197,106.793678,15.80838,-64.536263,79.483978,64.733513,-47.212597,102.346054,60.682041,-13.988294,10.475806,60.326813,-59.055302,10.742743,69.9851
-42.882149,161.011078,58.615028,-65.722252,105.174217,17.594688,-64.651733,79.48381,64.927666,-47.376514,102.248024,60.896973,-14.008732,10.475588,60.353458,-59.057987,10.730968,69.986603
-43.219109,160.893066,58.546692,-66.684692,103.561874,19.441229,-64.779396,79.48365,65.115959,-47.534801,102.138107,61.113754,-13.999204,10.474991,60.35833,-59.060673,10.736234,69.988159
-43.562012,160.780914,58.494884,-67.594284,101.979271,21.375526,-64.919472,79.46891,65.31852,-47.7057,102.046257,61.308449,-14.020185,10.481779,60.377056,-59.063358,10.729912,69.989853
-43.904266,160.675385,58.448174,-68.428452,100.459244,23.349344,-65.090233,79.457306,65.529808,-47.876297,101.959366,61.517231,-14.031654,10.494254,60.380695,-59.056637,10.737736,69.99839
-44.235806,160.580093,58.430256,-69.146614,98.980721,25.305843,-65.247482,79.426933,65.753464,-48.027584,101.889648,61.695801,-14.043024,10.505506,60.401833,-59.050232,10.74406,70.008423
-44.575825,160.482162,58.404655,-69.720367,97.531982,27.234221,-65.399101,79.390648,65.999702,-48.210491,101.848183,61.860359,-14.051785,10.513272,60.39666,-59.068283,10.719456,70.018967
-44.926132,160.382111,58.392605,-70.221786,96.07164,29.201859,-65.556335,79.338837,66.233322,-48.384937,101.783325,61.997787,-14.092124,10.484398,60.393692,-59.083916,10.719457,70.02179
-45.271969,160.294952,58.393589,-70.632767,94.657051,31.167467,-65.688744,79.287354,66.485847,-48.547382,101.741943,62.153206,-14.112264,10.496198,60.390617,-59.082085,10.747196,70.037857
-45.599018,160.209488,58.395386,-70.986732,93.343155,33.141171,-65.795364,79.249878,66.749168,-48.698154,101.727737,62.280479,-14.110751,10.522875,60.387684,-59.090832,10.749847,70.029099
