head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
17.358452,155.22496,10.185319,31.549591,82.896355,-0.311065,-3.769553,84.029518,0.430113,15.208673,96.037796,11.780458,36.80278,7.591116,21.409941,-11.151278,8.406199,20.450247
17.183228,155.177475,10.188156,31.63224,82.760582,-0.502217,-3.887871,83.596947,0.729502,14.958181,95.976089,11.612803,36.832809,7.543042,21.437357,-11.285103,8.317013,20.518896
16.982721,155.164093,10.184193,31.703974,82.645424,-0.672831,-4.01108,83.186722,1.026274,14.773076,95.950439,11.488785,36.814266,7.554426,21.408491,-11.338636,8.299684,20.554529
16.789541,155.170517,10.182469,31.774166,82.58065,-0.82936,-4.151362,82.856041,1.310193,14.579145,96.056206,11.313931,36.842403,7.516509,21.418566,-11.396383,8.286303,20.590294
16.589733,155.182022,10.198681,31.792484,82.506165,-0.915785,-4.304097,82.659622,1.533879,14.34416,96.156754,11.125888,36.833294,7.52234,21.390589,-11.466329,8.26451,20.645119
16.400223,155.210312,10.206526,31.767509,82.498985,-1.013535,-4.512022,82.686073,1.633083,14.147786,96.235764,11.033933,36.84417,7.499624,21.378813,-11.467424,8.271838,20.660286
16.20499,155.254883,10.21264,31.675631,82.573982,-1.097517,-4.756196,82.842033,1.596904,13.956432,96.223984,10.965132,36.84631,7.49984,21.353956,-11.488798,8.268344,20.630285
16.024944,155.310089,10.187614,31.580338,82.722435,-1.233312,-5.063892,83.153496,1.459318,13.739085,96.223114,10.928007,36.851021,7.468802,21.340986,-11.507919,8.256013,20.633537
15.844665,155.376984,10.149718,31.460405,82.91951,-1.389221,-5.372225,83.550072,1.182953,13.522368,96.194611,10.908137,36.858032,7.467687,21.326666,-11.516236,8.240348,20.652441
15.693329,155.444534,10.095788,31.354946,83.242393,-1.585152,-5.661652,84.053467,0.894144,13.321164,96.180077,10.878297,36.839596,7.492507,21.318663,-11.508323,8.248212,20.655151
15.533938,155.488098,10.046408,31.222857,83.543945,-1.758265,-5.887326,84.536461,0.573177,13.186394,96.164803,10.896796,36.852753,7.488658,21.317764,-11.531226,8.249762,20.657732
15.388822,155.50853,10.000926,31.101606,83.844742,-1.955382,-6.107297,85.024719,0.210416,13.023586,96.15519,10.878303,36.823368,7.516356,21.317522,-11.538422,8.255504,20.657473
15.263911,155.510483,9.9627,30.976795,84.082321,-2.114117,-6.290519,85.474663,-0.143612,12.909238,96.156143,10.857386,36.835152,7.516609,21.317547,-11.539656,8.259241,20.640821
15.142862,155.494537,9.919562,30.800865,84.276268,-2.237298,-6.45753,85.861603,-0.528292,12.780975,96.158508,10.820246,36.811512,7.516921,21.317816,-11.540709,8.25778,20.637951
15.039689,155.458572,9.893542,30.592772,84.445923,-2.322533,-6.61841,86.187866,-0.886977,12.698222,96.162537,10.790397,36.820625,7.517151,21.318316,-11.541674,8.272067,20.635098
14.943446,155.410248,9.878127,30.376156,84.549751,-2.364043,-6.778544,86.494171,-1.266576,12.59907,96.17276,10.755307,36.815189,7.531709,21.306112,-11.552052,8.272493,20.644762
14.86035,155.352371,9.878148,30.16338,84.656914,-2.412957,-6.906229,86.783264,-1.623097,12.507121,96.171707,10.724798,36.82394,7.527053,21.307333,-11.55376,8.272433,20.649265
14.791584,155.298004,9.8836,29.955753,84.751686,-2.431434,-7.048481,87.135086,-2.012562,12.432167,96.168022,10.714928,36.843777,7.507077,21.329695,-11.568884,8.286473,20.674543
14.724571,155.248611,9.889787,29.769619,84.8582,-2.494073,-7.181247,87.52124,-2.422841,12.388046,96.158806,10.730401,36.856178,7.500479,21.329407,-11.567004,8.286604,20.695559
14.672964,155.208939,9.88001,29.635122,84.982834,-2.588568,-7.320601,87.968903,-2.837832,12.319647,96.169113,10.715912,36.871628,7.493942,21.329803,-11.571862,8.288853,20.696941
14.628721,155.180252,9.856023,29.559095,85.147438,-2.738167,-7.465981,88.478615,-3.309317,12.291795,96.171921,10.743447,36.883434,7.486728,21.330624,-11.573831,8.290032,20.712849
14.58747,155.158997,9.810173,29.504175,85.397209,-2.942491,-7.578671,89.046593,-3.773638,12.26313,96.191879,10.757479,36.876099,7.480773,21.331593,-11.575686,8.285518,20.708311
14.54388,155.143723,9.743893,29.433807,85.713867,-3.1679,-7.677031,89.740387,-4.310588,12.246916,96.19902,10.796919,36.892647,7.471461,21.332449,-11.577549,8.290153,20.721884
14.506552,155.126053,9.666184,29.354557,86.167786,-3.44676,-7.64369,90.569862,-4.805483,12.231224,96.217163,10.845757,36.892559,7.483827,21.34096,-11.579416,8.298957,20.722214
14.479281,155.102737,9.552014,29.232338,86.719452,-3.753011,-7.575421,91.506294,-5.344829,12.250261,96.221176,10.921793,36.913319,7.470522,21.342951,-11.581282,8.301587,20.722635
14.438938,155.07579,9.405921,29.119839,87.391861,-4.102803,-7.375185,92.425659,-5.850796,12.251364,96.266289,10.996881,36.951778,7.411453,21.364378,-11.59703,8.305106,20.72294
14.406936,155.053009,9.216084,28.991552,88.120766,-4.502096,-7.20091,93.419174,-6.386483,12.280376,96.307602,11.139939,36.956806,7.401442,21.360415,-11.599143,8.311382,20.713213
14.369597,155.021591,9.001866,28.842402,88.89402,-4.940567,-6.951504,94.287941,-6.884769,12.318245,96.358879,11.312428,36.960995,7.389894,21.357664,-11.602571,8.321285,20.711004
14.347674,154.970551,8.759341,28.7066,89.646339,-5.364538,-6.7824,95.116562,-7.422392,12.360504,96.353394,11.545846,36.969776,7.376944,21.354889,-11.605647,8.328558,20.709492
14.317227,154.902878,8.486664,28.549351,90.375084,-5.787867,-6.572686,95.806671,-7.927522,12.389056,96.339394,11.789894,36.995602,7.373816,21.365047,-11.615397,8.343993,20.72653
14.303209,154.813278,8.172584,28.356918,91.036026,-6.187077,-6.433266,96.465027,-8.453986,12.431488,96.283211,12.111881,37.018024,7.365388,21.362516,-11.600389,8.35313,20.729721
14.286146,154.71994,7.791974,28.164692,91.629761,-6.581321,-6.25128,96.970795,-8.916723,12.441095,96.202881,12.438787,37.056629,7.348139,21.359962,-11.589246,8.368426,20.742975
14.279186,154.630569,7.33299,27.923306,92.091064,-6.947742,-6.112674,97.346046,-9.401731,12.513401,96.081467,12.892279,37.082237,7.336006,21.357475,-11.570308,8.393269,20.760984
14.277047,154.53566,6.777073,27.670132,92.451744,-7.319479,-5.964221,97.535538,-9.857132,12.553844,95.927094,13.364862,37.087646,7.326109,21.354967,-11.572179,8.426592,20.805838
14.27634,154.429108,6.137352,27.396332,92.669876,-7.664485,-5.797651,97.478027,-10.27329,12.631026,95.746735,13.928144,37.111206,7.318783,21.352673,-11.540317,8.47022,20.843826
