head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
3.607899,163.262527,6.05374,20.953524,80.430267,1.44043,-16.215538,79.63121,7.963997,3.349495,97.691788,8.072859,21.872711,9.370029,14.751178,-6.430316,11.502945,18.708319
3.64855,163.280716,5.984956,20.954109,80.434364,1.399256,-15.891406,79.623322,8.009542,3.340004,97.697525,8.056681,21.872711,9.370238,14.741373,-6.429347,11.502945,18.707344
3.692618,163.297546,5.906306,20.861021,80.426048,1.422686,-15.458944,79.627792,8.057795,3.390036,97.667603,8.0888,21.872665,9.375171,14.739702,-6.421237,11.502945,18.705795
3.735857,163.310486,5.839751,20.672817,80.401962,1.557994,-15.067202,79.590538,8.110697,3.377,97.672325,8.099548,21.872591,9.390892,14.738906,-6.408802,11.502945,18.704254
3.788045,163.316895,5.75721,20.421947,80.363762,1.740771,-14.802215,79.620018,8.110426,3.397281,97.654633,8.129544,21.884933,9.391788,14.738443,-6.387712,11.489014,18.702761
3.827458,163.321274,5.670537,20.135153,80.329224,1.960593,-14.668306,79.64724,8.093357,3.387099,97.650856,8.149562,21.875904,9.38651,14.737775,-6.382189,11.484773,18.701359
3.872418,163.329071,5.57537,19.938545,80.317604,2.066903,-14.624783,79.698898,8.025208,3.41473,97.609642,8.193872,21.862837,9.384804,14.751267,-6.383303,11.490303,18.685427
3.918198,163.334503,5.478719,19.873962,80.327545,2.080365,-14.581164,79.734825,8.020079,3.396193,97.601067,8.219399,21.859266,9.383942,14.751768,-6.384306,11.488589,18.678286
3.96366,163.3367,5.368511,19.945587,80.331825,1.993082,-14.474827,79.757607,8.018497,3.4391,97.541061,8.280742,21.855688,9.383368,14.752067,-6.384365,11.483988,18.642984
4.01348,163.33847,5.259057,20.026052,80.34761,1.909712,-14.320196,79.774223,8.021176,3.426067,97.520805,8.324071,21.85017,9.382911,14.751845,-6.384038,11.484468,18.657768
4.056412,163.333252,5.134885,20.059275,80.345039,1.878379,-14.159285,79.809036,8.042754,3.466812,97.476273,8.392965,21.846479,9.382393,14.751434,-6.376598,11.485858,18.657455
4.105727,163.326035,5.005926,20.033892,80.343987,1.884498,-14.079887,79.845261,8.023171,3.470458,97.454941,8.446925,21.844141,9.382239,14.75097,-6.368166,11.48773,18.657166
4.153532,163.303329,4.870593,19.989731,80.342697,1.9107,-14.028278,79.872162,8.034087,3.532011,97.401726,8.531434,21.84606,9.398372,14.750575,-6.361535,11.489656,18.656916
4.206288,163.274948,4.733078,19.926249,80.340805,1.952975,-14.051304,79.909996,8.028803,3.530517,97.384621,8.582765,21.851536,9.376154,14.750219,-6.359761,11.481607,18.656721
4.251723,163.237442,4.587533,19.861973,80.323647,1.989419,-14.039084,79.880043,8.063408,3.588571,97.311592,8.670115,21.850376,9.372611,14.749871,-6.358296,11.470946,18.67063
4.304161,163.197189,4.435586,19.805817,80.304863,2.031952,-13.999422,79.857391,8.124057,3.604794,97.263275,8.732409,21.844597,9.370319,14.749516,-6.356435,11.469028,18.661234
4.347969,163.156647,4.289161,19.773281,80.268669,2.066913,-13.94001,79.848457,8.184728,3.665463,97.180901,8.824082,21.860373,9.351199,14.749144,-6.342124,11.469807,18.646618
4.400342,163.115692,4.137119,19.747292,80.235336,2.105756,-13.8908,79.849312,8.212116,3.677388,97.119881,8.899319,21.862947,9.352941,14.748737,-6.337162,11.473432,18.64325
4.444262,163.076523,3.984056,19.731913,80.186409,2.14038,-13.822645,79.842842,8.272963,3.749351,97.026497,9.00775,21.841915,9.376771,14.736295,-6.333113,11.485263,18.641956
4.487672,163.034012,3.812615,19.722572,80.140907,2.167566,-13.807766,79.822327,8.313825,3.752501,96.962799,9.08788,21.832052,9.388692,14.734646,-6.329261,11.492109,18.640835
4.531832,162.986374,3.644788,19.718096,80.086418,2.201352,-13.797724,79.79834,8.35816,3.836853,96.855217,9.210022,21.829021,9.394003,14.736279,-6.323041,11.499339,18.639923
4.57297,162.928253,3.468169,19.705843,80.025528,2.249486,-13.806685,79.758972,8.394751,3.858771,96.767159,9.30885,21.829475,9.404821,14.738428,-6.314749,11.507608,18.639263
4.615675,162.849625,3.298025,19.674471,79.94313,2.307589,-13.770919,79.678825,8.458048,3.951265,96.6287,9.449699,21.830894,9.414476,14.741797,-6.310407,11.520532,18.638891
4.646427,162.75502,3.108725,19.648203,79.852852,2.345797,-13.737658,79.601753,8.507572,3.940289,96.520813,9.551241,21.831621,9.418714,14.746108,-6.307864,11.531139,18.6485
4.665846,162.638336,2.924949,19.638458,79.749519,2.352186,-13.691472,79.505127,8.553055,4.015466,96.309074,9.718948,21.824619,9.436262,14.753062,-6.305692,11.55117,18.653088
4.687776,162.495453,2.735641,19.638186,79.632874,2.344407,-13.653635,79.386543,8.585277,4.029456,96.090775,9.871252,21.814095,9.460344,14.771909,-6.303183,11.580421,18.664492
4.710156,162.319641,2.54251,19.680372,79.513573,2.323044,-13.618785,79.266739,8.59877,4.128406,95.788918,10.081627,21.805792,9.476267,14.808109,-6.291047,11.604733,18.665125
4.719918,162.103714,2.347673,19.734308,79.361259,2.268937,-13.59166,79.080315,8.581281,4.142867,95.458603,10.256875,21.816011,9.488215,14.836432,-6.282146,11.616434,18.664846
4.721376,161.841263,2.155072,19.831339,79.161163,2.178115,-13.577363,78.893211,8.549096,4.254847,95.035805,10.503461,21.80617,9.519641,14.840762,-6.279021,11.616422,18.644634
4.722588,161.530304,1.969381,19.950306,78.962151,2.036067,-13.638938,78.674576,8.416306,4.296206,94.552994,10.708318,21.794506,9.516394,14.843216,-6.276844,11.609824,18.633484
4.72357,161.182663,1.797876,20.133732,78.738274,1.832217,-13.762358,78.515213,8.189533,4.415319,93.994965,10.942691,21.798204,9.513565,14.845483,-6.261637,11.578857,18.631512
4.720027,160.828384,1.635611,20.337385,78.531502,1.569225,-14.018497,78.514481,7.80147,4.386872,93.454697,11.097852,21.810265,9.495304,14.849092,-6.27333,11.554461,18.631941
4.697949,160.463425,1.461469,20.59833,78.261215,1.208432,-14.380427,78.695854,7.283849,4.512676,92.832436,11.298244,21.805798,9.507668,14.839807,-6.294306,11.56055,18.599699
4.670831,160.062973,1.315605,20.939857,77.995331,0.755007,-14.997578,78.967247,6.606031,4.520116,92.265823,11.404061,21.774899,9.494596,14.806648,-6.294959,11.537549,18.545191
4.645678,159.608917,1.202072,21.442936,77.904701,0.109357,-15.798799,79.365273,5.907055,4.585526,91.633171,11.510016,21.766844,9.440359,14.788358,-6.277124,11.495178,18.488152
4.611793,159.122116,1.150719,22.217834,78.018425,-0.814477,-17.260235,79.881721,4.985401,4.53299,91.049248,11.507453,21.732624,9.405396,14.748828,-6.270292,11.435279,18.456987
4.573115,158.625702,1.152164,23.475758,78.385834,-2.287188,-19.301239,80.662201,3.889305,4.624229,90.350143,11.509038,21.68453,9.362353,14.698309,-6.228518,11.374509,18.395758
4.546489,158.145142,1.219608,25.124519,79.202042,-4.2114,-22.116945,81.913101,2.614198,4.584609,89.786346,11.424699,21.608854,9.330801,14.662335,-6.225329,11.320678,18.356815
4.496926,157.713882,1.334967,27.220629,80.478462,-6.486691,-25.736401,83.863777,1.108899,4.676185,89.195099,11.366735,21.538641,9.320148,14.615604,-6.205817,11.293694,18.289528
4.45586,157.327072,1.526842,29.79903,82.425415,-9.116143,-29.670057,86.536186,-0.171681,4.670983,88.775841,11.234677,21.431551,9.312276,14.571844,-6.176527,11.248105,18.21146
4.414779,157.006912,1.784085,32.720104,84.875198,-11.795936,-33.737782,89.735168,-1.352175,4.740203,88.36084,11.083774,21.318899,9.294709,14.519483,-6.120004,11.199926,18.121071
