head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
29.860556,151.742126,45.34679,44.695759,76.630875,32.237892,32.889629,77.917221,80.188004,43.438816,103.12793,57.163513,52.216129,11.4259,45.023491,42.992413,7.817519,75.236496
29.670113,151.595032,45.06295,42.5914,77.264252,31.997845,31.240334,78.500999,79.247078,43.695572,102.886772,57.084679,52.193401,11.423243,45.023491,43.023254,7.895575,75.210335
29.441576,151.407486,44.793964,40.463497,77.917641,31.841063,29.632261,79.064285,78.302643,43.967926,102.599144,57.010269,52.203796,11.392259,45.040073,42.918518,8.112614,74.951118
29.178194,151.165512,44.538338,38.405697,78.531387,31.69689,28.014025,79.631714,77.33477,44.189487,102.312141,56.930878,52.153419,11.393032,45.012459,42.924229,8.125998,74.529213
28.896616,150.895386,44.302143,36.385876,79.166321,31.543955,26.415333,80.291328,76.357582,44.450283,102.001396,56.860729,52.157684,11.37174,45.004032,42.844555,8.132826,73.980141
28.584387,150.575699,44.082775,34.409153,79.77578,31.413334,24.927485,80.932701,75.350868,44.668316,101.697586,56.786388,52.107746,11.369956,44.979252,42.882214,7.918371,73.541122
28.256411,150.219055,43.878151,32.532249,80.394585,31.246828,23.562019,81.497093,74.334465,44.916885,101.354004,56.718826,52.073311,11.368074,44.97744,42.775978,7.862792,73.48394
27.901962,149.814468,43.690491,30.726185,80.959183,31.166399,22.414185,81.907616,73.36895,45.166233,101.000519,56.667866,52.047947,11.366305,44.976418,42.875084,7.749665,73.636513
27.520634,149.351425,43.51965,29.050219,81.474701,31.088715,21.334372,82.238243,72.355042,45.388321,100.593597,56.613125,52.025394,11.3533,44.975773,42.979633,7.729158,73.474243
27.106264,148.848206,43.35416,27.493357,81.896202,31.095417,20.425447,82.366768,71.497826,45.598427,100.168854,56.590115,52.022163,11.352559,44.975117,42.991764,7.684117,73.476334
26.656055,148.297928,43.193649,26.128942,82.199997,31.20167,19.438892,82.513794,70.639557,45.893318,99.632782,56.634411,52.043423,11.311466,45.003288,43.026428,7.672596,73.428658
26.165882,147.695389,43.027275,24.954967,82.348602,31.364985,18.677231,82.488869,69.904793,46.12405,99.113251,56.686569,51.99984,11.311807,44.990273,43.030174,7.584114,73.397964
25.648026,147.033936,42.86898,23.969191,82.303062,31.579103,18.068506,82.326721,69.26577,46.325729,98.563934,56.706833,52.019974,11.279855,45.008282,42.981041,7.611377,73.297859
25.085348,146.319244,42.717777,23.191519,82.065834,31.759418,17.605028,81.943489,68.774498,46.549316,97.986465,56.812096,52.019455,11.28437,45.009525,43.012974,7.580675,73.318024
24.48102,145.562302,42.58395,22.64694,81.565239,31.928385,17.228527,81.35408,68.386986,46.769184,97.331039,56.939064,52.059086,11.254591,45.029438,42.991634,7.596087,73.304565
23.81423,144.766098,42.461182,22.287113,80.829124,32.04628,16.993904,80.616173,68.190941,46.881653,96.696892,57.062412,52.053333,11.273989,45.032703,43.068359,7.555798,73.314285
23.100578,143.919617,42.364815,22.206533,79.84137,32.128769,16.857878,79.704918,68.154121,47.197254,95.91552,57.296356,52.074478,11.263105,45.047058,43.026424,7.61978,73.263474
22.350729,143.020935,42.302647,22.294949,78.646652,32.148544,16.860338,78.586945,68.304474,47.320522,95.244827,57.444435,52.084503,11.264885,45.066765,43.10667,7.601915,73.259171
21.541437,142.050583,42.290607,22.678629,77.174019,32.118519,16.970264,77.303482,68.634254,47.617195,94.444626,57.681717,52.083645,11.265532,45.098412,43.054756,7.672828,73.220085
20.688902,141.026855,42.292049,23.289843,75.437904,32.03244,17.244932,75.906593,69.111328,47.744061,93.724091,57.819866,52.0825,11.281395,45.106857,43.099121,7.671152,73.224457
19.795885,139.922333,42.337643,24.191504,73.459396,31.958475,17.678122,74.41201,69.714561,48.023678,92.902039,58.039997,52.074226,11.29075,45.112988,43.02108,7.762199,73.175125
18.870752,138.746353,42.404331,25.319477,71.288406,31.842491,18.269682,72.828178,70.411613,48.151699,92.140373,58.18766,52.073715,11.279989,45.118488,43.014019,7.763923,73.165298
17.933733,137.491852,42.517365,26.704102,68.958275,31.745962,19.030308,71.128494,71.164841,48.382172,91.319405,58.395363,52.027107,11.305904,45.125717,42.934917,7.836192,73.095566
16.972176,136.189163,42.638454,28.328171,66.56781,31.721867,19.945541,69.388542,72.020157,48.443993,90.589302,58.5177,52.046082,11.2749,45.131592,42.939754,7.820867,73.106743
16.021374,134.838135,42.775913,30.216076,64.105179,31.760277,20.971531,67.639503,72.88163,48.581276,89.803474,58.653442,52.010391,11.305163,45.121941,42.87035,7.906219,73.045639
15.055264,133.456192,42.909817,32.223995,61.731781,31.764006,22.090658,65.888115,73.748459,48.687469,88.988235,58.781891,52.023518,11.279085,45.138447,42.880722,7.888575,73.037918
14.111252,132.015656,43.055237,34.404121,59.373394,31.821419,23.233545,64.197906,74.653503,48.770351,88.158127,58.898273,52.020061,11.279147,45.141766,42.806789,7.953366,72.99276
