head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-17.609512,160.451508,77.236023,-3.463829,87.344002,82.871979,-25.825739,97.77504,57.726269,-20.578407,101.700439,77.320152,-0.950122,10.218239,103.603424,-33.182121,10.447621,81.768951
-17.633694,160.431046,77.155907,-3.726369,87.433815,82.728081,-25.878218,97.640747,57.40229,-20.611969,101.706169,77.268532,-0.950122,10.218239,103.600143,-33.19297,10.458493,81.768951
-17.647745,160.412415,77.081184,-3.975119,87.401283,82.648354,-25.945642,97.422859,57.16544,-20.638973,101.687782,77.234955,-0.951053,10.215364,103.597466,-33.190338,10.443745,81.768951
-17.667276,160.400314,77.002426,-4.239964,87.256096,82.649475,-26.083916,97.15097,56.984867,-20.656349,101.678604,77.201523,-0.952384,10.209111,103.594933,-33.186676,10.437858,81.768951
-17.671104,160.392395,76.924934,-4.470213,87.01326,82.730347,-26.198919,96.847054,56.875591,-20.668911,101.666885,77.19619,-0.95387,10.221587,103.59182,-33.18565,10.433213,81.768951
-17.683828,160.384445,76.842354,-4.713945,86.642876,82.882057,-26.381222,96.453903,56.799076,-20.667999,101.651497,77.184517,-0.956099,10.216669,103.573349,-33.194447,10.432571,81.768745
-17.685961,160.375473,76.750465,-4.932318,86.180023,83.104004,-26.583138,96.000328,56.743324,-20.658037,101.636673,77.20211,-0.962826,10.228271,103.550003,-33.189781,10.425352,81.766876
-17.681139,160.366104,76.657089,-5.163915,85.614822,83.417267,-26.817247,95.484161,56.752178,-20.655062,101.623634,77.228569,-0.981502,10.232663,103.519981,-33.200298,10.436941,81.764999
-17.659304,160.357513,76.554001,-5.36423,84.998161,83.811737,-27.078476,94.937057,56.802517,-20.621382,101.619095,77.287605,-0.995657,10.242989,103.478195,-33.202656,10.431609,81.763153
-17.632086,160.345825,76.450005,-5.599258,84.370911,84.297234,-27.321056,94.350578,56.963242,-20.569818,101.625221,77.370285,-1.017081,10.258039,103.43042,-33.205696,10.428202,81.76049
-17.587984,160.327209,76.344948,-5.782895,83.784782,84.848,-27.538059,93.773369,57.217052,-20.521511,101.615028,77.484581,-1.039083,10.290722,103.381813,-33.205879,10.404486,81.757454
-17.542276,160.320877,76.241684,-5.989349,83.220741,85.449951,-27.719486,93.165993,57.509689,-20.4398,101.625412,77.638832,-1.078088,10.343759,103.319046,-33.192699,10.388316,81.754227
-17.456779,160.319214,76.125435,-6.08447,82.696968,86.059761,-27.834984,92.573029,57.815102,-20.339111,101.642113,77.819435,-1.11914,10.416548,103.230057,-33.191414,10.384867,81.736244
-17.359739,160.318268,76.018036,-6.003005,82.241409,86.635033,-27.884926,91.980125,58.145622,-20.217546,101.644104,78.085548,-1.202409,10.495947,103.133522,-33.21455,10.366566,81.722466
-17.227654,160.327301,75.917145,-5.662645,81.9347,87.20961,-27.882162,91.417198,58.498264,-20.070801,101.645752,78.346214,-1.358952,10.551395,103.034767,-33.222679,10.346264,81.715614
-17.079897,160.333145,75.831909,-5.007731,81.691193,87.69706,-27.766619,90.88636,58.843098,-19.904114,101.643707,78.698097,-1.570929,10.652479,102.879784,-33.223503,10.331965,81.703804
-16.888697,160.328659,75.781548,-4.319174,81.624374,88.215462,-27.518751,90.459763,59.182819,-19.679495,101.664879,79.084061,-1.966209,10.844738,102.615585,-33.202255,10.340651,81.697037
-16.713041,160.313812,75.770164,-3.618625,81.62159,88.644577,-27.166304,90.094376,59.428192,-19.514345,101.665115,79.448158,-2.623993,10.939467,102.079407,-33.200493,10.331473,81.691711
-16.506121,160.30188,75.791496,-3.052745,81.688522,88.952736,-26.664057,89.830109,59.56419,-19.319592,101.665009,79.742897,-3.325833,10.970182,101.469208,-33.191689,10.319166,81.675354
-16.289627,160.297974,75.862007,-2.736723,81.947052,89.198547,-26.009706,89.719994,59.523544,-19.140934,101.657974,80.029243,-4.167572,11.092785,100.70108,-33.177181,10.310186,81.666275
-16.040461,160.300674,75.986023,-2.420879,82.190308,89.183777,-25.208883,89.844872,59.319584,-18.945204,101.650497,80.308357,-4.987032,11.298005,99.97422,-33.167961,10.307336,81.642578
-15.782195,160.306671,76.15921,-2.217055,82.730995,89.078323,-24.214159,90.276245,58.953182,-18.723465,101.590744,80.578255,-6.016763,11.93906,99.400261,-33.1633,10.30513,81.635406
-15.493793,160.311584,76.393791,-1.881769,83.373535,88.753181,-22.997471,91.041222,58.45237,-18.483627,101.577057,80.879417,-6.531301,11.957043,98.786209,-33.158146,10.289707,81.622192
-15.196286,160.318481,76.680977,-1.469506,84.282021,88.255669,-21.634638,92.141418,57.866413,-18.209238,101.562973,81.167206,-6.895961,12.006662,98.36145,-33.150806,10.288319,81.619522
-14.856263,160.333069,77.035507,-0.882568,85.407234,87.648209,-20.118097,93.55265,57.175201,-17.90284,101.566444,81.450279,-7.087955,11.826424,97.94001,-33.139,10.287452,81.610077
-14.518167,160.34198,77.436142,-0.180874,86.864891,86.790298,-18.475491,95.273872,56.50341,-17.573992,101.575455,81.750793,-7.075869,11.619589,97.787567,-33.127758,10.286716,81.609436
-14.146982,160.355011,77.898506,0.623778,88.627472,85.92659,-16.755749,97.273163,55.924477,-17.21361,101.578171,82.036461,-7.225224,11.479517,97.674042,-33.117531,10.286198,81.611244
-13.791154,160.368423,78.403221,1.450656,90.709679,84.90535,-14.976053,99.540695,55.468262,-16.846413,101.590599,82.345001,-7.350851,11.423554,97.860405,-33.112144,10.285989,81.62104
-13.404065,160.402222,78.946976,2.221005,93.087784,83.855942,-13.220723,102.095497,55.206276,-16.447599,101.570984,82.675903,-7.39596,11.356823,98.162758,-33.107025,10.294937,81.629013
-13.023305,160.443588,79.518265,2.819873,95.660461,82.820366,-11.453753,104.857536,54.993141,-16.059578,101.548401,82.957428,-7.439316,11.294196,98.286476,-33.100479,10.320246,81.643372
-12.622025,160.514481,80.105461,3.318045,98.405945,81.757988,-9.835432,107.79464,54.943874,-15.704812,101.540199,83.275673,-7.420375,11.281002,98.35714,-33.083008,10.334154,81.649529
-12.236063,160.587372,80.709885,3.715558,101.338867,80.810928,-8.273564,110.883148,55.061863,-15.396803,101.589607,83.53862,-7.401817,11.219105,98.354233,-33.04929,10.368901,81.659966
