head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
26.709366,159.00032,67.87355,35.068447,80.27607,51.605034,13.372278,80.438187,88.306557,23.875713,103.244308,73.107681,47.455727,9.48596,67.712242,27.646244,7.563627,90.076866
26.725019,158.990555,67.68029,35.264946,80.109596,51.513939,13.534339,80.316635,88.123672,23.852182,103.239464,72.98024,47.422947,9.520481,67.703712,27.593937,7.627894,90.026299
26.740982,158.97673,67.485153,35.477486,79.940964,51.335655,13.675179,80.218895,87.959702,23.885263,103.200203,72.874756,47.444031,9.508669,67.713531,27.630413,7.606933,90.044518
26.753242,158.965271,67.285339,35.680084,79.755501,51.263008,13.815014,80.117889,87.78289,23.811735,103.202957,72.724258,47.422916,9.550293,67.735664,27.574696,7.661724,90.044136
26.756878,158.959854,67.074608,35.910732,79.546921,51.222755,13.941477,80.038338,87.592583,23.845259,103.153419,72.598267,47.459816,9.542377,67.745491,27.607666,7.641656,90.071693
26.758799,158.957626,66.848122,36.12149,79.319977,51.171764,14.074267,79.963898,87.389755,23.838144,103.129417,72.439095,47.43647,9.595222,67.73912,27.553963,7.718024,90.037766
26.74094,158.955475,66.611961,36.340759,79.104408,51.146473,14.186787,79.905014,87.161697,23.887831,103.06144,72.287025,47.456535,9.577851,67.739487,27.584238,7.695991,90.05381
26.71339,158.953186,66.359528,36.542339,78.889175,51.130058,14.305584,79.86087,86.947205,23.916697,103.005455,72.110825,47.415806,9.618387,67.739594,27.526503,7.758694,90.014885
26.675316,158.94194,66.097176,36.746826,78.684235,51.14978,14.422011,79.800278,86.741684,23.969868,102.942055,71.930656,47.425468,9.601337,67.745201,27.554331,7.741374,90.030876
26.623499,158.919724,65.818413,36.932884,78.482704,51.181801,14.529153,79.724335,86.546387,23.969597,102.905045,71.724434,47.381935,9.629935,67.748344,27.472446,7.819735,89.985497
26.562933,158.886581,65.533379,37.104328,78.315361,51.222637,14.63745,79.667809,86.32502,24.022606,102.861656,71.533943,47.407436,9.603621,67.75943,27.494698,7.800344,90.001053
26.500534,158.850571,65.227112,37.239876,78.18869,51.281246,14.740749,79.628296,86.117256,24.029959,102.84259,71.314583,47.103424,9.877259,67.653015,27.445093,7.855427,89.967339
26.432863,158.806549,64.913094,37.354488,78.088211,51.310032,14.844321,79.597183,85.893539,24.076128,102.807961,71.11499,47.097748,9.882437,67.657532,27.468317,7.845141,89.97876
26.34164,158.747482,64.578804,37.419025,77.989586,51.324974,14.93069,79.550636,85.680099,24.045233,102.783119,70.876068,46.941238,9.99938,67.608665,27.390387,7.878194,89.960312
26.262611,158.689941,64.232437,37.477585,77.918701,51.295326,15.010163,79.492874,85.463989,24.084841,102.740211,70.657188,46.937519,10.000691,67.623184,27.409,7.864966,89.971947
26.178263,158.633011,63.864841,37.522423,77.880615,51.229916,15.072811,79.462463,85.252754,24.155476,102.709785,70.40567,46.910435,10.054656,67.594589,27.392447,7.893674,89.954254
26.079823,158.576599,63.479847,37.533108,77.850136,51.145351,15.081291,79.462433,85.031738,24.195419,102.643715,70.141327,46.901134,10.04969,67.596756,27.415499,7.884574,89.96978
25.974728,158.514496,63.084465,37.535648,77.843758,51.018394,15.080931,79.490196,84.828094,24.231905,102.579926,69.850708,46.870556,10.080384,67.581009,27.371235,7.935865,89.951584
25.872044,158.453003,62.673409,37.536423,77.8172,50.900318,15.059733,79.477318,84.632263,24.274332,102.498436,69.554359,46.854355,10.07517,67.583687,27.389225,7.922578,89.960968
25.750381,158.377991,62.242241,37.525135,77.79039,50.75351,14.9933,79.439308,84.468193,24.266096,102.450821,69.204102,46.838341,10.080711,67.585564,27.390503,7.901766,89.968559
25.632019,158.309387,61.793392,37.507065,77.755501,50.5858,14.907003,79.38707,84.278572,24.317921,102.374733,68.891754,46.838367,10.076887,67.585083,27.394075,7.895238,89.975166
25.520159,158.230087,61.357861,37.471817,77.7061,50.419041,14.77505,79.330284,84.148529,24.333408,102.323952,68.55687,46.830212,10.097719,67.582039,27.347429,7.938345,89.970039
25.400747,158.137833,60.903477,37.432091,77.656166,50.211559,14.649471,79.261749,83.963013,24.36307,102.248138,68.240547,46.843765,10.097039,67.578293,27.287088,7.942671,89.965416
25.267672,158.03241,60.453163,37.366501,77.580803,50.002327,14.460302,79.237381,83.810905,24.348566,102.155136,67.890831,46.863922,10.08276,67.560013,27.134743,7.996501,89.90168
25.125723,157.930527,59.99017,37.297592,77.477684,49.743198,14.258617,79.198242,83.615219,24.365463,102.009094,67.596741,46.866802,10.067032,67.549042,26.946852,8.024508,89.847145
24.960617,157.819427,59.537209,37.208118,77.334908,49.471626,13.978742,79.182808,83.466209,24.313875,101.871506,67.256454,46.853176,10.045978,67.529388,26.689306,8.066576,89.759575
24.80378,157.703278,59.085003,37.150673,77.162231,49.140362,13.686521,79.11853,83.309319,24.300066,101.68705,66.972221,46.842739,10.034351,67.514267,26.374393,8.138746,89.62867
24.607424,157.599106,58.643703,37.04789,76.963364,48.802162,13.295749,79.062096,83.232178,24.225031,101.544571,66.667259,46.834137,10.013548,67.508026,25.992161,8.237695,89.442749
24.40077,157.500534,58.205956,36.970146,76.777069,48.377029,12.902623,78.960663,83.127083,24.173643,101.383156,66.388725,46.823437,9.997891,67.500107,25.61417,8.432734,89.123703
24.18395,157.41449,57.795601,36.843262,76.561935,47.990177,12.44383,78.870995,83.08857,24.063255,101.274124,66.097954,46.769867,10.026423,67.482094,25.296137,8.68312,88.806793
23.95116,157.316299,57.388485,36.714848,76.364349,47.538002,12.006552,78.756584,83.026276,23.919558,101.159325,65.802887,46.752193,10.020416,67.479767,24.858776,9.252134,88.304939
23.686628,157.220383,56.992168,36.498619,76.16291,47.089691,11.492737,78.673668,82.982971,23.600115,101.096237,65.417183,46.70401,9.991455,67.478157,24.03089,9.936441,87.807693
23.409012,157.142517,56.606087,36.267391,75.986794,46.596134,10.96877,78.613266,82.879265,23.352903,101.009789,65.088432,46.658375,9.97977,67.476891,22.865221,10.753563,87.266243
23.099459,157.10141,56.240238,35.97916,75.839394,46.098969,10.39595,78.617516,82.811638,23.043476,100.952156,64.728783,46.663544,9.927233,67.498352,21.360634,11.407009,86.646858
