head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-10.986555,162.089371,16.437632,3.099179,80.115303,6.646538,-30.640591,80.741882,13.650441,-12.359964,97.644722,17.193626,22.14712,10.744154,20.88921,-34.294987,11.369395,29.753071
-11.326532,162.04541,16.333561,2.654685,80.321518,6.630419,-30.768162,80.863876,13.558435,-12.694132,97.646149,17.301472,22.160822,10.737887,20.868956,-34.294712,11.369425,29.735657
-11.69377,161.995285,16.219131,2.175965,80.521149,6.645616,-30.879644,81.011841,13.48311,-13.046409,97.649414,17.386873,22.169559,10.736145,20.857458,-34.275463,11.35897,29.735113
-12.081365,161.945297,16.11647,1.726855,80.688278,6.637607,-30.954065,81.128387,13.424787,-13.404854,97.653091,17.482424,22.155825,10.734789,20.856846,-34.270748,11.358055,29.735172
-12.497575,161.891479,15.986869,1.290701,80.811768,6.581113,-31.045225,81.246407,13.379736,-13.766675,97.648003,17.603674,22.148962,10.73113,20.836275,-34.252182,11.357197,29.723143
-12.923495,161.833435,15.862515,0.8889,80.916206,6.496415,-31.137232,81.317497,13.346566,-14.121264,97.644989,17.724592,22.194365,10.763049,20.809196,-34.234791,11.356319,29.723806
-13.373716,161.763733,15.726613,0.501272,81.01545,6.393762,-31.258497,81.375687,13.305937,-14.497561,97.63723,17.86355,22.205322,10.764876,20.80023,-34.223965,11.355375,29.724489
-13.837514,161.699158,15.595866,0.099386,81.153748,6.28916,-31.390425,81.424171,13.261478,-14.831096,97.617416,18.043402,22.201263,10.767303,20.7852,-34.224438,11.340358,29.737967
-14.321286,161.625229,15.440778,-0.279309,81.279388,6.148245,-31.567167,81.458748,13.197418,-15.201742,97.622368,18.200743,22.196579,10.770935,20.762711,-34.226067,11.336187,29.750343
-14.8221,161.556168,15.27579,-0.639244,81.399994,6.014539,-31.736364,81.468697,13.171227,-15.550063,97.632668,18.383625,22.190638,10.774559,20.723885,-34.227703,11.319264,29.76289
-15.325605,161.476974,15.091526,-0.957373,81.482994,5.898411,-31.905594,81.498024,13.130358,-15.902512,97.655281,18.559534,22.229589,10.753918,20.725992,-34.229332,11.298515,29.777136
-15.837376,161.408752,14.900368,-1.299353,81.582024,5.799801,-32.065498,81.520721,13.102129,-16.17662,97.615707,18.816648,22.213076,10.755289,20.699354,-34.230949,11.288778,29.798801
-16.360981,161.313583,14.668703,-1.623551,81.70385,5.677525,-32.245796,81.516556,13.06267,-16.496199,97.642464,19.015402,22.199728,10.790614,20.631882,-34.232548,11.298197,29.80537
-16.8859,161.213989,14.431192,-1.989422,81.867203,5.592927,-32.455097,81.500046,12.988811,-16.666149,97.550247,19.34285,22.166548,10.804482,20.570923,-34.233604,11.286248,29.824883
-17.417677,161.081375,14.147761,-2.323063,82.050323,5.490622,-32.684841,81.463539,12.896415,-16.91144,97.571274,19.589954,22.128609,10.849691,20.463591,-34.246143,11.295057,29.832581
-17.948532,160.936249,13.843356,-2.675219,82.285339,5.388258,-32.931267,81.388794,12.789239,-17.080875,97.550117,19.917236,22.058802,10.866615,20.339779,-34.251659,11.275237,29.835842
-18.474907,160.762924,13.491767,-3.008155,82.530731,5.2641,-33.209393,81.31646,12.661434,-17.272141,97.587776,20.208183,21.984505,10.936414,20.197895,-34.264812,11.283974,29.834356
-18.989136,160.561935,13.112584,-3.335374,82.804237,5.171563,-33.467903,81.232193,12.544937,-17.38905,97.564011,20.558737,21.891129,11.028783,20.088232,-34.272594,11.273223,29.833904
-19.490831,160.313309,12.686737,-3.65055,83.053406,5.076891,-33.698223,81.133278,12.433237,-17.506149,97.581696,20.892464,21.785513,11.150643,19.950518,-34.261803,11.251261,29.84634
-19.969538,160.03244,12.222488,-3.981176,83.277115,5.011439,-33.918839,81.011276,12.292618,-17.556559,97.544739,21.279188,21.653688,11.303689,19.854094,-34.261383,11.246062,29.841055
-20.440985,159.700455,11.716902,-4.321523,83.456818,4.95979,-34.139385,80.829353,12.138229,-17.628519,97.526543,21.630013,21.41864,11.551459,19.728273,-34.260998,11.239908,29.833557
-20.881945,159.326126,11.168152,-4.696635,83.617325,4.905188,-34.389874,80.587959,11.934903,-17.649208,97.455521,22.010927,21.096067,11.825497,19.498402,-34.260418,11.216934,29.814461
-21.306332,158.914413,10.573877,-5.073987,83.777252,4.840634,-34.683403,80.288696,11.722067,-17.674664,97.388283,22.350796,20.665977,12.089664,19.08147,-34.259773,11.223337,29.804831
-21.680225,158.469177,9.945234,-5.425401,83.912483,4.77934,-35.005802,79.898743,11.551707,-17.655376,97.31913,22.71932,20.274153,12.214537,18.532293,-34.259277,11.222216,29.799061
-22.035997,157.9711,9.28898,-5.775737,83.982361,4.721122,-35.380322,79.243713,11.491862,-17.637478,97.22271,23.062149,19.875816,12.246609,17.917873,-34.259285,11.210112,29.801992
-22.348801,157.43483,8.605815,-6.107535,83.97464,4.668388,-35.773884,78.394119,11.501046,-17.551483,97.069618,23.453939,19.443464,12.31427,17.254351,-34.259743,11.211173,29.798109
-22.644491,156.855362,7.90465,-6.431537,83.882065,4.594122,-36.044365,77.514343,11.601918,-17.489983,96.917068,23.796608,18.942804,12.334671,16.509655,-34.271702,11.212282,29.795349
-22.889771,156.239288,7.175912,-6.721264,83.672195,4.509442,-36.302143,76.741074,11.583612,-17.425505,96.742516,24.121187,18.492336,12.273178,15.768112,-34.272423,11.21316,29.793678
-23.107367,155.58107,6.4399,-6.998871,83.394478,4.424325,-36.434116,76.090454,11.562053,-17.310301,96.536804,24.454042,17.967867,12.183603,15.077198,-34.272877,11.197648,29.79487
-23.294352,154.887314,5.677373,-7.271604,83.029808,4.325868,-36.562733,75.482132,11.494384,-17.152058,96.294395,24.800911,17.430046,11.981639,14.4088,-34.289749,11.180149,29.798967
-23.463129,154.154282,4.907789,-7.55375,82.609863,4.202313,-36.704247,74.778816,11.435648,-16.948002,96.025154,25.144745,16.743143,11.841922,13.853745,-34.316307,11.204381,29.803293
-23.577496,153.379105,4.126402,-7.825279,82.096252,4.04368,-36.80801,74.119118,11.358522,-16.740187,95.740211,25.47673,16.37093,11.495273,13.773222,-34.327087,11.20548,29.805941
-23.669264,152.561935,3.353632,-8.05806,81.472511,3.884461,-36.869648,73.433975,11.232397,-16.484428,95.396339,25.839649,16.528275,11.532614,14.060607,-34.329987,11.20715,29.822386
-23.724731,151.721115,2.550974,-8.289859,80.754349,3.682759,-36.865025,72.868042,11.042911,-16.249155,95.04689,26.196022,16.663225,11.28628,14.061571,-34.331673,11.222006,29.823538
-23.786215,150.845444,1.741916,-8.500337,79.90329,3.486223,-36.756172,72.215042,10.894383,-16.00926,94.667412,26.609219,16.549149,11.336451,13.915133,-34.348152,11.248292,29.8242
-23.816196,149.918182,0.905012,-8.705882,78.933792,3.270366,-36.674534,71.669121,10.646202,-15.777434,94.331245,27.016947,16.536364,11.198292,13.846247,-34.363228,11.260906,29.825375
-23.822655,148.94043,0.073457,-8.908714,77.875725,3.062124,-36.549339,70.966499,10.466186,-15.49795,93.981461,27.495693,16.570711,11.115929,13.842474,-34.385426,11.292187,29.8414
-23.822611,147.898834,-0.757685,-9.125054,76.747047,2.851604,-36.537014,70.331871,10.1474,-15.111458,93.620407,27.955397,16.646954,11.075276,13.761803,-34.419006,11.31892,29.870804
-23.819845,146.792496,-1.584829,-9.367274,75.563423,2.686593,-36.467762,69.538818,9.893733,-14.703726,93.299171,28.378416,16.716711,11.034079,13.753325,-34.455124,11.36622,29.917206
-23.815798,145.613815,-2.415901,-9.616327,74.330841,2.507732,-36.482227,68.858536,9.519542,-14.236042,92.940582,28.798994,16.738661,11.002638,13.751861,-34.466682,11.422266,29.960726
-23.800022,144.350571,-3.211532,-9.899601,73.037468,2.374612,-36.389736,68.006317,9.214323,-13.765724,92.604469,29.184788,16.754667,10.977828,13.751582,-34.472858,11.460612,30.007586
-23.801104,143.034103,-4.010874,-10.140848,71.685722,2.169759,-36.290611,67.14518,8.878956,-13.280579,92.203674,29.630493,16.774448,10.96172,13.730256,-34.48391,11.508112,30.053408
-23.823616,141.655334,-4.769168,-10.448217,70.308685,1.97769,-36.160835,66.267883,8.515089,-12.861162,91.830238,30.026289,16.787714,10.934099,13.720572,-34.505009,11.567948,30.095043
-23.858791,140.210617,-5.50334,-10.706934,68.886032,1.691834,-36.12035,65.439705,8.083528,-12.454515,91.411934,30.419607,16.7498,10.913683,13.732325,-34.521431,11.620063,30.150291
-23.910618,138.705032,-6.185859,-11.018312,67.476227,1.395871,-36.100384,64.490829,7.652264,-12.14268,91.046646,30.79648,16.764059,10.902406,13.731067,-34.532166,11.688074,30.195675
-23.968506,137.149628,-6.867069,-11.295451,66.083664,0.966635,-36.12624,63.495205,7.182518,-11.872682,90.679955,31.184645,16.798262,10.88166,13.696268,-34.535431,11.73541,30.231117
-24.069134,135.55629,-7.492091,-11.613025,64.675201,0.503014,-36.1936,62.523247,6.601408,-11.610875,90.256477,31.612425,16.796181,10.888237,13.698085,-34.548897,11.798364,30.255295
-24.172752,133.907883,-8.086783,-11.939281,63.262142,-0.037313,-36.263657,61.579571,5.967372,-11.382234,89.848892,31.92177,16.755121,10.884131,13.714243,-34.576603,11.860228,30.336391
-24.292778,132.235687,-8.624124,-12.283236,61.820122,-0.620033,-36.372726,60.701977,5.237277,-11.137516,89.389153,32.326836,16.732231,10.897401,13.719432,-34.624054,11.939613,30.401892
