head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-12.67333,161.690964,-3.590673,2.986133,82.03231,-11.717129,-32.706547,81.850967,-4.914194,-16.40823,104.842422,-4.98755,16.141081,12.50602,3.936154,-32.60976,11.592234,7.247705
-12.67333,161.678894,-3.535133,2.873619,82.031876,-11.760715,-32.733398,81.853325,-4.825496,-16.418753,104.795021,-4.915067,16.136271,12.50602,3.936154,-32.60976,11.592234,7.247705
-12.678222,161.661057,-3.481861,2.764891,82.031219,-11.8078,-32.803303,81.897331,-4.748089,-16.503912,104.81636,-4.858483,16.128601,12.50602,3.936154,-32.60976,11.592688,7.252282
-12.68335,161.639709,-3.427628,2.658077,82.030571,-11.8412,-32.825932,81.908745,-4.66738,-16.513691,104.78421,-4.784018,16.1264,12.506795,3.936154,-32.60976,11.596497,7.259014
-12.686076,161.622223,-3.373959,2.558462,82.029922,-11.867393,-32.858776,81.922539,-4.597906,-16.592045,104.799599,-4.73467,16.123894,12.499758,3.936417,-32.605724,11.590358,7.27024
-12.688447,161.610641,-3.317414,2.462554,82.029251,-11.873333,-32.891289,81.973305,-4.532412,-16.632292,104.800041,-4.67203,16.110834,12.507634,3.944381,-32.598907,11.58512,7.283414
-12.692247,161.594086,-3.257879,2.375477,82.028557,-11.871104,-32.916786,81.983185,-4.458612,-16.691778,104.800789,-4.614404,16.128052,12.490887,3.95848,-32.597912,11.579418,7.298344
-12.696434,161.587265,-3.205224,2.286839,82.027847,-11.851038,-32.969379,82.027733,-4.398114,-16.708666,104.778778,-4.549616,16.125368,12.493207,3.957793,-32.599293,11.590011,7.302498
-12.699512,161.584625,-3.148496,2.188676,82.043129,-11.823299,-32.988152,82.014404,-4.32758,-16.766575,104.78791,-4.498075,16.108452,12.513716,3.957061,-32.601345,11.604731,7.304214
-12.704042,161.582596,-3.096621,2.114542,82.041748,-11.782605,-33.045841,82.04808,-4.268884,-16.766582,104.762817,-4.43347,16.103626,12.520716,3.956158,-32.603619,11.609476,7.305782
-12.711169,161.57988,-3.046728,2.04244,82.03714,-11.72435,-33.096958,82.062355,-4.209002,-16.823296,104.780228,-4.382976,16.096815,12.523035,3.970681,-32.606556,11.611298,7.30711
-12.720195,161.57164,-2.996682,1.980395,82.010971,-11.659213,-33.113247,82.060165,-4.142038,-16.810833,104.756638,-4.320273,16.086245,12.524723,3.968545,-32.60957,11.613037,7.308291
-12.723783,161.569641,-2.947758,1.931536,81.991226,-11.585623,-33.131756,82.060928,-4.089523,-16.848171,104.761871,-4.272853,16.092997,12.526127,3.966032,-32.612549,11.614753,7.309416
