head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-10.593307,151.229446,37.80225,1.578569,81.095734,49.377026,-30.670631,83.176315,38.978874,-16.495859,97.401665,48.816193,11.761207,11.186087,66.146675,-40.57864,10.006237,48.323582
-10.584501,151.122147,37.75695,1.700347,80.99691,49.36314,-30.695456,82.927597,38.995182,-16.522158,97.237312,48.896866,11.761207,11.186087,66.162094,-40.556973,9.987899,48.335266
-10.512587,151.052612,37.718483,1.902965,80.939163,49.277317,-30.773779,82.671844,39.003132,-16.535292,97.129333,48.943016,11.761207,11.170799,66.165039,-40.528103,9.936898,48.369148
-10.433722,150.998642,37.676289,2.098734,80.883476,49.261478,-30.827463,82.442352,38.998081,-16.51046,97.067383,49.022671,11.775573,11.163442,66.170227,-40.503956,9.922702,48.385845
-10.333428,150.987778,37.640163,2.279785,80.814835,49.230682,-30.882109,82.24881,39.029514,-16.501797,97.074928,49.085358,11.774877,11.161829,66.183357,-40.480728,9.89144,48.414101
-10.250213,150.987442,37.600441,2.370737,80.780441,49.256477,-30.915701,82.108147,39.075581,-16.487585,97.123466,49.171646,11.774343,11.173429,66.19088,-40.460258,9.88041,48.423931
-10.144034,150.987396,37.571751,2.434893,80.691376,49.294651,-30.887999,82.013313,39.193676,-16.469025,97.178322,49.24398,11.79503,11.176761,66.201996,-40.452694,9.864597,48.450825
-10.030739,150.985931,37.558216,2.443494,80.633804,49.388329,-30.808266,81.889084,39.355011,-16.440306,97.196564,49.36829,11.810674,11.179333,66.216454,-40.433506,9.853978,48.468929
-9.914865,150.980881,37.555458,2.415018,80.559097,49.469242,-30.700211,81.806946,39.526588,-16.395761,97.208923,49.453568,11.833467,11.18174,66.239677,-40.441528,9.893869,48.487488
-9.802579,150.96875,37.553894,2.358833,80.514153,49.550091,-30.573769,81.71254,39.71563,-16.395315,97.18885,49.528423,11.829432,11.192746,66.229561,-40.418251,9.887205,48.518124
-9.695642,150.948441,37.557178,2.291886,80.444405,49.638798,-30.448492,81.64048,39.90163,-16.344925,97.117966,49.602196,11.828874,11.177848,66.239021,-40.462139,9.960627,48.504986
-9.592822,150.930298,37.572208,2.223447,80.37146,49.731449,-30.340559,81.556061,40.062134,-16.322134,97.018265,49.682247,11.827942,11.176956,66.247864,-40.435219,9.945341,48.522541
-9.489276,150.92598,37.581711,2.16898,80.278389,49.822941,-30.237787,81.478691,40.205769,-16.249561,96.89476,49.752277,11.827744,11.173935,66.254486,-40.477036,10.013459,48.494766
-9.373981,150.932693,37.584278,2.130523,80.149521,49.920544,-30.156269,81.382278,40.315994,-16.200392,96.743385,49.816929,11.834186,11.172351,66.255852,-40.455761,9.997985,48.501789
-9.25339,150.978592,37.586651,2.126946,80.027954,50.003986,-30.089746,81.272591,40.398674,-16.126841,96.582397,49.868172,11.83734,11.171124,66.255501,-40.518925,10.108616,48.454788
-9.13507,151.058289,37.589085,2.144277,79.907806,50.062798,-30.042599,81.172318,40.442303,-16.069904,96.417412,49.921879,11.824634,11.169688,66.254631,-40.505939,10.098655,48.460228
-9.003276,151.139389,37.604343,2.237315,79.810593,50.105602,-30.004837,81.065369,40.487156,-16.019577,96.256409,49.988537,11.830676,11.167475,66.253944,-40.563625,10.187463,48.444019
-8.881006,151.215164,37.641464,2.391691,79.717041,50.141876,-29.972923,80.949745,40.483467,-15.93177,96.081337,50.053043,11.837461,11.155488,66.258881,-40.561317,10.184061,48.447617
-8.763982,151.290695,37.68335,2.56652,79.674011,50.168236,-29.97238,80.877556,40.463661,-15.873759,95.938927,50.110603,11.846843,11.148273,66.266464,-40.642067,10.318202,48.381008
-8.655099,151.35495,37.728523,2.735168,79.667824,50.209835,-29.985815,80.83989,40.417053,-15.804889,95.790527,50.175652,11.85411,11.148129,66.239563,-40.643707,10.307476,48.376133
-8.555129,151.374603,37.799515,2.908559,79.690964,50.27652,-30.022715,80.8283,40.357483,-15.750233,95.653587,50.214947,11.867861,11.154668,66.23925,-40.699627,10.40292,48.342464
-8.462299,151.369736,37.883183,3.084325,79.75116,50.365536,-30.081402,80.807129,40.300201,-15.694848,95.511597,50.244576,11.877981,11.158854,66.238892,-40.695404,10.395141,48.340797
-8.389974,151.328766,37.971176,3.245142,79.836464,50.476925,-30.156614,80.82692,40.250984,-15.654983,95.39048,50.265701,11.889467,11.161025,66.238495,-40.735035,10.469917,48.300236
-8.314795,151.267105,38.060207,3.391068,79.949486,50.609406,-30.245031,80.834488,40.20557,-15.630102,95.295174,50.274441,11.898909,11.164349,66.238113,-40.729897,10.470785,48.30019
-8.256814,151.197769,38.139889,3.52424,80.05761,50.736969,-30.34376,80.861496,40.152702,-15.6071,95.232216,50.271954,11.916058,11.168658,66.237785,-40.750568,10.500322,48.273964
-8.204384,151.111237,38.206516,3.640782,80.194695,50.859505,-30.435427,80.891525,40.099522,-15.59254,95.205902,50.269257,11.907127,11.18838,66.239967,-40.741898,10.503115,48.272972
-8.161465,151.016083,38.266941,3.751439,80.321701,50.986225,-30.518984,80.940483,40.0681,-15.586536,95.189705,50.266941,11.893792,11.184296,66.241875,-40.758228,10.501061,48.272049
-8.109885,150.929947,38.302387,3.863797,80.452858,51.099396,-30.56002,80.973671,40.053936,-15.558641,95.195953,50.259846,11.895486,11.184717,66.241943,-40.757782,10.502351,48.271149
-8.066871,150.853577,38.328682,3.954414,80.576736,51.205193,-30.571005,81.019585,40.042847,-15.545238,95.200584,50.2528,11.908063,11.173577,66.239082,-40.772858,10.524319,48.244385
-8.027078,150.777313,38.356392,4.051633,80.684349,51.303024,-30.577951,81.028587,40.043301,-15.528391,95.20536,50.255157,11.917382,11.173855,66.234558,-40.766056,10.529316,48.249924
-7.998394,150.70816,38.391262,4.127341,80.800919,51.384048,-30.564182,81.046204,40.034946,-15.508724,95.209564,50.259159,11.901561,11.168401,66.251259,-40.761246,10.546045,48.255215
-7.980472,150.644119,38.417927,4.190041,80.908325,51.450153,-30.547354,81.022346,40.005821,-15.50539,95.215752,50.264858,11.899803,11.1752,66.229042,-40.75983,10.544602,48.257565
-7.97371,150.584381,38.444611,4.230338,80.99424,51.515377,-30.513878,80.975883,39.961945,-15.502469,95.194099,50.270611,11.89078,11.170221,66.233215,-40.758038,10.557786,48.23447
-7.982671,150.541168,38.474075,4.24003,81.057396,51.575794,-30.490076,80.90731,39.901848,-15.52562,95.179398,50.274216,11.888744,11.175449,66.240585,-40.748657,10.560636,48.239124
-7.985572,150.50531,38.510071,4.248181,81.082565,51.624878,-30.436701,80.85598,39.833931,-15.537305,95.16906,50.293701,11.888741,11.188722,66.24968,-40.766098,10.627151,48.21788
-7.99369,150.470551,38.546192,4.248147,81.062187,51.654217,-30.371521,80.80439,39.760853,-15.559439,95.15551,50.30827,11.891489,11.188764,66.252419,-40.755955,10.628999,48.225792
-8.004082,150.450699,38.581413,4.244097,81.007454,51.657452,-30.30925,80.735741,39.690632,-15.591764,95.147789,50.314865,11.895141,11.194753,66.240623,-40.797073,10.686314,48.196651
-8.023682,150.438187,38.610847,4.220662,80.946632,51.627052,-30.232212,80.675591,39.64534,-15.627536,95.139778,50.321774,11.881943,11.209137,66.232872,-40.795197,10.690627,48.197556
-8.046736,150.427368,38.646564,4.188301,80.8638,51.606632,-30.154394,80.617508,39.625294,-15.661188,95.123291,50.339912,11.869699,11.209054,66.234879,-40.81076,10.693583,48.214161
-8.069247,150.423981,38.690548,4.144905,80.767868,51.577469,-30.065544,80.528999,39.619526,-15.685204,95.088387,50.356541,11.878024,11.20877,66.236824,-40.814198,10.69278,48.214378
-8.099846,150.421707,38.716225,4.060866,80.676231,51.542004,-29.994253,80.462708,39.632652,-15.703333,95.055748,50.360554,11.875415,11.193123,66.239075,-40.862465,10.74712,48.165844
-8.135098,150.420074,38.741581,3.942056,80.611969,51.481831,-29.944458,80.391472,39.655586,-15.741879,95.031296,50.36533,11.868181,11.195637,66.210869,-40.86105,10.748341,48.169121
-8.170603,150.418777,38.76836,3.836642,80.549706,51.435463,-29.913124,80.335144,39.682465,-15.776221,94.997063,50.373035,11.856479,11.19709,66.206055,-40.897675,10.766528,48.166733
