head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-40.271889,160.136063,19.04896,-37.651001,80.032555,34.235306,-44.031048,81.474983,-4.483205,-40.521084,103.690147,15.230971,-50.012005,11.884583,38.303406,-55.854942,11.610258,-2.780896
-40.194416,160.072281,18.872866,-37.03392,80.463249,34.450375,-43.90099,81.290459,-4.755022,-40.44508,103.681808,15.109156,-49.997486,11.884583,38.294353,-55.825333,11.628638,-2.756056
-40.126072,160.026917,18.713717,-36.96212,80.484314,34.572937,-43.833786,81.080368,-4.979727,-40.30481,103.730553,15.039989,-49.990597,11.872157,38.314724,-55.835987,11.60605,-2.7544
-40.065361,159.983963,18.558363,-36.833141,80.544617,34.681824,-43.8368,80.85701,-5.150069,-40.234497,103.717018,14.935158,-49.970192,11.864005,38.307247,-55.816753,11.597635,-2.737155
-39.997776,159.959396,18.424252,-36.791996,80.544777,34.789474,-43.86441,80.626549,-5.265982,-40.116711,103.736748,14.855804,-49.962917,11.845416,38.334404,-55.829823,11.570796,-2.745355
-39.930336,159.930389,18.29414,-36.744606,80.535019,34.855846,-43.935158,80.383644,-5.363719,-40.061771,103.695526,14.744869,-49.95525,11.837142,38.337788,-55.774136,11.605213,-2.71243
-39.855473,159.914642,18.187534,-36.738888,80.51149,34.887154,-44.028965,80.163452,-5.389066,-39.9561,103.70697,14.67528,-49.949299,11.813455,38.363441,-55.752647,11.611691,-2.706252
-39.784107,159.899109,18.080919,-36.718998,80.524124,34.889973,-44.119732,79.976204,-5.403448,-39.922295,103.676521,14.579927,-49.926014,11.809672,38.350601,-55.720924,11.630589,-2.68319
-39.69416,159.884018,17.99367,-36.70649,80.512703,34.848118,-44.207367,79.824928,-5.362127,-39.792503,103.709686,14.541935,-49.920994,11.795825,38.377502,-55.710285,11.627394,-2.694396
-39.603016,159.852814,17.916243,-36.66851,80.52536,34.807632,-44.278824,79.710342,-5.334273,-39.706844,103.68792,14.484268,-49.896641,11.759611,38.37138,-55.676128,11.623777,-2.681465
-39.507381,159.821716,17.857555,-36.634758,80.520981,34.758965,-44.33707,79.61499,-5.284084,-39.639168,103.678207,14.438855,-49.913216,11.753245,38.387413,-55.677891,11.603472,-2.684588
-39.424961,159.777054,17.802876,-36.588852,80.563393,34.706249,-44.406601,79.573555,-5.276872,-39.610806,103.6651,14.382769,-49.903534,11.750773,38.370342,-55.679119,11.623013,-2.675501
