head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
4.036343,159.872223,20.510942,10.973549,104.324387,6.554639,-14.370036,106.305145,7.449287,1.60265,100.350952,24.597204,21.918196,10.558295,32.448421,-11.513305,11.930454,34.272945
4.198885,159.89978,20.414047,11.387147,102.860413,6.774031,-14.297759,105.093147,7.610225,1.69288,100.316742,24.67964,21.940203,10.573132,32.420742,-11.516932,11.955279,34.259449
4.308956,159.922409,20.324562,11.836171,101.460571,7.04375,-14.196686,103.930367,7.971242,1.771594,100.249069,24.68313,21.918951,10.580553,32.392296,-11.545712,11.96502,34.253944
4.429911,159.923233,20.231543,12.319613,100.084717,7.418652,-14.168387,102.869255,8.328415,1.74616,100.228363,24.673679,21.922953,10.597175,32.390907,-11.553245,11.965953,34.280891
4.538383,159.901154,20.156849,12.756474,98.644371,7.784389,-14.159768,101.84655,8.768975,1.781285,100.155762,24.66699,21.904406,10.602596,32.379204,-11.550128,11.966048,34.269829
4.632427,159.861069,20.057322,13.169775,97.156181,8.17731,-14.268945,100.935448,9.123379,1.422755,100.349846,24.315796,21.930624,10.59255,32.330769,-11.55781,11.95032,34.229897
4.71147,159.825821,19.99461,13.608351,95.687057,8.571877,-14.212739,100.021042,9.565624,1.426177,100.308754,24.294668,21.919159,10.575767,32.351215,-11.551858,11.932872,34.240829
4.776436,159.793732,19.931051,13.967743,94.267311,9.064429,-14.152591,99.314049,9.96011,1.323173,100.384338,24.141785,21.898943,10.57589,32.365093,-11.566903,11.937357,34.280514
4.814307,159.777084,19.854433,14.294715,93.111855,9.619504,-13.908706,98.7257,10.402457,1.304669,100.349533,24.11953,21.825485,10.622956,32.353016,-11.604343,11.974517,34.252991
4.846918,159.756607,19.777521,14.680464,92.097969,10.228019,-13.61983,98.379318,10.739312,1.288133,100.281776,24.152428,21.869459,10.634378,32.298801,-11.602706,11.981869,34.210506
4.881065,159.733719,19.726028,14.970765,91.130432,10.882747,-13.287463,98.142822,11.057817,1.25585,100.234253,24.146957,21.899828,10.580467,32.355869,-11.563353,11.904667,34.240208
4.865839,159.734741,19.657633,15.194019,90.328491,11.514119,-13.026937,98.105553,11.214427,1.171773,100.212685,24.071659,21.883404,10.574003,32.384937,-11.585572,11.892658,34.281559
4.828109,159.76001,19.547001,15.34804,89.747597,12.043126,-12.816105,98.138199,11.306753,1.148596,100.19162,24.067869,21.820448,10.635395,32.339119,-11.612553,11.921405,34.240025
4.80152,159.779922,19.461596,15.616932,89.267258,12.464119,-12.786018,98.351105,11.206939,1.175663,100.163445,24.019842,21.814562,10.667928,32.329823,-11.599613,11.94091,34.217274
4.793635,159.776367,19.393593,15.940374,88.824226,12.876568,-12.736074,98.620079,11.067356,1.187479,100.161209,24.01582,21.909288,10.611534,32.347244,-11.542492,11.866117,34.250835
4.760856,159.797424,19.32432,16.235725,88.54348,13.207422,-12.819329,99.039604,10.792481,1.120607,100.200745,23.967928,21.903118,10.631733,32.366699,-11.551522,11.872874,34.320393
4.699958,159.832367,19.241484,16.490643,88.317268,13.490237,-12.689692,99.494576,10.513181,1.151129,100.177971,23.99276,21.820127,10.727575,32.305706,-11.585008,11.911469,34.2952
4.684594,159.853439,19.169579,16.815905,88.136414,13.78642,-12.572212,100.138359,10.066544,1.08699,100.177773,24.067919,21.82514,10.808051,32.276367,-11.569167,11.900341,34.266376
4.721016,159.847443,19.124905,17.160103,87.902809,14.129052,-12.205001,100.800652,9.686419,1.144448,100.092667,24.183125,21.86857,10.832701,32.322262,-11.514441,11.804584,34.310589
4.739975,159.87764,19.061916,17.449598,87.724693,14.454653,-11.840176,101.668961,9.102032,1.09347,100.029213,24.243141,21.813095,10.909565,32.32048,-11.504734,11.759797,34.33559
