head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-5.216348,160.909973,26.157415,15.040392,84.437668,9.542454,-26.217974,80.803391,24.93257,-6.522548,94.692673,27.174706,17.92205,10.600281,34.077652,-23.726892,11.641908,37.489693
-5.179744,160.907486,26.126356,14.712326,84.698601,9.208551,-26.168045,80.780739,24.988623,-6.535855,94.730858,27.121744,17.92205,10.612101,34.077652,-23.726892,11.66263,37.486801
-5.129249,160.902756,26.103777,14.373915,84.936493,8.911652,-26.149849,80.803459,25.014078,-6.469934,94.69809,27.148962,17.92205,10.616412,34.077652,-23.73044,11.675838,37.479237
-5.096519,160.896057,26.076706,14.043324,85.150269,8.652649,-26.150822,80.80442,25.043203,-6.450153,94.697906,27.13315,17.919252,10.615075,34.077652,-23.743767,11.69051,37.46769
-5.058146,160.886307,26.05261,13.722895,85.316376,8.458591,-26.16461,80.825394,25.048098,-6.428033,94.679634,27.122927,17.935402,10.613927,34.023514,-23.748175,11.692597,37.464371
-5.026293,160.88092,26.034512,13.433595,85.436829,8.30545,-26.169182,80.808113,25.093302,-6.443854,94.701065,27.082045,17.935658,10.613098,34.045494,-23.750624,11.695592,37.461468
-4.992254,160.879639,26.016748,13.159033,85.521217,8.199983,-26.198803,80.836678,25.10013,-6.382068,94.663612,27.107306,17.91824,10.612338,34.069374,-23.753088,11.698563,37.458977
-4.972696,160.878525,25.99402,12.924586,85.564171,8.121258,-26.232409,80.844643,25.114367,-6.403059,94.688538,27.066792,17.907076,10.611627,34.077755,-23.755686,11.701474,37.456699
-4.948087,160.877548,25.966288,12.704728,85.57856,8.075459,-26.26812,80.856445,25.125877,-6.372674,94.654724,27.071714,17.900215,10.610943,34.078602,-23.766832,11.707016,37.453335
-4.929514,160.87674,25.94326,12.533864,85.550537,8.046301,-26.298424,80.850662,25.155905,-6.380445,94.666138,27.038578,17.899519,10.610271,34.078773,-23.767254,11.693456,37.46582
-4.906939,160.876053,25.920914,12.384721,85.49926,8.047565,-26.317022,80.882256,25.170147,-6.365594,94.657028,27.025091,17.89879,10.609591,34.07864,-23.793177,11.685639,37.529884
-4.894433,160.875519,25.895639,12.271867,85.403442,8.052497,-26.346655,80.892525,25.190948,-6.397437,94.68985,26.965189,17.891115,10.608885,34.078579,-23.792009,11.67265,37.530506
-4.874443,160.875137,25.860161,12.176602,85.297226,8.081677,-26.379519,80.914482,25.210304,-6.367744,94.654938,26.959333,17.902746,10.608413,34.056015,-23.790678,11.657787,37.5312
-4.845172,160.874893,25.83736,12.103213,85.164803,8.111438,-26.401331,80.903694,25.250221,-6.388199,94.678734,26.897259,17.911444,10.593335,34.067562,-23.789255,11.642951,37.52869
-4.815179,160.874786,25.804369,12.015319,85.045967,8.177476,-26.431892,80.910843,25.280464,-6.336909,94.651604,26.900576,17.916967,10.592114,34.062511,-23.789354,11.633517,37.526463
-4.792728,160.876465,25.767015,11.910698,84.923485,8.226513,-26.453573,80.885056,25.340033,-6.319222,94.651474,26.8696,17.902451,10.609408,34.05788,-23.805721,11.648395,37.523811
-4.748058,160.882645,25.730814,11.801497,84.80011,8.310931,-26.484045,80.887238,25.377449,-6.301229,94.659592,26.837467,17.898188,10.618792,34.056328,-23.809383,11.647654,37.522972
-4.711233,160.88829,25.689741,11.684371,84.684013,8.392843,-26.518267,80.890892,25.406515,-6.299717,94.684227,26.787931,17.880604,10.624654,34.055038,-23.835331,11.660364,37.536915
-4.652867,160.893646,25.650276,11.564464,84.592926,8.490932,-26.532679,80.875809,25.474684,-6.226797,94.664322,26.79015,17.883419,10.648095,34.053928,-23.83296,11.680357,37.524803
-4.588545,160.899063,25.599173,11.444161,84.505783,8.576887,-26.521719,80.834946,25.546598,-6.219582,94.703751,26.721788,17.873873,10.661935,34.05291,-23.837091,11.685272,37.539097
-4.508515,160.905884,25.540037,11.320621,84.447929,8.670677,-26.52714,80.826935,25.594572,-6.12151,94.66938,26.722944,17.871643,10.677975,34.051369,-23.830772,11.696439,37.500023
-4.410524,160.916016,25.47439,11.210062,84.398735,8.745758,-26.532207,80.81144,25.636381,-6.054153,94.685081,26.683603,17.869577,10.687515,34.065155,-23.845139,11.687983,37.534603
-4.297558,160.931427,25.403662,11.091039,84.378357,8.810787,-26.517105,80.760773,25.711329,-5.929121,94.666611,26.680819,17.863956,10.704557,34.064945,-23.847757,11.700342,37.547215
-4.161761,160.945511,25.309277,10.983868,84.379723,8.85751,-26.506453,80.689392,25.773207,-5.81209,94.677628,26.653708,17.851858,10.727523,34.076656,-23.860594,11.704644,37.571789
-4.002155,160.95842,25.214783,10.868125,84.410561,8.907426,-26.490145,80.645897,25.815861,-5.678027,94.678787,26.625813,17.832708,10.746749,34.076046,-23.860861,11.725556,37.578682
-3.812373,160.964752,25.100412,10.771736,84.437042,8.928607,-26.459906,80.635216,25.82267,-5.561939,94.726212,26.562424,17.818075,10.757322,34.091892,-23.885828,11.719517,37.621788
-3.593095,160.969818,24.971109,10.667643,84.499428,8.951305,-26.383646,80.635101,25.836184,-5.300502,94.671043,26.5933,17.794754,10.76934,34.094517,-23.89295,11.72714,37.642853
-3.341121,160.969803,24.821436,10.594697,84.546234,8.942448,-26.315138,80.625427,25.820395,-5.108051,94.694092,26.541544,17.772491,10.785106,34.097717,-23.894836,11.728616,37.660263
-3.057067,160.96553,24.6549,10.530718,84.610542,8.92911,-26.225489,80.619316,25.784925,-4.833144,94.653992,26.540779,17.749172,10.786122,34.101189,-23.895594,11.730433,37.685696
-2.739193,160.957504,24.471863,10.498287,84.656563,8.901429,-26.121969,80.610504,25.734152,-4.618309,94.682068,26.477083,17.723122,10.784787,34.10527,-23.898237,11.715093,37.714443
-2.390084,160.939026,24.264349,10.486894,84.694298,8.873763,-25.998396,80.591301,25.671423,-4.311348,94.638725,26.462584,17.707357,10.782947,34.109917,-23.909014,11.717878,37.691704
-2.006016,160.918243,24.044827,10.505845,84.694206,8.839184,-25.837523,80.55629,25.592152,-4.06759,94.670418,26.375101,17.691448,10.780117,34.113323,-23.911325,11.725044,37.693813
-1.582455,160.886673,23.801588,10.553288,84.684723,8.812637,-25.695742,80.587189,25.43705,-3.737466,94.634796,26.344517,17.686153,10.777536,34.115791,-23.912952,11.735071,37.67384
-1.138087,160.850189,23.544884,10.616639,84.642029,8.798981,-25.537577,80.571159,25.28154,-3.427486,94.63269,26.276377,17.654348,10.774856,34.119175,-23.928579,11.740316,37.668617
-0.646575,160.8069,23.259741,10.695553,84.564697,8.797979,-25.417912,80.618637,25.052265,-3.075819,94.629288,26.224195,17.6553,10.768631,34.114719,-23.892721,11.775534,37.627846
-0.141475,160.750854,22.957558,10.808346,84.434448,8.830312,-25.269245,80.613968,24.837797,-2.779158,94.678436,26.102888,17.642088,10.750127,34.125637,-23.895048,11.760735,37.62833
0.392958,160.688766,22.627401,10.932848,84.261894,8.893365,-25.130465,80.641869,24.551367,-2.406339,94.668999,26.057943,17.637096,10.733421,34.124859,-23.87088,11.761617,37.58247
0.932087,160.624725,22.274374,11.072533,84.037399,8.986382,-24.952232,80.665367,24.264633,-2.1126,94.731995,25.945311,17.608778,10.726285,34.123516,-23.874577,11.76258,37.565235
1.497494,160.54068,21.893278,11.244545,83.74144,9.122857,-24.770185,80.774788,23.888041,-1.789933,94.755562,25.886562,17.61714,10.701087,34.073498,-23.852083,11.764227,37.487713
2.070908,160.438751,21.510263,11.440814,83.367233,9.307277,-24.558243,80.892906,23.493114,-1.536162,94.83503,25.769007,17.605288,10.666288,34.095058,-23.84527,11.738673,37.452377
2.648106,160.322418,21.09881,11.671406,82.922012,9.520701,-24.360531,81.105072,23.026436,-1.210544,94.820915,25.770754,17.577518,10.637217,34.08382,-23.828432,11.751421,37.36998
3.206977,160.192078,20.688059,11.916826,82.397926,9.773754,-24.175203,81.267159,22.536263,-0.975722,94.833244,25.706875,17.559053,10.602856,34.104389,-23.828375,11.752235,37.269222
3.7505,160.031387,20.247921,12.188454,81.791153,10.060108,-23.997789,81.448639,21.991074,-0.697994,94.740845,25.755054,17.532232,10.570215,34.070145,-23.80969,11.764311,37.088997
4.293714,159.865448,19.81967,12.465404,81.142693,10.373436,-23.816635,81.629051,21.423964,-0.557156,94.676315,25.734268,17.529518,10.527509,34.104664,-23.809984,11.78098,36.90815
4.824434,159.700073,19.353388,12.785859,80.436798,10.710512,-23.64362,81.847794,20.776466,-0.348896,94.516365,25.837946,17.470167,10.514296,34.145016,-23.786798,11.859131,36.644463
5.313629,159.534332,18.890867,13.090056,79.69252,11.100154,-23.477909,82.114265,20.063854,-0.261737,94.386269,25.861588,17.453348,10.490757,34.148651,-23.761271,11.94302,36.40815
5.763479,159.355392,18.391245,13.427517,78.915977,11.503683,-23.278372,82.335037,19.38851,-0.119028,94.21402,25.947392,17.391809,10.470562,34.16082,-23.678711,12.077446,36.108932
6.185794,159.179062,17.895908,13.753569,78.149734,11.964128,-23.098244,82.566879,18.665442,-0.061325,94.120682,25.940067,17.385271,10.439155,34.159409,-23.531176,12.274552,35.757225
6.562393,158.995987,17.374233,14.130401,77.404755,12.399269,-22.912016,82.81472,17.923742,0.067143,94.006584,25.960197,17.345366,10.434459,34.154617,-23.35383,12.545506,35.283955
6.899055,158.815628,16.854313,14.472927,76.685837,12.861758,-22.727219,83.037849,17.170891,0.084359,94.008629,25.869301,17.317972,10.429285,34.143101,-23.106554,12.818387,34.584564
7.189023,158.629272,16.311918,14.856115,75.981819,13.289605,-22.540695,83.245262,16.407473,0.170721,93.951584,25.785404,17.265968,10.41392,34.135796,-22.709265,12.99082,33.610836
7.428444,158.450989,15.762042,15.212768,75.317314,13.720032,-22.383106,83.496094,15.600104,0.16746,93.983154,25.627256,17.245617,10.418391,34.117485,-22.321348,13.144517,32.348843
7.618829,158.267975,15.206017,15.607929,74.682373,14.13216,-22.162237,83.691956,14.844859,0.162565,93.970741,25.471565,17.216276,10.428499,34.110786,-22.011526,13.2501,30.942543
7.775942,158.085159,14.655652,16.006699,74.062889,14.531797,-22.016306,83.954391,14.009421,0.075049,93.988075,25.269272,17.203993,10.411306,34.120453,-21.829086,13.286808,29.363758
7.875581,157.910477,14.081434,16.415655,73.482971,14.900776,-21.827324,84.171104,13.234392,0.027068,93.911522,25.111979,17.171488,10.404184,34.106544,-21.710541,13.403152,27.61482
7.921553,157.747513,13.510734,16.788708,72.925728,15.264472,-21.657948,84.371529,12.438545,-0.138483,93.871223,24.871349,17.141668,10.389235,34.119442,-21.771519,13.466087,25.82346
7.906654,157.578842,12.921314,17.160934,72.406387,15.594831,-21.465717,84.551781,11.640022,-0.26443,93.769577,24.6695,17.128075,10.379087,34.084496,-21.920263,13.556624,23.98945
7.8433,157.425812,12.319942,17.467505,71.922249,15.924718,-21.26025,84.734459,10.808907,-0.456586,93.687469,24.390806,17.099054,10.378472,34.084553,-22.119877,13.650291,22.074564
7.728952,157.274292,11.707764,17.76483,71.459557,16.247931,-21.014009,84.894501,9.994439,-0.606119,93.595291,24.108198,17.070604,10.378563,34.074184,-22.395752,13.765821,20.151846
