head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
8.567608,162.792603,-11.464763,28.153366,77.919052,-10.836619,-17.836988,80.822548,-8.278018,3.971565,95.84446,-9.023249,24.874365,8.338857,5.306482,-21.027231,12.281132,7.264638
8.580775,162.811371,-11.444781,28.168783,77.911247,-10.836619,-17.853432,80.822922,-8.262421,3.978174,95.874458,-9.014926,24.874365,8.338857,5.305134,-21.054926,12.32141,7.251468
8.590487,162.834457,-11.42347,28.262175,77.891731,-10.78962,-17.912373,80.843254,-8.216381,4.016881,95.857582,-8.975849,24.876623,8.338857,5.302968,-21.026049,12.244802,7.273764
8.615991,162.849716,-11.400266,28.415693,77.868393,-10.722713,-18.005821,80.860138,-8.167975,4.032371,95.879539,-8.9484,24.880766,8.338857,5.301189,-21.070204,12.322792,7.233152
8.630785,162.868042,-11.387564,28.617884,77.832893,-10.610353,-18.140701,80.882965,-8.107118,4.082358,95.881004,-8.891634,24.883598,8.338857,5.299927,-21.041594,12.285794,7.250834
8.643911,162.875397,-11.384544,28.833513,77.797371,-10.485409,-18.297266,80.891907,-8.039461,4.087811,95.901047,-8.841702,24.883566,8.338857,5.298763,-21.0704,12.331484,7.23557
8.650712,162.879288,-11.382692,29.058727,77.757507,-10.318756,-18.444592,80.895073,-7.964376,4.129963,95.890541,-8.768237,24.882374,8.338857,5.297672,-21.037231,12.268742,7.266017
8.671728,162.878052,-11.400368,29.294226,77.723946,-10.142901,-18.597933,80.891113,-7.857679,4.124095,95.916901,-8.716604,24.880545,8.338857,5.296633,-21.058153,12.309876,7.245639
8.679873,162.874054,-11.41102,29.546135,77.696884,-9.914248,-18.751293,80.8666,-7.723432,4.166633,95.904694,-8.630474,24.878464,8.335773,5.295627,-21.012907,12.236709,7.284982
8.68218,162.867752,-11.429366,29.815762,77.643562,-9.654204,-18.894205,80.827774,-7.529627,4.168785,95.929703,-8.577429,24.876513,8.332121,5.294634,-21.045231,12.305521,7.256042
8.684332,162.854462,-11.446159,30.062502,77.567085,-9.333917,-19.00654,80.774437,-7.302018,4.202756,95.925507,-8.489907,24.856236,8.339742,5.293635,-21.013618,12.228621,7.286419
8.686419,162.840134,-11.47147,30.303787,77.48246,-9.017076,-19.077673,80.735435,-7.06538,4.182672,95.970436,-8.42768,24.852247,8.344723,5.292609,-21.038731,12.281348,7.268469
8.688533,162.818542,-11.497518,30.515558,77.403358,-8.679164,-19.100025,80.704277,-6.807535,4.240928,95.95591,-8.311602,24.86661,8.347986,5.281842,-21.006903,12.219483,7.303732
8.692166,162.810349,-11.529914,30.664537,77.346291,-8.342867,-19.063448,80.677681,-6.537802,4.248157,95.989716,-8.225043,24.877968,8.345569,5.297652,-21.033686,12.280901,7.2781
8.69629,162.813766,-11.570324,30.75437,77.299736,-8.01274,-19.019539,80.646835,-6.269474,4.338132,95.966728,-8.073827,24.84889,8.371528,5.300379,-20.980562,12.222748,7.319674
8.703643,162.822189,-11.624604,30.794683,77.26416,-7.704892,-18.939995,80.601158,-6.008209,4.350818,96.009705,-7.957032,24.849169,8.371745,5.302351,-21.012323,12.295694,7.287643
8.720201,162.839523,-11.678517,30.783432,77.236275,-7.434305,-18.813114,80.542526,-5.774907,4.4346,96.004326,-7.780123,24.849396,8.371923,5.304434,-20.967312,12.229057,7.319028
8.728744,162.865341,-11.726866,30.7145,77.231781,-7.17883,-18.639843,80.498032,-5.571981,4.459044,96.050056,-7.623695,24.84963,8.371951,5.307749,-21.002041,12.312127,7.270773
8.739021,162.8992,-11.78552,30.61017,77.247093,-6.986925,-18.438097,80.47271,-5.416598,4.532887,96.050522,-7.40309,24.83741,8.371099,5.311047,-20.944733,12.22651,7.307913
8.749354,162.93924,-11.832807,30.475922,77.270912,-6.823569,-18.188848,80.453087,-5.29086,4.575227,96.069252,-7.16979,24.817255,8.376175,5.311485,-20.980093,12.294532,7.274857
8.768409,162.976303,-11.884627,30.352001,77.306458,-6.728783,-17.920273,80.4254,-5.193748,4.634851,96.052727,-6.903865,24.814735,8.375791,5.310777,-20.950949,12.224783,7.290759
8.778179,163.016968,-11.926739,30.186363,77.341232,-6.665111,-17.601067,80.369987,-5.121128,4.652702,96.062965,-6.639253,24.808701,8.375228,5.309575,-20.992327,12.297648,7.250169
