head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-18.518948,160.168427,47.865479,-9.673166,82.16748,44.129608,-35.021496,82.2631,49.699734,-22.196495,101.238739,50.114811,10.481894,10.73966,53.186047,-43.5457,10.613561,67.676888
-18.412926,160.179733,47.699142,-9.422464,82.191345,43.973625,-34.599766,82.362526,49.548893,-22.017344,101.231171,50.062885,10.486971,10.737835,53.186047,-43.5457,10.624772,67.672897
-18.306194,160.186462,47.537945,-9.162039,82.172173,43.812199,-34.159454,82.438034,49.427216,-21.872515,101.192863,50.02034,10.493502,10.719284,53.18737,-43.53331,10.606586,67.693756
-18.217485,160.190613,47.388248,-8.9575,82.169533,43.653019,-33.773949,82.532753,49.280972,-21.754261,101.162102,49.998844,10.497962,10.70935,53.18858,-43.543564,10.606229,67.696808
-18.156563,160.193771,47.226879,-8.781103,82.16893,43.452923,-33.368904,82.623909,49.154976,-21.660032,101.109787,49.983501,10.467667,10.731528,53.162151,-43.558811,10.637506,67.661736
-18.096659,160.190063,47.084549,-8.622739,82.172211,43.259174,-32.982765,82.747696,49.042713,-21.565866,101.065216,49.947941,10.463854,10.728436,53.162182,-43.560272,10.647097,67.647873
-18.0301,160.159485,46.951599,-8.459815,82.146004,43.03883,-32.559757,82.854988,48.966125,-21.496094,101.016174,49.933308,10.478152,10.712531,53.162251,-43.538769,10.622859,67.647919
-17.993605,160.138885,46.829613,-8.340191,82.119095,42.825371,-32.155762,82.951729,48.901554,-21.452892,100.975334,49.903168,10.469154,10.704541,53.163914,-43.555332,10.630664,67.662788
-17.979038,160.121811,46.703117,-8.256318,82.08213,42.592377,-31.756805,83.046127,48.870136,-21.404127,100.944839,49.884544,10.444072,10.715648,53.149967,-43.57032,10.648372,67.643265
-17.973034,160.09845,46.578823,-8.197871,82.050606,42.380512,-31.375723,83.164925,48.82386,-21.387835,100.920052,49.854263,10.433091,10.717517,53.151737,-43.583225,10.664243,67.647873
-17.956835,160.071213,46.459408,-8.161191,82.023026,42.177402,-31.040318,83.295662,48.813408,-21.367136,100.905159,49.850327,10.442131,10.719547,53.155155,-43.568703,10.647324,67.651581
-17.953444,160.064346,46.346146,-8.175641,82.018715,42.007969,-30.746458,83.45282,48.798309,-21.37652,100.892769,49.839622,10.441836,10.721559,53.162376,-43.55946,10.668569,67.669357
-17.964602,160.061127,46.230743,-8.224181,82.01413,41.835129,-30.510025,83.569626,48.787678,-21.38402,100.870895,49.855385,10.447038,10.723373,53.146568,-43.542175,10.653361,67.675362
-17.983013,160.059128,46.112144,-8.320616,82.028008,41.684162,-30.335522,83.697136,48.774002,-21.423311,100.843277,49.862446,10.44909,10.724429,53.152122,-43.544338,10.645757,67.680977
-18.015739,160.057571,46.002403,-8.436072,82.064842,41.543472,-30.226971,83.845078,48.724148,-21.44582,100.804382,49.895496,10.447783,10.724203,53.159081,-43.540371,10.639595,67.699387
-18.056826,160.056259,45.882286,-8.582442,82.123314,41.420963,-30.192297,83.988541,48.659855,-21.477863,100.773438,49.925636,10.445428,10.727985,53.167904,-43.530621,10.635531,67.702553
-18.104822,160.058655,45.761234,-8.751796,82.181717,41.316654,-30.235998,84.152054,48.54583,-21.499802,100.739738,49.968285,10.443026,10.731812,53.156399,-43.520298,10.629025,67.720528
-18.154915,160.060898,45.640732,-8.952624,82.267982,41.236439,-30.343706,84.341118,48.420296,-21.545172,100.705627,50.001335,10.431909,10.723957,53.157413,-43.53376,10.616292,67.729568
-18.224403,160.063141,45.518066,-9.168612,82.365929,41.16058,-30.471125,84.518356,48.275452,-21.575991,100.675308,50.044601,10.428164,10.723647,53.161102,-43.533695,10.612938,67.737091
-18.297489,160.065414,45.386551,-9.390469,82.46756,41.066113,-30.605671,84.688377,48.137131,-21.629827,100.647926,50.073589,10.426083,10.723245,53.170334,-43.533657,10.609048,67.741272
-18.376177,160.067734,45.255733,-9.597052,82.567223,40.918488,-30.756914,84.873619,47.985405,-21.671473,100.60434,50.123436,10.424096,10.722795,53.157967,-43.535297,10.603472,67.759125
-18.449808,160.072937,45.113159,-9.799326,82.703796,40.741173,-30.902126,85.0494,47.827801,-21.713755,100.548538,50.177799,10.422098,10.722348,53.157597,-43.520752,10.597198,67.747101
-18.541763,160.085327,44.97554,-9.995752,82.863152,40.543846,-31.08313,85.215942,47.67104,-21.766163,100.49054,50.234787,10.409401,10.721949,53.157036,-43.532436,10.600552,67.750771
-18.624231,160.103622,44.836597,-10.168599,83.034767,40.321556,-31.264059,85.353325,47.509033,-21.811356,100.423615,50.296497,10.40421,10.721643,53.154526,-43.530857,10.596217,67.748207
-18.711079,160.117111,44.699192,-10.324643,83.176147,40.096027,-31.481384,85.488274,47.347218,-21.876762,100.373009,50.352505,10.418007,10.721479,53.150784,-43.539192,10.587011,67.745941
-18.797117,160.131912,44.564125,-10.471766,83.314941,39.855042,-31.685083,85.56076,47.205292,-21.911444,100.306183,50.416298,10.421573,10.721504,53.149162,-43.560329,10.585516,67.739044
-18.891838,160.150681,44.433498,-10.609755,83.4534,39.633862,-31.929598,85.62635,47.056751,-21.97506,100.28495,50.459633,10.422318,10.721944,53.127377,-43.597153,10.587825,67.722878
-18.970392,160.167236,44.315144,-10.725863,83.583,39.408882,-32.130341,85.603836,46.944729,-22.011192,100.25824,50.504211,10.422834,10.729434,53.120388,-43.627186,10.598304,67.715965
-19.046642,160.189102,44.199436,-10.821343,83.704285,39.205498,-32.382305,85.593391,46.833221,-22.068207,100.256248,50.532982,10.423173,10.733063,53.098682,-43.659355,10.60078,67.700027
-19.11105,160.223465,44.090694,-10.895418,83.802452,39.023792,-32.597816,85.468536,46.769547,-22.067379,100.190041,50.591911,10.423379,10.734982,53.083481,-43.688133,10.592729,67.697174
-19.173208,160.266144,43.985012,-10.947755,83.877014,38.878933,-32.889236,85.382446,46.680935,-22.133801,100.187363,50.626549,10.423503,10.737231,53.068161,-43.71452,10.589231,67.689575
-19.227201,160.31311,43.884861,-10.981206,83.912003,38.763802,-33.148743,85.201279,46.640713,-22.147011,100.14476,50.704029,10.422106,10.739532,53.055832,-43.753166,10.586513,67.68148
-19.274651,160.36615,43.79108,-10.996428,83.917442,38.681892,-33.470142,85.075317,46.577576,-22.214474,100.131683,50.752098,10.418398,10.741892,53.035538,-43.777508,10.583128,67.674355
-19.305965,160.41922,43.710796,-10.992274,83.868195,38.622314,-33.746841,84.883408,46.570789,-22.183334,100.051987,50.849255,10.415136,10.758921,53.033424,-43.803154,10.571465,67.668869
-19.325516,160.463943,43.629978,-10.957093,83.81916,38.599487,-34.045116,84.741379,46.556255,-22.21699,100.028595,50.905296,10.411899,10.753486,53.031303,-43.825928,10.570035,67.66478
