head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
1.901889,158.885956,45.484013,3.407842,89.117722,37.193089,-24.909365,94.124619,48.237663,-0.500429,100.999153,48.667084,23.120695,11.372269,68.114105,-19.563139,9.62224,45.751534
2.217434,158.63356,45.686977,3.164719,89.116776,36.372868,-23.582891,92.843674,48.656208,-0.396256,100.987022,48.822166,23.125538,11.368734,68.112694,-19.673618,9.762557,45.694618
2.545094,158.352631,45.904526,2.927317,89.06411,35.526451,-22.304401,91.694054,49.01836,-0.371908,100.991379,48.89732,23.091108,11.341384,68.107979,-19.652958,9.690281,45.73497
2.925634,158.057983,46.08115,2.749243,88.978378,34.676399,-20.974104,90.577629,49.382309,-0.21446,100.904694,49.033558,23.073204,11.352379,68.110245,-19.738308,9.804017,45.709347
3.342262,157.745407,46.293434,2.639209,88.850349,33.869194,-19.715443,89.586082,49.678951,-0.108461,100.905914,49.100903,23.071562,11.376287,68.130554,-19.683441,9.734981,45.767056
3.775142,157.424652,46.462788,2.615557,88.707832,33.087925,-19.006645,88.755737,49.795551,0.0891,100.775879,49.236565,23.047894,11.378838,68.141457,-19.763092,9.849304,45.740337
4.218597,157.125458,46.661606,2.626334,88.576378,32.404408,-19.04286,88.236542,49.813137,0.224933,100.768105,49.30875,23.028381,11.38283,68.150368,-19.721016,9.771443,45.784138
4.64673,156.854614,46.816494,2.738323,88.465523,31.798765,-19.505484,88.007591,49.942219,0.428583,100.684814,49.426426,22.999268,11.386517,68.156754,-19.781185,9.87457,45.759892
5.086581,156.61853,46.987415,2.864782,88.36245,31.365742,-20.061941,87.746819,49.884277,0.554813,100.722672,49.476456,22.990273,11.38916,68.176826,-19.762396,9.824145,45.776497
5.475638,156.423813,47.115719,3.064512,88.266479,31.035631,-20.48592,87.480698,49.814938,0.7645,100.708145,49.579136,22.975576,11.391798,68.184349,-19.813757,9.915839,45.749931
5.866544,156.239517,47.260643,3.303352,88.130524,30.914194,-20.819466,87.21476,49.737934,0.856591,100.815933,49.594944,22.964613,11.394476,68.191925,-19.780352,9.843125,45.77351
6.240943,156.09201,47.38567,3.622578,87.902985,30.964563,-20.952841,86.925522,49.554024,1.04752,100.844254,49.660507,22.963879,11.388978,68.193802,-19.828871,9.937818,45.729866
6.608482,155.980911,47.517139,3.957924,87.615974,31.210304,-21.011629,86.710075,49.362839,1.098123,100.969032,49.637264,22.944979,11.401676,68.194641,-19.815786,9.884775,45.743805
6.923162,155.912323,47.631161,4.307083,87.222427,31.625227,-20.976351,86.626381,49.082077,1.25776,100.959137,49.687332,22.922319,11.406819,68.195381,-19.873259,9.97008,45.708752
7.224468,155.863678,47.743954,4.683223,86.77343,32.213089,-20.873772,86.634872,48.879704,1.301544,101.05172,49.668518,22.905666,11.399035,68.212608,-19.846159,9.926499,45.741913
7.495471,155.848724,47.862576,5.072948,86.351418,32.903782,-20.770504,86.686066,48.637646,1.404892,101.01815,49.686604,22.875837,11.426152,68.212418,-19.930237,10.03074,45.70816
7.720681,155.884323,47.955807,5.434068,86.057388,33.628849,-20.604765,86.737404,48.455929,1.429033,101.068993,49.664196,22.836868,11.446262,68.21212,-19.932362,9.975745,45.741993
7.899637,155.96817,48.060631,5.732533,85.862015,34.42099,-20.419193,86.798386,48.292103,1.515178,100.995941,49.67894,22.795916,11.466745,68.211868,-20.021669,10.067817,45.703968
8.051458,156.088882,48.123569,6.003496,85.772675,35.187721,-20.285305,86.921425,48.138054,1.526436,101.004051,49.660286,22.758917,11.466925,68.228622,-20.024761,9.987336,45.736958
8.174112,156.246017,48.205986,6.206342,85.820419,35.936787,-20.224539,87.255714,47.991371,1.616726,100.924347,49.690102,22.70878,11.499352,68.23027,-20.101465,10.04591,45.727779
8.261935,156.447769,48.237095,6.313102,86.065216,36.479332,-20.265591,87.826233,47.817841,1.633093,100.960648,49.687611,22.667225,11.541575,68.231789,-20.108154,9.964623,45.761063
8.273295,156.703125,48.281483,6.297342,86.606705,36.843037,-20.523151,88.544548,47.653278,1.766887,100.898224,49.731995,22.64835,11.56303,68.233246,-20.192289,10.038969,45.735168
8.277428,156.972092,48.297749,6.160529,87.466309,36.965199,-20.980217,89.447037,47.441154,1.781029,100.957359,49.726883,22.61657,11.58604,68.2519,-20.205708,9.973453,45.782997
8.222251,157.266281,48.329449,5.982645,88.571693,36.950916,-21.780188,90.604073,47.25708,1.992727,100.882034,49.811047,22.587828,11.616914,68.251465,-20.290245,10.036528,45.791477
8.13101,157.590775,48.338428,5.628096,89.984123,36.747181,-22.81551,91.967087,47.051624,2.077693,100.916977,49.818363,22.571598,11.63083,68.270035,-20.28644,9.973,45.851254
7.992206,157.918091,48.362053,5.211351,91.617821,36.426872,-24.054317,93.635185,46.958546,2.314787,100.838005,49.920353,22.535046,11.660206,68.285461,-20.346384,10.014973,45.866646
7.834925,158.246231,48.3606,4.708672,93.524979,36.034893,-25.501045,95.629669,46.94384,2.40668,100.881958,49.922897,22.540558,11.67651,68.308456,-20.366114,9.9685,45.908466
7.646693,158.56778,48.410782,4.162668,95.623871,35.65266,-26.926865,97.864288,47.148197,2.667387,100.799133,50.045616,22.496223,11.72302,68.327652,-20.406633,9.990126,45.921593
7.445559,158.871689,48.462574,3.599514,97.873238,35.299961,-28.378649,100.387161,47.489418,2.751428,100.870766,50.056339,22.507912,11.735536,68.355331,-20.400553,9.910927,45.959633
7.230811,159.15451,48.551041,3.093183,100.114258,35.04932,-29.732685,102.88131,48.134766,3.0259,100.803314,50.177277,22.470581,11.769383,68.369232,-20.445814,9.923507,45.963413
6.995223,159.400269,48.646603,2.645812,102.364487,34.87529,-31.17091,105.68219,48.870251,3.07245,100.917145,50.178974,22.466743,11.758644,68.380882,-20.463711,9.858633,45.976006
6.76586,159.630112,48.784653,2.24883,104.510246,34.849968,-32.293282,108.532661,50.036968,3.360258,100.869148,50.29755,22.487162,11.74045,68.382431,-20.523447,9.945998,45.927052
6.521603,159.827911,48.959076,2.001432,106.507462,34.94783,-33.510654,111.656601,51.315903,3.442507,100.956619,50.339764,22.533194,11.693368,68.409882,-20.514009,9.881557,45.920944
6.289361,160.035767,49.140511,1.902279,108.337036,35.110298,-34.300507,114.752518,52.953205,3.719836,100.899506,50.477554,22.555466,11.670886,68.404747,-20.571716,9.972195,45.855644
6.046439,160.246735,49.361549,1.934938,109.943504,35.34306,-34.957764,118.021416,54.639748,3.800471,100.969482,50.54562,22.584846,11.634253,68.415283,-20.553905,9.92409,45.804131
5.819323,160.458618,49.576836,2.08897,111.325775,35.590469,-35.043156,121.139198,56.589886,4.047756,100.885796,50.688301,22.594696,11.63003,68.413002,-20.631092,10.07806,45.662315
5.603724,160.663239,49.830177,2.397321,112.485649,35.854191,-35.110233,124.425156,58.434479,4.14306,100.913696,50.764515,22.630537,11.605586,68.414764,-20.560953,10.016941,45.568314
5.396181,160.83815,50.078266,2.814405,113.412613,36.13126,-34.588001,127.305733,60.386257,4.336241,100.810028,50.865459,22.669003,11.563955,68.41893,-20.520056,10.12013,45.403725
5.190482,161.011902,50.365704,3.364809,114.177582,36.456226,-34.145493,130.130692,61.981876,4.420874,100.765785,50.896233,22.73608,11.50607,68.442558,-20.417803,10.149555,45.244774
5.001655,161.17421,50.626343,4.013048,114.850311,36.777958,-33.289829,132.547073,63.563076,4.394315,100.782585,50.846779,22.79582,11.480524,68.435303,-20.307985,10.333712,45.020199
4.843153,161.347702,50.905296,4.787471,115.35466,37.113583,-32.752747,134.977982,64.686562,4.647027,100.541679,50.950401,22.883499,11.426779,68.469978,-20.08832,10.366226,44.861115
4.709498,161.511963,51.148335,5.585168,115.703529,37.3913,-31.757637,136.929352,65.988876,4.649727,100.512634,50.860149,22.961126,11.402328,68.46563,-19.943182,10.605868,44.630779
4.613206,161.690353,51.389324,6.461412,115.944397,37.643963,-31.136494,138.692062,66.751602,4.75076,100.464249,50.763332,23.025772,11.377191,68.475868,-19.740656,10.673908,44.334064
4.558948,161.865402,51.588829,7.340406,116.133736,37.934704,-30.602961,140.384247,67.612511,4.606633,100.583191,50.463951,23.085695,11.357286,68.456024,-19.69128,10.935472,43.680752
4.53664,162.05957,51.759895,8.21295,116.307999,38.266479,-30.112278,142.193512,68.198372,4.728882,100.575729,50.243073,23.12792,11.342565,68.445801,-19.521278,10.949113,42.944939
4.548742,162.26445,51.886887,9.082667,116.463127,38.669178,-29.721838,144.112503,68.742584,4.753797,100.625786,49.917553,23.163231,11.340377,68.441833,-19.32793,10.95196,42.215179
4.634493,162.479111,51.979626,9.855366,116.557724,39.043221,-29.300936,146.296539,69.129143,4.640828,100.683205,49.519012,23.209173,11.334311,68.439201,-18.967564,10.834482,41.609383
4.775815,162.682358,52.030769,10.535275,116.656075,39.435398,-28.969952,148.715134,69.42215,4.482515,100.769211,49.051403,23.243269,11.328244,68.437088,-18.840073,10.755368,41.305077
4.981636,162.907288,52.037811,11.123311,116.806648,39.811874,-28.548006,151.400345,69.621567,4.359356,100.780769,48.629993,23.274021,11.352081,68.414772,-18.910927,10.473511,41.526623
5.226633,163.151184,52.005226,11.615898,117.016861,40.249813,-27.863138,154.296097,69.924965,4.165934,100.831367,48.076466,23.280643,11.367313,68.411331,-19.483528,10.643384,41.505344
5.543922,163.424561,51.940552,12.021935,117.270287,40.70327,-26.846994,157.233704,70.397278,4.138265,100.742363,47.653675,23.304714,11.369629,68.405212,-19.838087,10.521347,41.535912
5.931324,163.735535,51.85297,12.368148,117.586441,41.228699,-25.399212,160.07811,71.006836,3.991639,100.744583,47.117588,23.28334,11.39524,68.393822,-19.914751,10.51895,41.434395
6.340891,164.09375,51.746933,12.618329,117.91124,41.669342,-23.72706,162.675262,71.968239,4.056726,100.636467,46.748581,23.301134,11.394198,68.374039,-19.846865,10.398834,41.40802
6.801299,164.495834,51.626049,12.771852,118.199425,42.069317,-21.7875,164.865738,72.975281,4.038697,100.644142,46.326351,23.292654,11.443813,68.357277,-19.86438,10.419986,41.443199
7.296035,164.903748,51.506062,12.845463,118.446335,42.414017,-19.966541,166.441101,74.133102,4.0795,100.702003,45.990074,23.340982,11.453783,68.365868,-19.819754,10.308743,41.411221
7.80278,165.295197,51.38678,12.922178,118.645744,42.750423,-18.264385,167.477203,75.116028,4.16552,100.773834,45.664101,23.359825,11.488686,68.358551,-19.891581,10.395801,41.414936
8.29074,165.642975,51.281101,12.902332,118.859009,43.09655,-16.888964,167.975174,75.840797,4.349945,100.870163,45.405014,23.418081,11.528169,68.357719,-19.847467,10.29897,41.376904
8.75613,165.93924,51.182037,12.914218,119.034348,43.381184,-15.717013,168.002258,76.404701,4.529683,101.027542,45.131367,23.476212,11.550423,68.357704,-19.856651,10.367475,41.264133
9.167971,166.137863,51.094719,12.916131,119.183685,43.63147,-14.896016,167.62941,76.592445,4.72748,101.160927,44.875988,23.530212,11.563735,68.367264,-19.817007,10.261669,41.236019
9.53736,166.275299,51.046196,12.961578,119.295479,43.914089,-14.44696,166.861923,76.535225,4.884742,101.339722,44.691494,23.75927,11.460066,68.322998,-19.853283,10.330746,41.122852
9.828904,166.322388,51.029469,12.993299,119.375755,44.207687,-14.663588,165.982025,75.915054,5.231619,101.361328,44.622337,23.820829,11.439657,68.344749,-19.806393,10.24213,41.115314
10.075796,166.322433,51.014774,13.072077,119.40139,44.468151,-15.389076,165.257339,74.622925,5.485914,101.37677,44.584003,23.862858,11.4379,68.331657,-19.845432,10.296219,41.009476
10.238012,166.262695,50.994682,13.141088,119.367935,44.808033,-16.381519,165.057358,72.438545,5.720036,101.355957,44.621365,23.880037,11.43219,68.37603,-19.800756,10.224719,40.992928
10.348092,166.187164,50.975624,13.220874,119.31778,45.214428,-17.562544,165.621704,69.419563,5.880919,101.292534,44.692608,23.907425,11.426293,68.382355,-19.788111,10.25579,40.914288
10.408819,166.068192,50.968735,13.286885,119.21962,45.837112,-18.635462,166.880402,65.458862,5.960484,101.309921,44.847267,23.901787,11.421665,68.397827,-19.717882,10.172209,40.885635
10.442714,165.918549,50.931915,13.382104,119.122635,46.431694,-19.411255,169.372696,60.37978,5.992419,101.273163,45.004467,23.887491,11.41569,68.408585,-19.726233,10.238161,40.807301
10.432178,165.739563,50.879005,13.490295,118.951286,47.057526,-19.828785,173.154953,53.620686,5.965739,101.322159,45.223881,23.812012,11.416735,68.419579,-19.639236,10.153042,40.773445
10.381176,165.543854,50.803478,13.659709,118.764183,47.646564,-19.82353,178.257217,44.707779,5.77693,101.430199,45.280582,23.792738,11.389522,68.423256,-19.637877,10.21042,40.688061
10.316792,165.306564,50.724697,13.948078,118.60537,48.224659,-18.66716,183.301941,32.544022,5.720028,101.359222,45.423542,23.716169,11.379544,68.405777,-20.46303,11.48731,40.110111
10.246161,165.002396,50.625755,14.308913,118.461075,48.898823,-16.567663,185.934219,18.02862,5.559428,101.387596,45.419514,23.688753,11.360258,68.39901,-20.497101,11.50826,40.073715
10.190557,164.656906,50.522156,14.7186,118.348755,49.779648,-12.341004,183.873688,3.202367,5.581921,101.319252,45.513535,23.648376,11.351116,68.385696,-20.589811,11.576815,40.022579
10.109263,164.295013,50.407322,15.159692,118.253654,50.71096,-7.680873,178.72731,-10.66401,5.513987,101.373344,45.540638,23.644043,11.338902,68.384621,-20.365164,11.282514,40.061787
10.06374,163.933792,50.292652,15.703218,118.074242,51.676147,-3.717624,165.01738,-21.363598,5.427928,101.474236,45.618401,23.647762,11.329652,68.383301,-20.417086,11.276895,40.081718
10.019293,163.663345,50.167953,16.351511,117.754211,52.490746,-0.335919,147.996674,-23.30934,5.21821,101.679184,45.562481,23.660061,11.328232,68.372009,-20.411921,11.264031,40.132389
10.048135,163.526276,49.990765,17.018211,117.306831,53.209415,-7.455249,134.890671,-18.342028,5.29741,101.737793,45.622677,23.660538,11.327641,68.353188,-20.368929,11.209904,40.199776
10.08547,163.456161,49.76907,17.587088,116.784721,53.986809,-1.686532,129.491882,-14.261092,5.238211,101.893135,45.524319,23.659466,11.327456,68.314064,-20.376015,11.172846,40.23011
10.195543,163.391983,49.546379,18.037361,116.334023,54.8451,0.258823,124.396484,-13.442705,5.394984,101.863762,45.557243,23.602074,11.335482,68.274017,-20.377546,11.168363,40.254673
10.304525,163.236877,49.324512,18.206562,115.986038,55.757595,2.061815,118.948502,-11.274788,5.482421,101.878914,45.504932,23.560299,11.355339,68.262718,-20.4063,11.153493,40.277367
10.441306,163.033173,49.123592,18.356098,115.798462,56.753464,5.523545,113.722107,-9.536147,5.721426,101.751152,45.584557,23.453259,11.375447,68.285561,-20.472687,11.157069,40.279457
10.562972,162.781555,48.928722,18.301786,115.726028,57.621147,9.276116,108.522789,-7.279346,5.861969,101.753082,45.60894,23.492727,11.348752,68.353645,-20.519827,11.160367,40.293331
10.691155,162.54068,48.72831,18.586336,115.637657,58.411812,13.221575,103.824501,-4.253664,6.120945,101.606277,45.845661,23.493824,11.423374,68.435898,-20.498636,11.092702,40.291252
10.80237,162.344818,48.517681,19.034676,115.537033,59.149246,17.339859,99.27626,-0.408136,6.243442,101.565025,46.014423,23.297049,11.604804,68.529701,-20.474056,11.078733,40.336124
10.863949,162.202576,48.265545,19.594578,115.593246,59.842571,20.478407,95.093239,3.463327,6.414507,101.404541,46.344009,23.286581,11.643148,68.602242,-20.479874,11.062111,40.352486
10.864758,162.096664,47.946915,20.122715,115.612404,60.487244,23.443298,91.444946,8.201672,6.554489,101.224899,46.562122,23.20694,11.737142,68.689941,-20.551481,11.095201,40.387218
10.800677,162.02066,47.552647,20.537901,115.79435,61.053463,25.681221,88.250183,12.992879,6.538538,101.143982,46.756512,23.228451,11.756367,68.787392,-20.575438,11.054802,40.42873
10.688436,161.970184,47.082928,20.701513,116.011703,61.456257,27.499857,85.324852,18.032812,6.524846,101.011131,46.920227,23.164627,11.825727,68.860146,-20.573902,11.051226,40.4571
10.51635,161.906219,46.530685,20.862494,116.194687,61.65448,28.62723,82.764275,23.017994,6.490943,100.858742,47.129189,23.175085,11.862297,68.931381,-20.56399,11.0507,40.476051
10.298113,161.85054,45.895924,20.782677,116.46759,61.73114,29.222946,80.581802,28.019726,6.345577,100.808929,47.273804,23.164751,11.901483,68.951149,-20.573036,11.043202,40.49744
10.051737,161.7948,45.203457,20.694523,116.595474,61.634575,29.079826,78.689323,33.122444,6.37955,100.717812,47.606148,23.139744,11.910863,68.977058,-20.59857,11.042788,40.485676
9.793194,161.722641,44.472569,20.594698,116.799118,61.525608,28.387917,77.317383,38.176414,6.337687,100.793137,47.857552,23.131319,11.913003,68.976646,-20.611561,11.045308,40.48473
9.491443,161.620743,43.693295,20.443853,116.9263,61.362896,27.073978,76.61232,43.320374,6.182006,100.925079,48.130108,23.123648,11.935994,68.976082,-20.610397,11.04359,40.514175
9.157987,161.502945,42.897865,20.384241,117.065605,61.139935,25.722801,76.315781,47.703438,6.016803,101.033203,48.351982,23.133543,11.935662,68.975746,-20.605352,11.030019,40.506229
8.818955,161.378448,42.076771,20.232401,117.146622,60.894665,24.610884,76.692635,51.843483,5.824728,100.99205,48.644848,23.110376,11.951157,68.976044,-20.624783,11.027609,40.506805
8.448118,161.214706,41.254513,20.182837,117.246811,60.584972,23.820518,77.438766,55.27182,5.72002,100.839958,49.034031,23.132565,11.947431,68.980431,-20.637064,11.046581,40.494282
8.071791,161.01384,40.412762,20.049953,117.262291,60.22332,23.570002,78.635857,58.304184,5.714351,100.535828,49.581425,23.117577,11.962839,68.971237,-20.641041,11.049417,40.492226
7.663887,160.78157,39.596062,19.944111,117.325447,59.816021,23.341682,80.500221,60.962933,5.731128,100.31031,49.957184,23.143293,11.953172,68.976616,-20.653261,11.050131,40.499168
7.250046,160.501785,38.781097,19.760582,117.346848,59.352757,23.175888,82.784248,63.123787,5.694613,100.167686,50.254875,23.123144,11.945586,68.979538,-20.659416,11.05101,40.507168
6.820321,160.196457,38.01339,19.561749,117.446075,58.86105,23.029875,85.331306,64.769249,6.550799,99.591301,51.029594,23.203722,11.892016,68.970665,-20.667953,11.052177,40.528435
6.378166,159.861893,37.26675,19.30909,117.394402,58.291878,22.945972,87.925209,65.887405,6.694925,99.409637,51.369053,23.223085,11.88798,68.988762,-20.68771,11.07788,40.526569
5.9394,159.520035,36.582977,19.091305,117.439751,57.720383,22.915632,90.524002,66.432076,6.547676,99.420418,51.478649,23.255108,11.884566,69.003357,-20.723635,11.075235,40.550774
5.495292,159.177017,35.933559,18.788233,117.324593,57.066059,22.877245,93.05864,66.562256,6.845951,99.102226,51.929684,23.287516,11.869359,69.042992,-20.731728,11.064566,40.596867
