head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
56.456936,165.256363,82.371849,73.115349,79.937813,65.199738,35.004543,81.725983,93.927994,56.388847,95.84938,82.307373,72.292122,13.08304,69.177689,67.01664,12.568272,102.205978
56.244183,165.11261,82.760582,73.033272,80.077286,65.297531,35.082798,81.521797,94.517693,56.49939,95.908966,82.68927,72.231194,13.222741,69.244682,67.017311,12.555384,102.190422
56.021255,164.923187,83.09227,72.880127,80.254967,65.347374,35.10099,81.342445,95.069672,56.58884,95.991432,83.057884,72.270493,13.221318,69.522057,67.164154,12.405634,102.306038
55.84761,164.711227,83.394089,72.756638,80.422638,65.439705,35.196331,81.099777,95.661858,56.670422,96.105736,83.3564,72.208397,13.360099,69.84948,67.173157,12.384255,102.30481
55.663261,164.485077,83.647537,72.577995,80.612465,65.498955,35.262901,80.857582,96.206192,56.76939,96.232109,83.64386,72.318047,13.385848,70.341995,67.272949,12.264724,102.373489
55.513397,164.26915,83.864357,72.402916,80.794456,65.557541,35.40255,80.578629,96.789795,56.836792,96.385529,83.864349,72.546471,13.521041,70.998245,67.324226,12.207695,102.387657
55.380989,164.044617,84.032631,72.168228,80.990723,65.569107,35.538628,80.326645,97.340157,56.953945,96.516365,84.096489,73.08242,13.551673,71.774872,67.419891,12.119066,102.440689
55.309334,163.801559,84.184357,71.957634,81.176102,65.572441,35.730419,80.06601,97.905388,57.029568,96.631134,84.282547,73.644623,13.711555,72.597649,67.442413,12.093531,102.429527
55.254257,163.550888,84.306396,71.71347,81.397629,65.522255,35.930454,79.848946,98.427223,57.169113,96.705566,84.496986,74.312027,13.870234,73.488785,67.578194,11.952427,102.512253
55.240982,163.308487,84.41301,71.458923,81.647453,65.442307,36.167965,79.63237,98.977882,57.23037,96.78199,84.653717,75.003708,14.033912,74.496323,67.603249,11.928718,102.516388
55.266735,163.095215,84.486488,71.187485,81.925041,65.310646,36.412766,79.45414,99.515434,57.339455,96.858284,84.826118,75.67968,14.168389,75.635742,67.707787,11.817182,102.619064
55.338528,162.882935,84.553452,70.906029,82.211586,65.135849,36.6805,79.277451,100.055801,57.416927,96.918739,84.939941,76.32267,14.271759,76.834435,67.72039,11.7944,102.638168
55.430168,162.724457,84.587883,70.594803,82.534233,64.905022,36.958954,79.127632,100.591225,57.591755,96.944763,85.107224,77.05294,14.296469,78.15316,67.837509,11.671301,102.747681
