head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-9.76199,156.597321,19.507439,8.246368,86.93428,10.048586,-30.56575,88.614784,12.903666,-12.168431,98.908997,20.241922,11.308777,9.780049,29.012966,-29.117321,8.380198,31.368578
-9.704397,156.596176,19.507439,8.028065,86.935257,10.105565,-30.615437,88.766502,12.689502,-12.158479,98.894119,20.326618,11.308777,9.780859,29.012966,-29.117321,8.388277,31.374605
-9.649113,156.586197,19.507439,7.843193,86.859192,10.193802,-30.708284,88.853111,12.495525,-12.15099,98.882782,20.406982,11.301357,9.783745,29.029425,-29.117321,8.385208,31.38633
-9.594225,156.581268,19.507439,7.707036,86.757362,10.332991,-30.781439,88.844368,12.370544,-12.14542,98.868408,20.489969,11.299257,9.786899,29.039524,-29.110729,8.381046,31.406054
-9.547104,156.574951,19.503777,7.62631,86.602684,10.49017,-30.878855,88.787277,12.26336,-12.117829,98.840828,20.573608,11.299431,9.790141,29.041199,-29.106516,8.376873,31.415077
-9.493444,156.561569,19.484921,7.602436,86.395073,10.685834,-30.956579,88.659172,12.230747,-12.097504,98.815643,20.647427,11.285465,9.781294,29.042248,-29.104813,8.360694,31.416286
-9.445293,156.554016,19.462896,7.638673,86.118187,10.915514,-31.046022,88.493355,12.23516,-12.066411,98.798172,20.718204,11.270123,9.796318,29.043339,-29.103563,8.361296,31.417013
-9.384638,156.540894,19.44635,7.724422,85.809006,11.179571,-31.115915,88.253601,12.319389,-12.049991,98.79937,20.775873,11.250343,9.792198,29.046574,-29.10248,8.358912,31.422974
-9.322454,156.524033,19.430351,7.853605,85.469521,11.486243,-31.211096,88.000061,12.416859,-12.021213,98.805298,20.830654,11.235187,9.799603,29.062279,-29.101278,8.355525,31.437105
-9.241471,156.507919,19.412519,8.020607,85.129814,11.832845,-31.271452,87.68914,12.604764,-11.95146,98.795845,20.905447,11.224299,9.811574,29.069632,-29.099655,8.352098,31.442993
-9.161083,156.487747,19.386042,8.221329,84.759445,12.204044,-31.350615,87.404884,12.790981,-11.872206,98.781509,20.969831,11.20319,9.8235,29.072269,-29.097326,8.348613,31.443754
-9.060054,156.464249,19.352844,8.451259,84.36927,12.607335,-31.392473,87.080421,13.043929,-11.781568,98.770752,21.032904,11.189609,9.831451,29.074711,-29.093979,8.331983,31.44319
-8.942851,156.435974,19.31953,8.712335,83.960663,13.050661,-31.442081,86.758316,13.299553,-11.683875,98.762245,21.094215,11.17394,9.849298,29.086317,-29.08456,8.314574,31.441708
-8.808289,156.418427,19.289461,9.003236,83.549461,13.500751,-31.448082,86.436058,13.613853,-11.54666,98.733948,21.177691,11.14814,9.875533,29.097231,-29.096018,8.303491,31.469543
-8.670438,156.402954,19.247358,9.330678,83.145798,13.959121,-31.466711,86.125381,13.918157,-11.413053,98.731079,21.230528,11.1087,9.90937,29.105541,-29.114494,8.322669,31.462852
-8.494852,156.388916,19.207716,9.677903,82.776543,14.411554,-31.446096,85.831543,14.246834,-11.220108,98.701218,21.307438,11.068877,9.947538,29.112411,-29.109997,8.313284,31.463163
-8.29422,156.371735,19.173492,10.061239,82.421532,14.849957,-31.426313,85.54567,14.578571,-11.003408,98.680702,21.382784,11.026307,9.978567,29.133114,-29.11816,8.30687,31.463324
-8.070514,156.362778,19.1376,10.456909,82.097862,15.272662,-31.372793,85.255753,14.93856,-10.744644,98.641953,21.484215,10.985206,10.002703,29.139124,-29.117151,8.299285,31.461485
-7.819519,156.357086,19.090635,10.869113,81.792175,15.65815,-31.330452,84.991882,15.271293,-10.451199,98.604805,21.579908,10.913833,10.027161,29.136122,-29.117001,8.308675,31.444763
-7.527381,156.348251,19.051243,11.288177,81.546631,16.007561,-31.274237,84.721634,15.615043,-10.141818,98.571968,21.669018,10.874372,10.052471,29.128834,-29.11758,8.294242,31.439325
-7.201287,156.333481,19.005136,11.713803,81.324783,16.311354,-31.221722,84.473099,15.928925,-9.7658,98.512947,21.765736,10.82746,10.055291,29.090662,-29.118374,8.290082,31.419712
-6.835895,156.304703,18.967688,12.14676,81.218231,16.541267,-31.183765,84.258553,16.212128,-9.33329,98.422188,21.865999,10.796088,10.038037,29.046297,-29.119007,8.269933,31.40243
-6.431972,156.271255,18.937637,12.554579,81.238937,16.645967,-31.12834,84.121834,16.472075,-8.877383,98.347755,21.934097,10.783936,10.034393,29.039724,-29.113783,8.26297,31.401707
-5.987586,156.233948,18.930996,12.963104,81.382683,16.631285,-31.073975,84.010033,16.720448,-8.408066,98.280869,22.010969,10.793954,10.030337,29.041513,-29.10516,8.256571,31.401201
-5.50589,156.197464,18.927258,13.371389,81.557259,16.514029,-31.012505,83.952965,16.921696,-7.904384,98.205322,22.077696,10.802527,10.021943,29.041348,-29.090071,8.240752,31.40044
-4.982331,156.158386,18.931211,13.738036,81.851181,16.299623,-30.959532,84.023849,17.061106,-7.408874,98.174271,22.099459,10.8068,9.993409,29.0385,-29.089226,8.224387,31.382631
-4.421876,156.133331,18.940508,14.023962,82.334427,15.964855,-30.852825,84.161438,17.187611,-6.836623,98.113976,22.146973,10.807565,9.970719,29.011442,-29.088919,8.223063,31.361427
-3.819328,156.116318,18.98097,14.171166,83.069786,15.539171,-30.671814,84.477188,17.276394,-6.193685,98.030098,22.220785,10.834864,9.928046,28.996422,-29.076187,8.221703,31.34717
-3.160044,156.100784,19.022224,14.089318,83.986618,15.086377,-30.365917,84.924683,17.315384,-5.504233,97.970474,22.308073,10.882965,9.863326,28.985338,-29.056051,8.217246,31.31789
-2.476604,156.107834,19.057268,13.819566,85.095665,14.574382,-29.95566,85.434677,17.355133,-4.7801,97.924759,22.395443,10.946177,9.824003,28.982756,-29.02931,8.21267,31.281466
-1.7767,156.138947,19.071394,13.467997,86.308372,13.984156,-29.496557,86.109795,17.350296,-4.010409,97.877884,22.519079,11.012016,9.796474,28.995935,-29.020294,8.233374,31.211355
-1.034991,156.172531,19.107952,13.063696,87.684074,13.419674,-29.031393,86.809845,17.34676,-3.240065,97.837891,22.634909,11.098536,9.762404,29.015097,-28.993864,8.245781,31.093042
-0.276705,156.210159,19.147907,12.666877,89.229134,12.77984,-28.615236,87.546043,17.362869,-2.477404,97.801353,22.801556,11.171515,9.727411,29.069826,-28.988491,8.26638,30.949665
0.496982,156.257324,19.191172,12.101358,91.022278,12.241901,-28.287748,88.179192,17.501404,-1.751932,97.771568,23.010551,11.22964,9.68618,29.075483,-28.995378,8.335438,30.675285
1.270448,156.308548,19.226923,11.473273,92.904991,11.702965,-27.999836,88.806999,17.684847,-1.03827,97.7313,23.300037,11.28307,9.627651,29.076271,-29.013878,8.453626,30.295176
2.04537,156.361252,19.277075,10.814327,94.952301,11.209759,-27.775988,89.322807,17.975317,-0.366414,97.735023,23.582855,11.344997,9.61445,29.104218,-28.918446,8.683878,29.737499
2.816565,156.397171,19.330536,10.220541,97.097336,10.623664,-27.669842,89.741516,18.359489,0.264281,97.73497,23.9238,11.438175,9.575761,29.126989,-28.689764,9.072003,29.004818
3.559257,156.423325,19.398031,9.685394,99.469269,10.080528,-27.654818,90.101524,18.83313,0.885138,97.745674,24.241508,11.543489,9.559679,29.1679,-28.332752,9.914,28.263083
4.27879,156.448654,19.472754,9.214645,101.892838,9.538318,-27.771725,90.453415,19.388968,1.416302,97.817474,24.528368,11.658521,9.55614,29.183651,-28.00927,11.309832,27.453566
4.97107,156.48558,19.555195,8.737706,104.489357,9.047288,-27.958963,90.765411,20.077248,1.949977,97.928932,24.793444,11.773301,9.552648,29.20236,-27.745449,12.865129,26.566166
5.636953,156.55365,19.633768,8.236316,107.05275,8.717211,-28.244102,91.103027,20.838015,2.49638,98.082138,25.050198,11.857194,9.559487,29.21344,-27.255655,14.711288,25.680574
6.274999,156.6436,19.713343,7.740797,109.667969,8.469741,-28.558657,91.433594,21.7363,3.104482,98.229836,25.324432,11.936474,9.577206,29.220179,-26.360266,16.792484,24.618786
6.87862,156.76593,19.778898,7.243041,112.258202,8.24694,-28.866463,91.72261,22.728861,3.711855,98.444229,25.530663,12.005356,9.576495,29.249344,-25.442324,18.978369,23.556145
7.441284,156.908081,19.854403,6.801447,114.814262,8.04295,-29.166779,91.96991,23.87278,4.329268,98.637222,25.77347,12.076107,9.608991,29.287586,-24.349991,21.328686,22.534885
7.989309,157.078751,19.896431,6.40748,117.383034,7.955869,-29.466099,92.166115,25.092844,4.888216,98.913712,25.931303,12.177614,9.637385,29.309141,-23.137232,23.733274,21.290478
8.507755,157.269699,19.91761,6.030481,119.920448,7.9085,-29.650879,92.253426,26.456131,5.423846,99.205742,26.130079,12.254225,9.680144,29.341684,-21.833908,26.320017,20.156754
8.986458,157.472641,19.917917,5.617217,122.406067,8.005933,-30.082123,92.623772,27.563601,5.847235,99.568695,26.286022,12.302303,9.716873,29.351244,-20.74151,28.886637,18.895212
9.444384,157.661453,19.912981,5.23561,124.770355,8.240932,-30.238394,92.735733,28.963951,6.250318,99.986206,26.424507,12.352767,9.757104,29.368568,-19.573124,31.685699,17.688269
9.888472,157.831223,19.887741,4.856529,126.998016,8.570756,-30.39538,92.817696,30.377645,6.60111,100.415291,26.569469,12.426136,9.743348,29.392635,-18.568001,34.36821,16.444769
10.293173,157.977219,19.8417,4.516417,129.085785,8.942083,-30.459415,92.815453,31.870779,6.977429,100.839638,26.695658,12.443708,9.748729,29.400686,-17.417177,37.126713,15.201468
10.668287,158.09343,19.778418,4.201226,131.063797,9.315016,-30.520765,92.763763,33.392761,7.294257,101.260406,26.800175,12.444893,9.76806,29.376841,-16.364302,39.710873,13.973289
11.022185,158.157578,19.717566,3.976256,132.877548,9.726688,-30.568781,92.665886,34.934219,7.605976,101.668358,26.879677,12.450422,9.799251,29.36426,-15.267448,42.317501,12.80127
11.378668,158.168167,19.668913,3.777838,134.533768,10.187298,-30.609562,92.514549,36.487446,7.870338,102.004623,26.957575,12.46701,9.803882,29.38743,-14.245436,44.753899,11.631308
11.689454,158.145996,19.600386,3.624203,136.042358,10.651709,-30.676544,92.360954,38.027996,8.089561,102.340012,27.03023,12.448557,9.807049,29.389103,-13.290664,47.154816,10.542276
11.990267,158.079529,19.517687,3.503119,137.391327,11.081913,-30.704241,92.180199,39.506851,8.304153,102.600494,27.095766,12.435696,9.810253,29.364252,-13.310868,50.483681,8.870299
12.253729,157.956497,19.430964,3.477871,138.577194,11.547505,-30.739252,91.979218,40.972733,8.472377,102.892181,27.143917,12.368796,9.787,29.354692,-12.499897,52.528522,7.855136
12.500284,157.79335,19.338421,3.494277,139.609818,11.935449,-30.717022,91.760666,42.309124,8.667809,103.086304,27.220327,12.315625,9.783181,29.373753,-11.963062,54.450241,6.954776
12.74312,157.581573,19.265009,3.594648,140.433441,12.269732,-30.620522,91.509613,43.580936,8.425774,103.675331,26.930832,12.296088,9.779798,29.369511,-11.229506,55.943478,5.996641
12.978731,157.319199,19.226044,3.690266,141.063538,12.543007,-30.473309,91.196938,44.742191,8.581381,103.775124,27.003744,12.296726,9.763817,29.353521,-10.683858,57.114948,5.314793
13.19057,157.029556,19.200665,3.80849,141.444809,12.751398,-30.283018,90.864853,45.790085,8.324619,104.120468,26.725529,12.277333,9.751995,29.348694,-10.138168,57.930546,4.688629
13.379514,156.733749,19.199135,3.859134,141.636307,12.898872,-30.065052,90.528755,46.673801,8.417845,104.131989,26.722269,12.231987,9.743131,29.33358,-9.794512,58.444977,4.289886
13.576613,156.446594,19.222214,3.951844,141.592194,13.011356,-29.783293,90.15696,47.412689,8.292462,104.207947,26.522018,12.19896,9.721532,29.333567,-9.444358,58.493023,3.814747
13.773872,156.180862,19.271986,4.033167,141.373581,13.102777,-29.486063,89.767235,47.978966,8.318974,104.101089,26.452988,12.244693,9.68596,29.315153,-9.208475,58.124577,3.759751
13.964523,155.970444,19.320507,4.16432,141.005402,13.096927,-29.180326,89.402489,48.339539,8.194987,104.01535,26.284781,12.251256,9.632952,29.277166,-9.06077,57.343842,3.707688
14.111534,155.805267,19.366745,4.27324,140.543503,13.005335,-28.928925,89.105858,48.458618,8.147985,103.845154,26.156101,12.204222,9.649722,29.25556,-8.955232,56.272133,3.94563
14.275958,155.684021,19.439367,4.436599,139.95787,12.887665,-28.677723,88.839188,48.397923,7.983339,103.746376,25.956312,12.194981,9.630427,29.216755,-8.974176,54.898113,4.182247
14.406509,155.600449,19.520056,4.64125,139.272003,12.725463,-28.468407,88.638557,48.07177,7.989402,103.527573,25.869461,12.178996,9.589757,29.209024,-8.940424,53.371437,4.757218
14.533804,155.573563,19.59993,4.862388,138.485596,12.543759,-28.313198,88.545624,47.529743,7.808767,103.441544,25.632582,12.154975,9.566669,29.209612,-9.21822,51.67107,5.259728
14.620666,155.595337,19.648834,5.059517,137.654556,12.325364,-28.195021,88.505722,46.760983,7.79502,103.26194,25.531788,12.129617,9.555137,29.18799,-9.39649,49.884212,6.085891
14.707771,155.652634,19.696932,5.273094,136.763763,12.107517,-28.093111,88.509544,45.869396,7.592714,103.203903,25.31254,12.121022,9.554231,29.1835,-9.857499,47.941311,6.862912
14.774615,155.747406,19.726633,5.496188,135.865646,11.854091,-27.956856,88.54908,44.79673,7.555542,103.085518,25.230461,12.120279,9.530695,29.15387,-10.15752,45.844376,7.933805
14.834988,155.866455,19.764973,5.762401,134.953491,11.570686,-27.801397,88.632584,43.62693,7.349172,103.099869,25.020294,12.122794,9.529043,29.158455,-10.714457,43.789173,8.992401
14.870542,156.014053,19.792112,6.052309,134.033295,11.265862,-27.585308,88.723251,42.340569,7.282156,103.060196,24.932384,12.126575,9.528729,29.167881,-11.196171,41.688065,10.214806
14.889766,156.180603,19.84478,6.342461,133.078979,10.962343,-27.295753,88.851082,40.990841,7.400411,102.784966,24.988865,12.13364,9.528563,29.180403,-11.940653,39.709309,11.385661
14.893737,156.381744,19.864746,6.625492,132.12326,10.61026,-26.941597,89.019043,39.550255,7.321669,102.787109,24.869005,12.142415,9.542065,29.186644,-12.718303,37.83572,12.559278
14.882632,156.596802,19.88105,6.893015,131.09938,10.220597,-26.518148,89.217987,38.056911,7.552072,102.544098,24.991631,12.163893,9.548577,29.197407,-13.627819,35.929634,13.748304
14.853383,156.834564,19.891872,7.186725,130.040283,9.793375,-26.113615,89.466888,36.496326,7.469812,102.588699,24.860435,12.188723,9.550349,29.222223,-14.504746,34.092945,14.930871
14.802107,157.073303,19.916611,7.483038,128.884537,9.394901,-25.697624,89.770676,34.881664,7.682024,102.41391,24.988441,12.232979,9.582924,29.236073,-15.505252,32.284931,16.200777
14.743622,157.32312,19.936712,7.80407,127.697205,8.953911,-25.30349,90.132271,33.252357,7.569831,102.483345,24.844036,12.257562,9.602645,29.250473,-16.420237,30.508598,17.326151
14.655354,157.574921,19.976015,8.157383,126.453354,8.455654,-24.936504,90.547562,31.595726,7.71178,102.369156,24.918484,12.272388,9.629001,29.285105,-17.401175,28.839422,18.475313
14.548386,157.825394,19.995787,8.593563,125.211708,7.916895,-24.560246,91.007736,29.943111,7.566831,102.430984,24.767036,12.338046,9.653333,29.281858,-18.368912,27.305864,19.397638
14.419922,158.062683,20.033648,9.050417,123.86673,7.456414,-24.218088,91.499748,28.314169,7.645174,102.318207,24.817146,12.368632,9.684515,29.329344,-19.382309,25.871387,20.307947
14.265303,158.290588,20.062283,9.50072,122.45842,7.008157,-23.873331,92.025642,26.69438,7.445132,102.349327,24.657057,12.386288,9.703521,29.367584,-20.347891,24.460829,21.036598
14.083417,158.495331,20.099442,9.946601,120.945557,6.647621,-23.52994,92.591347,25.115211,7.436846,102.216919,24.684027,12.388002,9.703955,29.394928,-21.252876,23.044882,21.768986
13.878428,158.68425,20.125845,10.411308,119.434753,6.405887,-23.186855,93.128731,23.593424,7.193315,102.199387,24.545397,12.400152,9.721301,29.409571,-22.072754,21.68697,22.299194
13.647931,158.842972,20.139229,10.938155,117.959488,6.267427,-22.877501,93.655174,22.127583,7.133991,102.034149,24.554913,12.427756,9.769377,29.441053,-22.760605,20.359705,22.779715
13.381168,158.975189,20.147392,11.484067,116.525566,6.153293,-22.576139,94.1054,20.733204,6.85069,101.961098,24.425827,12.469636,9.823668,29.484943,-23.401056,19.128668,23.068027
