head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_1_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-5.497062,157.476074,-9.225124,23.16745,79.678322,-12.214935,-30.353975,77.968338,-11.023998,-5.007839,96.872963,-8.983564,23.814178,9.95146,1.731765,-20.108604,9.873713,0.79338
-5.648207,157.481857,-9.23453,23.085714,79.739189,-12.287944,-30.470388,77.994301,-11.119503,-5.154325,96.869446,-8.982277,23.806486,9.95146,1.731542,-20.106285,9.862671,0.806522
-5.809839,157.494049,-9.26623,22.96183,79.806976,-12.37429,-30.605467,78.008293,-11.228804,-5.255925,96.813133,-8.953271,23.776686,9.95146,1.710591,-20.101883,9.852489,0.809575
-5.978413,157.507767,-9.296433,22.822126,79.889236,-12.456298,-30.791821,78.027534,-11.336772,-5.363671,96.76445,-8.924784,23.744343,9.956781,1.70234,-20.113705,9.863824,0.827245
-6.148231,157.518478,-9.327557,22.651548,79.964989,-12.537155,-31.011492,78.035095,-11.439303,-5.442228,96.698685,-8.866504,23.711472,9.964096,1.700172,-20.122814,9.863191,0.831944
-6.323546,157.523819,-9.362064,22.472462,80.045204,-12.6043,-31.265524,78.040108,-11.551492,-5.549496,96.639229,-8.832239,23.67539,9.97086,1.697226,-20.128822,9.86334,0.836332
-6.48735,157.526001,-9.399795,22.273321,80.134911,-12.672399,-31.535704,78.041298,-11.647605,-5.627968,96.589943,-8.764627,23.651655,9.976298,1.68954,-20.141609,9.863379,0.84375
-6.64902,157.527542,-9.444083,22.079311,80.234131,-12.74675,-31.826027,78.03566,-11.738138,-5.705533,96.553238,-8.707728,23.630606,9.996378,1.655465,-20.144852,9.862989,0.832044
-6.808513,157.528961,-9.493494,21.889603,80.328728,-12.811655,-32.114548,78.005539,-11.807355,-5.807168,96.518967,-8.66947,23.597092,9.996359,1.643021,-20.14716,9.860553,0.830252
-6.959502,157.526611,-9.533731,21.713821,80.413147,-12.859441,-32.418964,77.983551,-11.876443,-5.899364,96.493965,-8.630837,23.591175,9.983674,1.637561,-20.148314,9.853646,0.841261
