HMD0_tx,HMD0_ty,HMD0_tz,controller3_tx,controller3_ty,controller3_tz,controller6_tx,controller6_ty,controller6_tz,generic9_tx,generic9_ty,generic9_tz,generic7_tx,generic7_ty,generic7_tz,generic8_tx,generic8_ty,generic8_tz
4.55584,157.235291,-5.386514,29.174006,80.827835,-7.772148,-16.012156,81.936356,-10.563433,6.434262,98.289474,-4.098022,31.927406,13.133705,7.496488,-17.612398,9.263622,5.688983
4.583114,157.253647,-5.415257,29.198311,80.853378,-7.700327,-16.006451,81.992401,-10.630909,6.427053,98.29847,-3.968144,31.956303,13.131937,7.481266,-17.612028,9.263622,5.688983
4.619977,157.276413,-5.471852,29.217978,80.87899,-7.646102,-16.003815,82.071823,-10.721521,6.47635,98.245476,-3.807564,31.93606,13.142467,7.502236,-17.60471,9.274771,5.702496
4.651051,157.296265,-5.53524,29.22687,80.893738,-7.578038,-15.995552,82.135521,-10.795131,6.450224,98.265289,-3.678175,31.951805,13.150356,7.505996,-17.602119,9.276019,5.712386
4.691195,157.321884,-5.621155,29.235104,80.899254,-7.527512,-15.986571,82.207245,-10.881944,6.469924,98.231064,-3.52384,31.94949,13.161002,7.533854,-17.600304,9.277232,5.717597
4.737347,157.340561,-5.723804,29.23867,80.890221,-7.466627,-15.972727,82.268417,-10.951275,6.466162,98.232086,-3.35568,31.966148,13.172529,7.538771,-17.596682,9.278417,5.723194
4.77808,157.35643,-5.86075,29.24058,80.864006,-7.426723,-15.956723,82.323868,-11.028204,6.52026,98.174408,-3.141902,31.959423,13.157464,7.557177,-17.5928,9.279576,5.72565
4.827224,157.367798,-6.014693,29.241888,80.833435,-7.385224,-15.93924,82.366829,-11.086583,6.488449,98.172783,-2.959455,31.963287,13.182861,7.551105,-17.589598,9.280718,5.727853
4.873989,157.373474,-6.201049,29.242456,80.798409,-7.37112,-15.91422,82.4161,-11.151728,6.51097,98.115105,-2.729372,31.966862,13.213252,7.585123,-17.587683,9.281847,5.730015
4.933043,157.37616,-6.419428,29.223797,80.760925,-7.357732,-15.884601,82.455482,-11.205667,6.502103,98.099068,-2.494779,31.963764,13.24612,7.614381,-17.584206,9.282969,5.737314
4.991283,157.371719,-6.678281,29.183306,80.736023,-7.376054,-15.864363,82.498062,-11.275952,6.532942,98.02552,-2.211971,31.958349,13.282055,7.649993,-17.580532,9.284087,5.747746
5.051218,157.361237,-6.995044,29.114767,80.713478,-7.410315,-15.836352,82.543579,-11.340672,6.482028,98.003761,-1.953343,31.947639,13.327451,7.641269,-17.590721,9.301138,5.753793
5.123672,157.333817,-7.346244,29.025299,80.720428,-7.474819,-15.815671,82.582451,-11.422872,6.520674,97.90435,-1.599899,31.915052,13.374712,7.676458,-17.5905,9.307385,5.761018
5.207848,157.28717,-7.751411,28.893639,80.759918,-7.586509,-15.753761,82.633324,-11.500362,6.517051,97.830002,-1.239064,31.897482,13.420295,7.669128,-17.592543,9.317709,5.767077
5.298598,157.216583,-8.208896,28.733488,80.787941,-7.711038,-15.642735,82.682549,-11.595893,6.548632,97.710609,-0.822826,31.849764,13.46332,7.702385,-17.587099,9.324795,5.771852
5.413158,157.120422,-8.738385,28.544765,80.777954,-7.868518,-15.467219,82.741592,-11.682726,6.532789,97.597839,-0.382014,31.815929,13.493935,7.718966,-17.580412,9.34573,5.775773
5.531926,156.977036,-9.318274,28.313889,80.711731,-8.055831,-15.288404,82.781166,-11.82915,6.570865,97.40403,0.148665,31.753443,13.546463,7.742359,-17.569517,9.36222,5.781881
5.676219,156.776505,-9.947947,28.075396,80.585777,-8.259944,-15.093291,82.762421,-11.964073,6.549671,97.18428,0.709478,31.694281,13.586366,7.756917,-17.540562,9.36677,5.803234
5.827728,156.518875,-10.619791,27.786154,80.416229,-8.493097,-14.941497,82.693649,-12.168606,6.599793,96.892723,1.370857,31.622755,13.666091,7.804858,-17.510002,9.38144,5.806524
6.001724,156.179535,-11.336899,27.473831,80.192154,-8.767196,-14.829295,82.604851,-12.447385,6.623346,96.645164,2.07805,31.56782,13.724272,7.82287,-17.487541,9.398653,5.813696
6.172163,155.744202,-12.078677,27.117496,79.946487,-9.0674,-14.707406,82.393425,-12.716339,6.649081,96.20253,2.841722,31.504896,13.8014,7.865235,-17.474957,9.424035,5.830275
6.355143,155.194748,-12.824435,26.733809,79.677635,-9.420726,-14.562872,82.158592,-13.06545,6.629034,95.679382,3.611181,31.47731,13.841781,7.872194,-17.469872,9.447351,5.835552
6.541314,154.524002,-13.574534,26.316746,79.387817,-9.802208,-14.288992,81.883263,-13.392055,6.708935,94.93911,4.470859,31.469822,13.866671,7.901018,-17.465977,9.453081,5.831515
6.737319,153.728485,-14.297346,25.827951,79.106689,-10.239038,-13.994851,81.580231,-13.7775,6.623234,94.186668,5.206422,31.467239,13.877167,7.921634,-17.473476,9.474711,5.830149
6.935913,152.816223,-14.998632,25.240526,78.929947,-10.68356,-13.51628,81.194801,-14.125635,6.677918,93.214005,6.061586,31.510956,13.875688,7.947576,-17.49399,9.472055,5.841433
7.134048,151.787994,-15.659558,24.560997,78.761009,-11.173018,-13.119976,80.832047,-14.584108,6.593637,92.253799,6.804042,31.550249,13.851606,7.961039,-17.512741,9.467853,5.871479
7.344195,150.669235,-16.294434,23.855463,78.612511,-11.633176,-12.707677,80.394554,-15.074897,6.629238,91.094444,7.6516,31.630623,13.836687,7.977682,-17.536764,9.462924,5.888375
7.556447,149.43985,-16.886206,23.147387,78.484276,-12.131505,-12.34691,80.101379,-15.686295,6.600545,89.959343,8.428342,31.744719,13.754825,7.950869,-17.552114,9.459343,5.90859
7.763052,148.106033,-17.463713,22.424088,78.609451,-12.645068,-11.848109,79.921623,-16.24334,6.72501,88.656929,9.282446,31.841921,13.699304,7.924465,-17.554878,9.457034,5.909482
7.960209,146.677795,-17.987396,21.710638,78.873726,-13.235765,-11.328742,79.82032,-16.905024,6.669999,87.432716,9.961341,31.926838,13.584969,7.875107,-17.549055,9.487973,5.891256
8.164768,145.151947,-18.485439,21.132357,79.209534,-13.908033,-10.698072,79.795059,-17.546112,6.798392,86.057938,10.713928,31.994144,13.567368,7.861002,-17.571758,9.517767,5.920652
8.357693,143.531281,-18.953777,20.633869,79.481262,-14.631945,-10.161247,79.928467,-18.319895,6.884061,84.785477,11.382432,32.094448,13.56242,7.78721,-17.606062,9.536684,5.950665
8.548466,141.827805,-19.395977,20.269804,79.897064,-15.407013,-9.614005,80.056358,-19.109438,7.071628,83.405411,12.081074,32.199139,13.541313,7.771057,-17.661396,9.546298,5.984828
8.725223,140.036484,-19.800486,19.995306,80.331734,-16.135906,-9.178212,80.340393,-19.97006,7.119651,82.068909,12.602715,32.298409,13.466625,7.732624,-17.672209,9.547115,5.981008
