HMD0_tx,HMD0_ty,HMD0_tz,controller3_tx,controller3_ty,controller3_tz,controller6_tx,controller6_ty,controller6_tz,generic9_tx,generic9_ty,generic9_tz,generic7_tx,generic7_ty,generic7_tz,generic8_tx,generic8_ty,generic8_tz
-6.727636,160.737717,-14.252626,15.548491,79.400757,-20.125412,-29.968643,77.395775,-13.90841,-5.162036,98.331703,-14.636016,20.963108,11.48808,-8.10504,-29.846144,9.534359,-5.240571
-6.727636,160.733658,-14.261958,15.524464,79.400757,-20.074638,-30.011087,77.395691,-13.870947,-5.162036,98.331703,-14.620063,20.961411,11.48808,-8.10504,-29.846144,9.54782,-5.240571
-6.728347,160.72435,-14.284849,15.506269,79.400757,-20.042038,-30.054165,77.395401,-13.837181,-5.147995,98.316475,-14.594257,20.958969,11.475616,-8.105552,-29.846144,9.538429,-5.240571
-6.729894,160.7164,-14.304102,15.51081,79.418808,-19.998634,-30.087261,77.395027,-13.792141,-5.156125,98.317497,-14.565947,20.958252,11.474524,-8.107247,-29.845732,9.535768,-5.240571
-6.731439,160.709091,-14.321662,15.512552,79.45282,-19.966011,-30.115688,77.39463,-13.739852,-5.168276,98.333801,-14.546746,20.95779,11.473334,-8.10898,-29.842403,9.516072,-5.222154
-6.733,160.695023,-14.346908,15.513608,79.487473,-19.923578,-30.140409,77.394257,-13.686047,-5.16512,98.338478,-14.514949,20.957428,11.472189,-8.110548,-29.842754,9.512752,-5.218758
-6.734596,160.686523,-14.363703,15.513838,79.52623,-19.871933,-30.161766,77.393951,-13.627341,-5.174276,98.349113,-14.49602,20.956999,11.471036,-8.111742,-29.843147,9.547029,-5.245354
-6.748105,160.674408,-14.394226,15.512436,79.562729,-19.818819,-30.179268,77.393784,-13.560855,-5.174066,98.347809,-14.460225,20.956343,11.469713,-8.11253,-29.847095,9.549624,-5.244999
-6.760982,160.65332,-14.420714,15.515011,79.5868,-19.770065,-30.197853,77.393799,-13.483135,-5.186002,98.373558,-14.444932,20.955275,11.46806,-8.113194,-29.845364,9.53625,-5.244641
-6.767519,160.634079,-14.444873,15.531898,79.615433,-19.721661,-30.228233,77.394051,-13.413951,-5.18404,98.371017,-14.40643,20.953539,11.465758,-8.113764,-29.843853,9.533666,-5.244283
-6.776186,160.619263,-14.471242,15.555028,79.634247,-19.682272,-30.265505,77.402145,-13.339555,-5.204148,98.388268,-14.381125,20.951424,11.462811,-8.114255,-29.866123,9.553379,-5.24393
-6.793904,160.605408,-14.510934,15.59529,79.665535,-19.645969,-30.32369,77.403702,-13.273763,-5.207874,98.394989,-14.344706,20.949333,11.459331,-8.114687,-29.864704,9.556488,-5.24547
-6.806585,160.589996,-14.544883,15.636047,79.702469,-19.611271,-30.397627,77.418526,-13.21669,-5.2129,98.398262,-14.308023,20.947594,11.454744,-8.115076,-29.88163,9.59059,-5.26375
-6.82354,160.576569,-14.587038,15.679322,79.750755,-19.574911,-30.481941,77.430855,-13.15627,-5.210536,98.391464,-14.259381,20.945854,11.45181,-8.115441,-29.881624,9.595151,-5.268268
-6.839413,160.560181,-14.628689,15.72232,79.799355,-19.533632,-30.569267,77.459061,-13.094771,-5.224715,98.40538,-14.227748,20.944363,11.450488,-8.115799,-29.881611,9.605331,-5.277023
-6.857924,160.548111,-14.669689,15.766788,79.838562,-19.487823,-30.669628,77.485092,-13.042185,-5.22644,98.404678,-14.175014,20.943539,11.449646,-8.116168,-29.886927,9.609186,-5.278016
-6.870928,160.543137,-14.716827,15.809986,79.871712,-19.443661,-30.764149,77.532555,-12.990818,-5.227888,98.409424,-14.107503,20.944685,11.448557,-8.11934,-29.871416,9.601559,-5.256937
-6.884775,160.541138,-14.765504,15.853715,79.894547,-19.397232,-30.867308,77.555946,-12.938192,-5.224027,98.403931,-14.036815,20.947401,11.44649,-8.132087,-29.871838,9.598876,-5.260707
