HMD0_tx,HMD0_ty,HMD0_tz,controller3_tx,controller3_ty,controller3_tz,controller6_tx,controller6_ty,controller6_tz,generic9_tx,generic9_ty,generic9_tz,generic7_tx,generic7_ty,generic7_tz,generic8_tx,generic8_ty,generic8_tz
0.396347,155.321396,-9.726781,25.181454,79.125549,-7.965171,-17.044104,79.216263,-12.728346,3.550047,99.325623,-6.203985,26.519442,10.577953,3.297395,-17.026985,9.899879,1.698667
0.396347,155.321396,-9.74095,25.181543,79.125595,-7.955276,-16.98889,79.222771,-12.750142,3.546809,99.353798,-6.230913,26.519442,10.573243,3.299826,-17.021811,9.892341,1.698667
0.419568,155.321396,-9.760312,25.195236,79.125671,-7.937353,-16.916578,79.246605,-12.798414,3.58079,99.352867,-6.240509,26.530132,10.568175,3.306638,-17.014109,9.882551,1.698667
0.437554,155.326462,-9.783558,25.203224,79.12529,-7.92434,-16.850952,79.288467,-12.851434,3.587308,99.369537,-6.271075,26.532372,10.59028,3.271306,-17.013531,9.885006,1.698667
0.454838,155.329102,-9.813663,25.216236,79.135826,-7.912556,-16.777851,79.331474,-12.914555,3.652745,99.342316,-6.258879,26.533072,10.589944,3.275295,-17.012913,9.886339,1.698667
0.47501,155.330383,-9.845115,25.245153,79.136696,-7.898279,-16.705412,79.37632,-12.980803,3.669806,99.354721,-6.288624,26.53343,10.588139,3.256271,-17.012562,9.882175,1.698667
0.503854,155.331329,-9.875519,25.279814,79.136864,-7.891533,-16.61553,79.414658,-13.050185,3.741262,99.336998,-6.282351,26.533957,10.585936,3.259415,-17.012787,9.876758,1.698667
0.530111,155.332184,-9.906481,25.325073,79.136642,-7.881117,-16.532787,79.442009,-13.118907,3.768993,99.378181,-6.319191,26.534523,10.585011,3.252661,-17.014254,9.873198,1.698667
0.55862,155.333237,-9.933261,25.367313,79.136368,-7.872517,-16.432945,79.472939,-13.188552,3.858879,99.367226,-6.30896,26.536116,10.598515,3.260437,-17.01716,9.870702,1.700058
0.593923,155.334686,-9.964045,25.417166,79.131721,-7.855865,-16.328697,79.495102,-13.251641,3.93005,99.375114,-6.326053,26.512941,10.579929,3.28449,-17.020046,9.874124,1.707527
0.628717,155.338272,-9.994624,25.464693,79.121071,-7.833173,-16.210142,79.505859,-13.31452,4.049228,99.352409,-6.308074,26.508514,10.577533,3.292874,-17.021393,9.875562,1.70992
0.678669,155.34552,-10.014366,25.514791,79.107208,-7.816502,-16.105452,79.527802,-13.383949,4.15842,99.354416,-6.313372,26.501293,10.581347,3.289153,-17.015888,9.877912,1.717756
0.730691,155.35907,-10.035141,25.551256,79.077293,-7.793982,-16.014252,79.540825,-13.44772,4.296844,99.333488,-6.292813,26.489401,10.582329,3.296218,-17.044233,9.871009,1.720532
0.796551,155.376862,-10.067771,25.610079,79.059158,-7.794689,-15.923308,79.542648,-13.516776,4.398984,99.33683,-6.329446,26.485937,10.612894,3.263479,-17.053276,9.870309,1.72271
